dnb_id,dnb_uri,dnb_birthdate,dnb_deathdate,dnb_gender,dnb_name,dnb_work,dbp_id,dbp_uri,dbp_birthdate,dbp_deathdate,dbp_gender,dbp_name,dbp_work,dbp_link_db,label
dnb_3,http://d-nb.info/gnd/118744895,1929-05-16,2012-03-27,female,"Rich, Adrienne",,dbp_3,http://dbpedia.org/resource/Adrienne_Rich,1929-05-16,2012-03-27,female,Adrienne Rich,"	On_Lies,_Secrets_and_Silence",http://dbpedia.org/resource/adrienne_rich,1
dnb_3,http://d-nb.info/gnd/118744895,1929-05-16,2012-03-27,female,"Rich, Adrienne",,dbp_114,http://dbpedia.org/resource/Stan_Rice,1942-11-07,2002-12-09,male,Stan Rice,,http://dbpedia.org/resource/stan_rice,0
dnb_4,http://d-nb.info/gnd/118577409,1785-03-07,1873-05-22,male,"Manzoni, Alessandro",,dbp_4,http://dbpedia.org/resource/Alessandro_Manzoni,1785-03-07,1873-05-22,male,Alessandro Manzoni,	The_Betrothed_(Manzoni_novel)	The_Betrothed_(miniseries),http://dbpedia.org/resource/alessandro_manzoni,1
dnb_4,http://d-nb.info/gnd/118577409,1785-03-07,1873-05-22,male,"Manzoni, Alessandro",,dbp_200,http://dbpedia.org/resource/Alejandro_Carrión,1915-03-11,1992-1-4,male,Alejandro Carrión,,http://dbpedia.org/resource/alejandro_carrión,0
dnb_4,http://d-nb.info/gnd/118577409,1785-03-07,1873-05-22,male,"Manzoni, Alessandro",,dbp_3524,http://dbpedia.org/resource/Jean_Baptiste_Lefebvre_de_Villebrune,1732-1-1,1809-10-7,male,Jean Baptiste Lefebvre de Villebrune,,http://dbpedia.org/resource/jean_baptiste_lefebvre_de_villebrune,0
dnb_5,http://d-nb.info/gnd/118658654,1913-01-01,1987-01-01,notKnown,"Bester, Alfred",,dbp_5,http://dbpedia.org/resource/Alfred_Bester,1913-12-18,1987-09-30,male,Alfred Bester,"	The_Stars_My_Destination	Star_Light,_Star_Bright_(book)	The_Demolished_Man	Starburst_(Alfred_Bester)	Psychoshop	The_Computer_Connection	Virtual_Unrealities	Who_He%3F	Star_Light,_Star_Bright_(short_story)",http://dbpedia.org/resource/alfred_bester,1
dnb_6,http://d-nb.info/gnd/118884433,1944-02-09,,female,"Walker, Alice",,dbp_54,http://dbpedia.org/resource/Alice_Walker,1944-02-09,,female,Alice Walker,	The_Color_Purple	In_Search_of_Our_Mothers'_Gardens	Meridian_(novel)	Everyday_Use	The_Third_Life_of_Grange_Copeland	The_Temple_of_My_Familiar	Possessing_the_Secret_of_Joy	Warrior_Marks,http://dbpedia.org/resource/alice_walker,1
dnb_6,http://d-nb.info/gnd/118884433,1944-02-09,,female,"Walker, Alice",,dbp_146,http://dbpedia.org/resource/Walter_Raleigh,1552-01-22,1618-10-29,male,Walter Raleigh,,http://dbpedia.org/resource/walter_raleigh,0
dnb_7,http://d-nb.info/gnd/119363925,1952-01-01,,female,"Tan, Amy",,dbp_55,http://dbpedia.org/resource/Amy_Tan,1952-02-19,,female,Amy Tan,	The_Joy_Luck_Club_(novel)	The_Bonesetter's_Daughter	The_Kitchen_God's_Wife	Saving_Fish_from_Drowning	The_Hundred_Secret_Senses	The_Valley_of_Amazement,http://dbpedia.org/resource/amy_tan,1
dnb_7,http://d-nb.info/gnd/119363925,1952-01-01,,female,"Tan, Amy",,dbp_114,http://dbpedia.org/resource/Stan_Rice,1942-11-07,2002-12-09,male,Stan Rice,,http://dbpedia.org/resource/stan_rice,0
dnb_8,http://d-nb.info/gnd/118578448,1621-01-01,1678-01-01,notKnown,"Marvell, Andrew",,dbp_6,http://dbpedia.org/resource/Andrew_Marvell,1621-03-31,1678-08-16,male,Andrew Marvell,	The_Garden_(poem)	To_His_Coy_Mistress,http://dbpedia.org/resource/andrew_marvell,1
dnb_8,http://d-nb.info/gnd/118578448,1621-01-01,1678-01-01,notKnown,"Marvell, Andrew",,dbp_7,http://dbpedia.org/resource/Andrew_Sarris,1928-10-31,2012-06-20,male,Andrew Sarris,,http://dbpedia.org/resource/andrew_sarris,0
dnb_8,http://d-nb.info/gnd/118578448,1621-01-01,1678-01-01,notKnown,"Marvell, Andrew",,dbp_245,http://dbpedia.org/resource/Gavin_Maxwell,1914-07-15,1969-09-07,male,Gavin Maxwell,	Ring_of_Bright_Water,http://dbpedia.org/resource/gavin_maxwell,0
dnb_8,http://d-nb.info/gnd/118578448,1621-01-01,1678-01-01,notKnown,"Marvell, Andrew",,dbp_16362,http://dbpedia.org/resource/Karel_Schoeman,1939-10-26,,male,Karel Schoeman,,http://dbpedia.org/resource/karel_schoeman,0
dnb_9,http://d-nb.info/gnd/122951786,1928-01-01,2012-01-01,notKnown,"Sarris, Andrew",,dbp_7,http://dbpedia.org/resource/Andrew_Sarris,1928-10-31,2012-06-20,male,Andrew Sarris,,http://dbpedia.org/resource/andrew_sarris,1
dnb_10,http://d-nb.info/gnd/118515187,1896-02-18,1966-09-28,male,"Breton, André",,dbp_6,http://dbpedia.org/resource/Andrew_Marvell,1621-03-31,1678-08-16,male,Andrew Marvell,	The_Garden_(poem)	To_His_Coy_Mistress,http://dbpedia.org/resource/andrew_marvell,0
dnb_10,http://d-nb.info/gnd/118515187,1896-02-18,1966-09-28,male,"Breton, André",,dbp_7,http://dbpedia.org/resource/Andrew_Sarris,1928-10-31,2012-06-20,male,Andrew Sarris,,http://dbpedia.org/resource/andrew_sarris,0
dnb_10,http://d-nb.info/gnd/118515187,1896-02-18,1966-09-28,male,"Breton, André",,dbp_9,http://dbpedia.org/resource/André_Malraux,1901-11-03,1976-11-23,male,André Malraux,	Man's_Fate,http://dbpedia.org/resource/andré_malraux,0
dnb_11,http://d-nb.info/gnd/118576844,1901-01-01,1976-01-01,male,"Malraux, André",,dbp_6,http://dbpedia.org/resource/Andrew_Marvell,1621-03-31,1678-08-16,male,Andrew Marvell,	The_Garden_(poem)	To_His_Coy_Mistress,http://dbpedia.org/resource/andrew_marvell,0
dnb_11,http://d-nb.info/gnd/118576844,1901-01-01,1976-01-01,male,"Malraux, André",,dbp_7,http://dbpedia.org/resource/Andrew_Sarris,1928-10-31,2012-06-20,male,Andrew Sarris,,http://dbpedia.org/resource/andrew_sarris,0
dnb_11,http://d-nb.info/gnd/118576844,1901-01-01,1976-01-01,male,"Malraux, André",,dbp_9,http://dbpedia.org/resource/André_Malraux,1901-11-03,1976-11-23,male,André Malraux,	Man's_Fate,http://dbpedia.org/resource/andré_malraux,1
dnb_12,http://d-nb.info/gnd/118598732,1907-01-01,1998-01-01,notKnown,"Aury, Dominique",,dbp_10,http://dbpedia.org/resource/Anne_Desclos,1907-09-23,1998-04-27,female,Anne Desclos,	Story_of_O,http://dbpedia.org/resource/anne_desclos,1
dnb_13,http://d-nb.info/gnd/118638092,1917-02-25,1993-11-25,male,"Burgess, Anthony",,dbp_11,http://dbpedia.org/resource/Anthony_Burgess,1917-02-25,1993-11-22,male,Anthony Burgess,"	The_Wanting_Seed	Time_for_a_Tiger	Tremor_of_Intent:_An_Eschatological_Spy_Novel	A_Vision_of_Battlements	Beds_in_the_East	Devil_of_a_State	Enderby's_Dark_Lady,_or_No_End_to_Enderby	The_Doctor_Is_Sick	The_Enemy_in_the_Blanket	The_Right_to_an_Answer	You've_Had_Your_Time	A_Clockwork_Orange_(novel)	Jesus_of_Nazareth_(miniseries)	A_Dead_Man_in_Deptford	Cyrano_(musical)	Oberon_Old_and_New	M/F	Abba_Abba	Any_Old_Iron_(novel)	Beard's_Roman_Women	The_Kingdom_of_the_Wicked	Enderby_Outside	Inside_Mr._Enderby	The_Clockwork_Testament,_or_Enderby's_End	One_Man's_Chorus:_The_Uncollected_Writings	Earthly_Powers	1985_(Anthony_Burgess_novel)	One_Hand_Clapping_(novel)	A_Mouthful_of_Air	Blooms_of_Dublin	Language_Made_Plain	Man_of_Nazareth	Rencontre_au_Sommet",http://dbpedia.org/resource/anthony_burgess,1
dnb_13,http://d-nb.info/gnd/118638092,1917-02-25,1993-11-25,male,"Burgess, Anthony",,dbp_210,http://dbpedia.org/resource/Anthony_R._Michaelis,1916-8-22,2007-10-18,male,Anthony R. Michaelis,,http://dbpedia.org/resource/anthony_r._michaelis,0
dnb_13,http://d-nb.info/gnd/118638092,1917-02-25,1993-11-25,male,"Burgess, Anthony",,dbp_318,http://dbpedia.org/resource/Mary_Anne_Burges,1763-12-06,1813-08-10,female,Mary Anne Burges,,http://dbpedia.org/resource/mary_anne_burges,0
dnb_13,http://d-nb.info/gnd/118638092,1917-02-25,1993-11-25,male,"Burgess, Anthony",,dbp_468,http://dbpedia.org/resource/Gillian_Flynn,1971-02-24,,female,Gillian Flynn,	Gone_Girl_(novel)	Dark_Places_(novel)	Sharp_Objects,http://dbpedia.org/resource/gillian_flynn,0
dnb_13,http://d-nb.info/gnd/118638092,1917-02-25,1993-11-25,male,"Burgess, Anthony",,dbp_9707,http://dbpedia.org/resource/Dmitri_Prigov,1940-11-05,2007-07-16,male,Dmitri Prigov,,http://dbpedia.org/resource/dmitri_prigov,0
dnb_14,http://d-nb.info/gnd/118781057,1863-03-03,1947-12-15,male,"Machen, Arthur",,dbp_12,http://dbpedia.org/resource/Arthur_Machen,1863-03-03,1947-12-15,male,Arthur Machen,	The_White_People	The_Great_God_Pan	The_Hill_of_Dreams	The_Three_Impostors	The_Green_Round,http://dbpedia.org/resource/arthur_machen,1
dnb_15,http://d-nb.info/gnd/118573217,1907-11-14,2002-01-28,female,"Lindgren, Astrid",,dbp_13,http://dbpedia.org/resource/Astrid_Lindgren,1907-11-14,2002-01-28,female,Astrid Lindgren,"	Mio,_My_Son	Pippi_Longstocking_(novel)	The_Children_of_Bullerbyn_Village	Most_Beloved_Sister	Pippi_Longstocking_(1969_TV_series)	Ronia_the_Robber's_Daughter	Bill_Bergson,_Master_Detective_(novel)	The_Runaway_Sleigh_Ride	The_Brothers_Lionheart	Pippi_Goes_on_Board_(book)	Pippi_in_the_South_Seas_(book)	Bill_Bergson_Lives_Dangerously	Bill_Bergson_and_the_White_Rose_Rescue	Sia_lives_on_Kilimanjaro",http://dbpedia.org/resource/astrid_lindgren,1
dnb_15,http://d-nb.info/gnd/118573217,1907-11-14,2002-01-28,female,"Lindgren, Astrid",,dbp_8900,http://dbpedia.org/resource/Toni_Rothmund,1877-10-2,1956-8-22,female,Toni Rothmund,,http://dbpedia.org/resource/toni_rothmund,0
dnb_16,http://d-nb.info/gnd/118619314,1849-01-22,1912-05-14,male,"Strindberg, August",,dbp_14,http://dbpedia.org/resource/August_Strindberg,1849-01-22,1912-05-14,male,August Strindberg,	Miss_Julie	The_Ghost_Sonata	The_Red_Room_(Strindberg_novel)	Inferno_(Strindberg_novel)	To_Damascus	A_Dream_Play	The_Father_(Strindberg_play)	Creditors_(play)	Easter_(play)	The_Stronger	The_Defence_of_a_Fool	The_Town_(Strindberg)	The_Outlaw_(play),http://dbpedia.org/resource/august_strindberg,1
dnb_16,http://d-nb.info/gnd/118619314,1849-01-22,1912-05-14,male,"Strindberg, August",,dbp_15,http://dbpedia.org/resource/Augusto_Boal,1931-03-16,2009-05-02,male,Augusto Boal,,http://dbpedia.org/resource/augusto_boal,0
