ids,label,deathdate_days_diff_sim,deathdate_months_diff_sim,deathdate_years_diff_sim,gender_lev_sim,gender_jac_q3_sim,gender_jac_an_sim,gender_rel_jac_an_sim,gender_containment_sim,gender_exact_sim,work_cosine_tfidf_sim,work_lev_sim,work_jac_q3_sim,work_jac_an_sim,work_rel_jac_an_sim,work_containment_sim,work_exact_sim,name_lev_sim,name_jac_q3_sim,name_jac_an_sim,name_rel_jac_an_sim,name_containment_sim,name_exact_sim,birthdate_days_diff_sim,birthdate_months_diff_sim,birthdate_years_diff_sim
dbp_3_dnb_3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23076923076923073,0.36363636363636365,1.0,1.0,1.0,0.0,1.0,1.0,1.0
dbp_114_dnb_3,0,0.9900115590615101,0.9900626678603403,0.9892588614393125,0.6666666666666667,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3076923076923077,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.9837442132304868,0.9837185929648241,0.9843184559710495
dbp_4_dnb_4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11111111111111116,0.48148148148148145,1.0,1.0,1.0,0.0,1.0,1.0,1.0
dbp_200_dnb_4,0,0.8725709058715915,0.8725156669650851,0.8721804511278195,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11111111111111116,0.11764705882352941,0.0,0.3333333333333333,0.0,0.0,0.8432074387642564,0.84321608040201,0.8431845597104946
dbp_3524_dnb_4,0,0.9316515340021706,0.9316920322291853,0.9312567132116004,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19444444444444442,0.0,0.0,0.0,0.0,0.0,0.9358617911413721,0.9358793969849246,0.9360675512665863
dbp_5_dnb_5,1,0.9991999835290727,0.9992837958818264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23076923076923073,0.36363636363636365,1.0,1.0,1.0,0.0,0.9988409950932157,0.9988944723618091,1.0
dbp_54_dnb_6,1,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.33333333333333337,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,1.0,1.0
dbp_146_dnb_6,0,-1.0,-1.0,-1.0,0.6666666666666667,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6428571428571428,0.15384615384615385,0.0,0.3333333333333333,0.0,0.0,0.5271755281562246,0.5271356783919598,0.5271411338962606
dbp_55_dnb_7,1,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1428571428571429,0.125,1.0,1.0,1.0,0.0,0.9998382015942096,0.9998994974874372,1.0
dbp_114_dnb_7,0,-1.0,-1.0,-1.0,0.6666666666666667,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4444444444444444,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.9889646883234383,0.9889447236180905,0.9879372738238842
dbp_6_dnb_8,1,0.9993323391952187,0.9993733213965981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1428571428571429,0.391304347826087,1.0,1.0,1.0,0.0,0.9997061212629521,0.9997989949748743,1.0
dbp_7_dnb_8,0,0.6406955437317827,0.6407341092211281,0.6412459720730397,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2142857142857143,0.14814814814814814,0.3333333333333333,0.3333333333333333,0.5,0.0,0.6287486049015011,0.6288442211055276,0.6296743063932448
dbp_245_dnb_8,0,0.6866582547287738,0.6866606982990152,0.6874328678839957,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2142857142857143,0.03333333333333333,0.0,0.3333333333333333,0.0,0.0,0.6459916921471639,0.6460301507537689,0.646562123039807
dbp_16362_dnb_8,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.6155009476763768,0.6155778894472361,0.6164053075995175
dbp_7_dnb_9,1,0.999497048468645,0.9995523724261415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23076923076923073,0.36363636363636365,1.0,1.0,1.0,0.0,0.9989961894824432,0.9990954773869347,1.0
dbp_6_dnb_10,0,0.6904877453359334,0.6905102954341987,0.6906552094522019,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1428571428571429,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.6684783685437483,0.6684422110552763,0.6682750301568154
dbp_7_dnb_10,0,0.9508754592006305,0.9508504923903313,0.9505907626208379,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.15384615384615385,0.11538461538461539,0.0,0.3333333333333333,0.0,0.0,0.9605641150948007,0.9606030150753769,0.9613992762364294
dbp_9_dnb_10,0,0.9890909518725386,0.9890778871978514,0.9892588614393125,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.07692307692307693,0.0,0.3333333333333333,0.0,0.0,0.9931186147414858,0.9930653266331658,0.9939686369119421
dbp_6_dnb_11,0,0.6805404817158001,0.6804834377797673,0.6799140708915146,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1428571428571429,0.10714285714285714,0.0,0.3333333333333333,0.0,0.0,0.6626073978193537,0.6625125628140703,0.6622436670687575
dbp_7_dnb_11,0,0.960822722820764,0.9608773500447627,0.9613319011815252,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.15384615384615385,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.9664350858191952,0.9665326633165829,0.9674306393244874
dbp_9_dnb_11,1,0.9990382154926719,0.999104744852283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.15384615384615385,0.3181818181818182,0.3333333333333333,1.0,0.5,0.0,0.9989895854658803,0.9989949748743718,1.0
dbp_10_dnb_12,1,0.9996588165050457,0.9997314234556849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2142857142857143,0.034482758620689655,0.0,0.0,0.0,0.0,0.9991249678054193,0.9991959798994975,1.0
dbp_11_dnb_13,1,0.9999911762889236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.06666666666666665,0.4166666666666667,1.0,1.0,1.0,0.0,1.0,1.0,1.0
dbp_210_dnb_13,0,0.985073222095749,0.9850492390331245,0.9849624060150376,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10526315789473684,0.15151515151515152,0.25,0.25,0.5,0.0,0.9993825244513713,0.9993969849246231,0.9987937273823885
dbp_318_dnb_13,0,0.8063166006358955,0.8063563115487914,0.8066595059076263,0.6666666666666667,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0625,0.16666666666666666,0.0,0.25,0.0,0.0,0.815209710545954,0.8152763819095478,0.8142340168878166
dbp_468_dnb_13,0,-1.0,-1.0,-1.0,0.6666666666666667,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.934877792673504,0.9348743718592964,0.9348612786489747
dbp_9707_dnb_13,0,0.9853496983761431,0.9853178155774396,0.9849624060150376,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.9714244203324462,0.971356783919598,0.9722557297949337
dbp_12_dnb_14,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23076923076923073,0.36363636363636365,1.0,1.0,1.0,0.0,1.0,1.0,1.0
dbp_13_dnb_15,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.06666666666666665,0.4166666666666667,1.0,1.0,1.0,0.0,1.0,1.0,1.0
dbp_8900_dnb_15,0,0.9511901715623557,0.9512085944494181,0.9505907626208379,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19999999999999996,0.03225806451612903,0.0,0.0,0.0,0.0,0.9636812109124769,0.9637185929648241,0.9638118214716526
dbp_14_dnb_16,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.17647058823529416,0.46153846153846156,1.0,1.0,1.0,0.0,1.0,1.0,1.0
dbp_15_dnb_16,0,0.8958302082689937,0.8957923008057296,0.8958109559613319,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05882352941176472,0.13793103448275862,0.0,0.3333333333333333,0.0,0.0,0.900933147540334,0.9009045226130653,0.9010856453558505
