ids,gender_lev_sim,gender_jac_q3_sim,gender_jac_an_sim,gender_rel_jac_an_sim,gender_containment_sim,gender_exact_sim,deathdate_days_diff_sim,deathdate_months_diff_sim,deathdate_years_diff_sim,work_cosine_tfidf_sim,work_lev_sim,work_jac_q3_sim,work_jac_an_sim,work_rel_jac_an_sim,work_containment_sim,work_exact_sim,birthdate_days_diff_sim,birthdate_months_diff_sim,birthdate_years_diff_sim,name_lev_sim,name_jac_q3_sim,name_jac_an_sim,name_rel_jac_an_sim,name_containment_sim,name_exact_sim,label
dbp_453_viaf_107,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.2765151515151515,0.19014084507042253,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dbp_446_viaf_95,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.13157894736842102,0.047619047619047616,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dbp_36_viaf_9755,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3850508241576672,0.38513377590022124,0.38526570048309183,0.5714285714285714,0.34782608695652173,0.3333333333333333,0.3333333333333333,0.5,0.0,0
dbp_102_viaf_10039,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9718781806405562,0.971937235968618,0.9710144927536232,0.3529411764705882,0.06896551724137931,0.0,0.25,0.0,0.0,0
dbp_12824_viaf_8927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.5,0.4375,0.5,0.5,1.0,0.0,1
dbp_208_viaf_1580,1.0,1.0,1.0,1.0,1.0,1.0,0.9093009008647096,0.9093132260036683,0.9094247246022031,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9193587828638653,0.9193321263327299,0.9190821256038647,0.46153846153846156,0.21739130434782608,0.3333333333333333,0.3333333333333333,0.5,0.0,0
dbp_214_viaf_5823,1.0,1.0,1.0,1.0,1.0,1.0,0.8197835380448792,0.8198491950275117,0.8188494492044064,0.0,0.19424460431654678,0.01092896174863388,0.0,0.0,0.0,0.0,0.8550156636220639,0.8550593441963388,0.855072463768116,0.4,0.14285714285714285,0.0,0.25,0.0,0.0,0
dbp_394_viaf_1005,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.1015625,0.0078125,0.0,0.0,0.0,0.0,0.8942275917676761,0.8942868638100986,0.893719806763285,0.46153846153846156,0.12,0.0,0.3333333333333333,0.0,0.0,0
dbp_16813_viaf_2448,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.5,0.43333333333333335,0.5,0.5,1.0,0.0,1
dbp_10930_viaf_7502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.5882352941176471,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,1
dbp_77_viaf_2657,1.0,1.0,1.0,1.0,1.0,1.0,0.9801749505378072,0.980130425922152,0.9804161566707467,0.0,0.06593406593406592,0.0019011406844106464,0.0,0.0,0.0,0.0,0.9898384730281681,0.9898410782538725,0.9903381642512077,0.4285714285714286,0.20588235294117646,0.25,0.25,0.5,0.0,0
