ids,label,ban_author,bx_author,ban_binding,bx_binding,ban_id,bx_id,ban_isbn,bx_isbn,ban_pages,bx_pages,ban_pubdate,bx_pubdate,ban_publisher,bx_publisher,ban_title,bx_title
ban_13733_bx_138061,0,Doug Isenberg,Lisa Eisenberg,,,ban_13733,bx_138061,9780812991987,9780590485746,434,-1,,1994,Random House Publishing Group,Scholastic Paperbacks (Mm),Gigalaw Guide To Internet Law,101 Back to School Jokes
ban_8337_bx_124591,0,David Huss,David Price,,,ban_8337,bx_124591,9780072191073,9780375415418,402,-1,,2003,"McGraw-Hill Companies, The",Knopf,How To Do Everything With Paint Shop Pro 8,"Love and Hate in Jamestown : John Smith, Pocahontas, and the Heart of a New Nation"
ban_13039_bx_114739,0,Robert Vieira,Robert S. McNamara,,,ban_13039,bx_114739,9780470257012,9780812925234,720,-1,,1995,Wiley,Random House Inc,Beginning Microsoft SQL Server 2008 Programming,In Retrospect: The Tragedy and Lessons of Vietnam
ban_16551_bx_35213,0,Paul Teetor,Paul Auster,paperback,,ban_16551,bx_35213,9781449303235,9788433966452,62,-1,"March 10, 2011",2003, O'Reilly Media,Anagrama,25 Recipes for Getting Started with R,Leviatan
ban_14935_bx_93629,0,Richard Blum,Richard W. Etulain,paperback,,ban_14935,bx_93629,9780071485623,9780312257392,400,-1,"April 12, 2007",2002, McGraw-Hill Education,Bedford Books,PostgreSQL 8 for Windows,Cesar Chavez: A Brief Biography With Documents
ban_5634_bx_131068,0,Hermann von Holst,Hermann Hesse,,,ban_5634,bx_131068,9781294964575,9783518413357,56,-1,02/08/2015,2002,Scholar's Choice,Suhrkamp,Autobiography of Cyrus Morton - Scholar's Choice Edition,Das Glasperlenspiel. Sonderausgabe.
ban_1136_bx_177014,0,Robert Nye,Robert B Parker,,,ban_1136,bx_177014,9780440905608,9780440047643,112,-1,3/28/82,1980,Random House Children's Books,Delacorte Press/S. Lawrence,Beowulf: A New Telling,Looking for Rachel Wallace: A Spenser novel
ban_1136_bx_109735,1,Robert Nye,Robert Nye,,,ban_1136,bx_109735,9780440905608,9780440905608,112,-1,3/28/82,1982,Random House Children's Books,Laure Leaf,Beowulf: A New Telling,Beowulf: A New Telling
ban_17615_bx_231423,0,Doug Harts,Doug Hall,paperback,,ban_17615,bx_231423,9780071601436,9780446671033,576,-1,"September 30, 2010",1996, McGraw-Hill Education,Warner Books,Microsoft® SQL Server 2008 R2 Analytics & Data Visualization,Jump Start Your Brain
ban_9169_bx_187489,0,Jonathan Rasmusson,Jonathan Kaplan,,,ban_9169,bx_187489,9781934356586,9780330480796,264,-1,,2002,"Pragmatic Programmers, LLC, The",Pan Macmillan,The Agile Samurai: How Agile Masters Deliver Great Software,The Dressing Station: A Surgeon's Odyssey
ban_5761_bx_172457,0,Michael Saward,Michael Slaughter,,,ban_5761,bx_172457,9780853649656,9780764422973,468,-1,04/01/1999,2001,Authentic Media,Group Publishing,A Faint Streak of Humility: An Autobiography,Unlearning Church: Just When You Thought You Had Leadership All Figured Out
ban_5517_bx_51622,0,Thomas Cross,Thomas Godfrey,,,ban_5517,bx_51622,9781151100979,9780747233558,118,-1,12/28/2009,1989,General Books,Headline,The Autobiography of a Stage-Coachman,Murder At the Opera
ban_4643_bx_105246,0,Douglas Dickins,Douglas Pagels,,,ban_4643,bx_105246,9781857764598,9780883964897,176,-1,07/28/2000,1999,"Book Guild, Limited",Blue Mountain Arts,In Granpa's Footsteps: A World Traveler's Autobiography,"Thoughts to Share With a Wonderful Son: A Collection from Blue Mountain Arts """
ban_2147_bx_69730,0,Richard Carlson,Richard Wright,,,ban_2147,bx_69730,9780786887651,9780064471114,220,-1,9/4/02,1996,Hachette Books,HarperTrophy,Don't Sweat the Small Stuff for Teens Journal,Rite of Passage
ban_6105_bx_214780,0,Barbara Deshong,Barbara Kaye,,,ban_6105,bx_214780,9781590806418,9780373825189,372,-1,09/28/2009,1993,Echelon Press Publishing,Harlequin,Too Rich and Too Thin: Not an Autobiography,After The Lights Go Out
ban_17355_bx_148510,0,Robert Wingate,Robert Winder,paperback,,ban_17355,bx_148510,9781475222210,9781862071384,164,-1,"May 8, 2012",1999, CreateSpace Independent Publishing Platform ,Granta Books,DB2 9 Exam 543 Practice Questions,The Granta Book of the Family
ban_14913_bx_45368,0,Michael J. Corey,Michael Grant,paperback,,ban_14913,bx_45368,9780078822421,9781842120088,384,-1,"November 1, 1996",2000, Oracle Pr,Phoenix Press,Oracle Data Warehousing,Saint Paul
ban_14913_bx_194461,1,Michael J. Corey,Michael J. Corey,paperback,,ban_14913,bx_194461,9780078822421,9780078822421,384,-1,"November 1, 1996",1996, Oracle Pr,McGraw-Hill Osborne Media,Oracle Data Warehousing,Oracle Data Warehousing
ban_12076_bx_245843,0,David Pogue,David S. Moore,,,ban_12076,bx_245843,9780596101558,9780716736271,406,-1,,1999,"O'Reilly Media, Incorporated",W.H. Freeman  Company,Windows Xp For Starters,The Basic Practice of Statistics
ban_17196_bx_73992,0,Michael Barlotta,Michael Martin,paperback,,ban_17196,bx_73992,9781884777684,9780262631518,482,-1,"September 1, 1998",1994, Manning Publications ,Bradford Books,Distributed Application Development with PowerBuilder 6.0,Readings in the Philosophy of Social Science
ban_1954_bx_84971,0,William Sleator,William R. Trotter,,,ban_1954,bx_84971,9780140345803,9780786710133,176,-1,10/21/04,2002,Penguin Young Readers Group,Plume Books,House of Stairs,The Sands of Pride: A Novel of the Civil War
ban_1954_bx_387,1,William Sleator,William Sleator,,,ban_1954,bx_387,9780140345803,9780140345803,176,-1,10/21/04,1991,Penguin Young Readers Group,Puffin Books,House of Stairs,House of Stairs
ban_2960_bx_160239,0,Henry James,Henry Berry,,,ban_2960,bx_160239,9788026836063,9780425179161,2900,-1,03/31/2015,2001,e-artnow ebooks,Berkley Publishing Group,"Complete Works of Henry James: Novels, Short Stories, Plays, Essays, Autobiography and Letters: The Portrait of a Lady, The Wings of the Dove, The American, The Bostonians, The Ambassadors, What Maisie Knew, Washington Square, Daisy Miller...",This Is No Drill: Living Memories of the Attack on Pearl Harbor
ban_11579_bx_167416,0,Editors of Reader's Digest,Readers Digest,,,ban_11579,bx_167416,9781606523384,9780762100767,384,-1,,1998,"Reader's Digest Association, Incorporated, The",Readers Digest,How to Do Just About Anything on a Computer: Microsoft Windows 7,Home Made Best Made: Hundreds of Ways to Make All Kinds of Useful Things
ban_3832_bx_195253,0,Mark Twain,Mark Twain,,,ban_3832,bx_195253,2940016310794,9781572701113,-1,-1,02/13/2013,1999,Unforgotten Classics,Audio Partners,"Autobiography of Mark Twain, the authentic original version",Adventures of Huckleberry Finn
ban_1316_bx_77683,0,Greg Bear,Greg Bear,,,ban_1316,bx_77683,9780345435408,9780812531671,336,-1,5/1/01,1988,Random House Publishing Group,Tor Books,Star Wars Rogue Planet,Forge of God
ban_1316_bx_22831,1,Greg Bear,Greg Bear,,,ban_1316,bx_22831,9780345435408,9780345435408,336,-1,5/1/01,2001,Random House Publishing Group,Del Rey Books,Star Wars Rogue Planet,Rogue Planet
