ids,ban_author,bx_author,ban_binding,bx_binding,ban_id,bx_id,ban_isbn,bx_isbn,ban_pages,bx_pages,ban_pubdate,bx_pubdate,ban_publisher,bx_publisher,ban_title,bx_title,label
ban_12627_bx_37223,Cliff Stoll# Cliff Stoll,Clifford Stoll,,,ban_12627,bx_37223,9780743411462,9780743411462,416,-1,,2000,Gallery Books,Pocket,The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage,Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage,1
ban_2134_bx_19487,David Eddings,David Eddings,,,ban_2134,bx_19487,9780345338716,9780345338716,384,-1,8/28/86,1988,Random House Publishing Group,Del Rey Books,Enchanters' End Game,Enchanters' End Game,1
ban_3591_bx_150357,Those Who Lived It,Herb Boyd,,,ban_3591,bx_150357,9780385492799,9780385492799,576,-1,12/28/2000,2000,Knopf Doubleday Publishing Group,Anchor Books/Doubleday,Autobiography of a People: Three Centuries of African American History Told,Autobiography of a People: Three Centuries of African American History Told by Those Who Lived It,1
ban_2235_bx_245010,Mitch Frank,Mitch Frank,,,ban_2235,bx_245010,9780670035878,9780670035878,144,-1,8/28/02,2002,Penguin Young Readers Group,Viking Books,Understanding September 11th: The Right Questions about the Attacks on America,Understanding September 11th: Answering Questions About the Attacks on America,1
ban_247_bx_5265,Tom Clancy,Tom Clancy,,Paperback,ban_247,bx_5265,9780425174807,9780425174807,384,-1,6/12/00,2000,Penguin Publishing Group,Berkley Publishing Group,Tom Clancy's Op-Center #7: Divide and Conquer,Tom Clancy's Op-Center: Divide and Conquer,1
ban_2202_bx_101632,George Lucas,George Lucas,,,ban_2202,bx_101632,9780345341464,9780345341464,224,-1,9/28/86,1986,Random House Publishing Group,Del Rey Books,Star Wars Episode IV: A New Hope,"Star Wars, Episode IV: A New Hope",1
ban_539_bx_184332,Mark Twain,Mark Twain,,,ban_539,bx_184332,9781593082109,9781566197069,528,-1,9/1/05,1995,Barnes & Noble,Barnes  Noble Books,A Connecticut Yankee in King Arthur's Court,A Connecticut Yankee in King Arthur's court,0
ban_1044_bx_270049,Anne Rice,Anne Rice,,,ban_1044,bx_270049,9780345384751,9780345383884,448,-1,9/28/93,1993,Random House Publishing Group,Ballantine Books,The Tale of the Body Thief,The Tale of the Body Thief,0
ban_781_bx_58572,Terry Pratchett,Terry Pratchett,,,ban_781,bx_58572,9780062237378,9780552144162,400,-1,10/29/13,1996,HarperCollins Publishers,Trafalgar Square Publishing,Small Gods,Small Gods,0
ban_8921_bx_226052,Preston Gralla# Michael Troller# Michael Troller,Preston Gralla,,,ban_8921,bx_226052,9780789736260,9780789721327,432,-1,,2002,Que,Que,How the Internet Works: Eight Edition,How the Internet Works: Millennium Edition,0
ban_2868_bx_264292,Ann M. Martin,Ann M. Martin,,,ban_2868,bx_264292,9780439717007,9780590228817,192,-1,01/01/2007,1996,"Scholastic, Inc.",Scholastic,A Dog's Life: The Autobiography of a Stray,Claudia and the World's Cutest Baby,0
ban_177_bx_242874,Stephen Crane,Stephen Crane,,,ban_177,bx_242874,9781511827836,9780393091823,108,-1,4/22/15,0,CreateSpace Publishing,W.W. Norton  Company Ltd,The Red Badge of Courage,The Red Badge of Courage,0
ban_363_bx_11976,Robert Penn Warren,Robert Penn Warren,,,ban_363,bx_11976,9780156004800,9780156004800,672,-1,9/28/96,1996,Houghton Mifflin Harcourt,Harvest Books,All the King's Men,All the King's Men,1
ban_1140_bx_158126,Ann Petry,Ann Petry,,,ban_1140,bx_158126,9780395901496,9780395901496,448,-1,3/28/98,1998,Houghton Mifflin Harcourt,Houghton Mifflin Co,The Street,The Street,1
ban_5486_bx_164571,Edward T. Hall,Edward Hall,,,ban_5486,bx_164571,9780385237437,9780385237437,304,-1,02/01/1993,1993,Knopf Doubleday Publishing Group,Anchor,An Anthropology of Everyday Life: An Autobiography,An Anthropology of Everyday Life: An Autobiography,1
ban_3992_bx_244917,Gerry Adams,Gerry Adams,,,ban_3992,bx_244917,9780863222894,9780688161019,258,-1,12/31/2001,1998,Brandon,Quill,Before the Dawn: An Autobiography,Before the Dawn: An Autobiography,0
ban_2150_bx_5404,Stephen R. Lawhead,Stephen R. Lawhead,,,ban_2150,bx_5404,9780380708895,9780380708895,448,-1,4/28/90,1990,HarperCollins Publishers,Eos,Merlin,Merlin,1
ban_6917_bx_19757,Dave Barry,Dave Barry,,,ban_6917,bx_19757,9780449912300,9780517595756,224,-1,,1996,Random House Publishing Group,Random House Inc,Dave Barry in Cyberspace,Dave Barry in Cyberspace,0
ban_477_bx_140530,C. S. Lewis,C. S. Lewis,,,ban_477,bx_140530,9780064471060,9780060510626,256,-1,3/28/02,2002,HarperCollins Publishers,HarperChildrensAudio,The Horse and His Boy,The Horse and His Boy,0
ban_1657_bx_16131,Mercedes Lackey,Mercedes Lackey,,,ban_1657,bx_16131,9780886773779,9780886773779,320,-1,9/28/87,1987,DAW,Daw Books,Arrow's Flight,Arrow's Flight,1
ban_1103_bx_8823,Christopher Pike,Christopher Pike,,,ban_1103,bx_8823,9781416983095,9780671736804,581,-1,1/5/10,1991,Simon Pulse,Simon Pulse,"Thirst No. 2: Phantom, Evil Thirst, and Creatures of Forever",GRADUATION,0
ban_15460_bx_156175,Joe Celko,Joe Celko,paperback,,ban_15460,bx_156175,9781874416500,9781874416500,389,-1,October 1995,1995, Wrox Press,Wrox Press,Instant SQL,Instant SQL Programming,1
ban_2471_bx_74766,Kevin J. Anderson,Kevin J. Anderson,,,ban_2471,bx_74766,9780553576115,9780553576115,448,-1,10/28/96,1996,Random House Publishing Group,Bantam,Star Wars Darksaber,Star Wars Darksaber,1
ban_2809_bx_90045,Rudyard Kipling,Rudyard Kipling,,,ban_2809,bx_90045,9780553211900,9780553211900,176,-1,1/28/85,1985,Random House Publishing Group,Bantam,Captains Courageous,Captains Courageous,1
ban_2844_bx_230552,Vivian Vande Velde,Vivian Vande Velde,,,ban_2844,bx_230552,9780152166632,9780152166632,210,-1,3/3/03,2003,Houghton Mifflin Harcourt,Magic Carpet Books,Dragon's Bait,Dragon's Bait,1
ban_1878_bx_904,Diane Duane,Diane Duane,,,ban_1878,bx_904,9780152162504,9780152162504,400,-1,6/28/01,2001,Houghton Mifflin Harcourt,Magic Carpet Books,So You Want to Be a Wizard: The First Book in the Young Wizards Series,So You Want to Be a Wizard: The First Book in the Young Wizards Series,1
ban_104_bx_1844,Douglas Adams,Douglas Adams,,,ban_104,bx_1844,9780345391803,9780517149256,224,-1,9/28/95,1996,Random House Publishing Group,Random House Value Publishing,The Hitchhiker's Guide to the Galaxy,The Ultimate Hitchhiker's Guide,0
ban_1498_bx_170666,James Fenimore Cooper,James Fenimore Cooper,,,ban_1498,bx_170666,9781848373143,9781566193030,378,-1,6/28/09,1994,Arcturus Publishing,Dorset Press,The Last of the Mohicans,Last of the Mohicans,0
