ids,label,ban_author,half_author,ban_binding,half_binding,ban_id,half_id,ban_isbn,half_isbn,ban_pages,half_pages,ban_pubdate,half_pubdate,ban_publisher,half_publisher,ban_title,half_title
ban_15747_half_741,0,,,paperback,,ban_15747,half_741,9781562432942,9781603201698,485,112,"May 15, 2002","Oct. 9th, 2012", Prentice Hall,Time Home Entertainment,Learning Windows 95 Office,Entertainment Weekly the Twilight Journey
ban_15696_half_741,0,,,paperback,,ban_15696,half_741,9783319062686,9781603201698,282,112,"March 15, 2014","Oct. 9th, 2012", Springer,Time Home Entertainment,"Health Information Science: Third International Conference, HIS 2014, Shenzhen, China, April 22-23, 2014, Proceedings",Entertainment Weekly the Twilight Journey
ban_16768_half_741,0,,,paperback,,ban_16768,half_741,9781511977487,9781603201698,230,112,"May 25, 2015","Oct. 9th, 2012", CreateSpace,Time Home Entertainment,Data Science Interviews Exposed,Entertainment Weekly the Twilight Journey
ban_17592_half_741,0,,,paperback,,ban_17592,half_741,9783846563816,9781603201698,92,112,"October 22, 2011","Oct. 9th, 2012", Editorial Académica Española ,Time Home Entertainment,Mysql 5: La más popular de las bases de datos libres,Entertainment Weekly the Twilight Journey
ban_14736_half_741,0,,,paperback,,ban_14736,half_741,9780072222494,9781603201698,544,112,"November 28, 2001","Oct. 9th, 2012", Osborne/McGraw-Hill ,Time Home Entertainment,Oracle9i Application Server Portal Handbook,Entertainment Weekly the Twilight Journey
ban_15176_half_741,0,,,paperback,,ban_15176,half_741,9781617291920,9781603201698,400,112,"March 2, 2016","Oct. 9th, 2012", Manning Publications,Time Home Entertainment,Real-World Machine Learning,Entertainment Weekly the Twilight Journey
ban_15949_half_741,0,,,paperback,,ban_15949,half_741,9780738423029,9781603201698,210,112,September 2001,"Oct. 9th, 2012", Ibm ,Time Home Entertainment,Mining Your Own Business in Health Care Using DB2 Intelligent Miner for Data,Entertainment Weekly the Twilight Journey
ban_14894_half_741,0,,,paperback,,ban_14894,half_741,9781783554997,9781603201698,151,112,"June 30, 2015","Oct. 9th, 2012", Packt Publishing - ebooks Account ,Time Home Entertainment,Apache Mahout Essentials,Entertainment Weekly the Twilight Journey
ban_17613_half_741,0,,,paperback,,ban_17613,half_741,9781783989263,9781603201698,180,112,"January 30, 2015","Oct. 9th, 2012", Packt Publishing - ebooks Account ,Time Home Entertainment,R High Performance Programming,Entertainment Weekly the Twilight Journey
ban_17296_half_741,0,,,paperback,,ban_17296,half_741,9783540291060,9781603201698,411,112,"November 14, 2005","Oct. 9th, 2012", Springer,Time Home Entertainment,"Theoretical Computer Science: 9th Italian Conference, ICTCS 2005, Siena, Italy, October 12-14, 2005, Proceedings",Entertainment Weekly the Twilight Journey
ban_16199_half_741,0,,,paperback,,ban_16199,half_741,9783540437383,9781603201698,788,112,"July 10, 2002","Oct. 9th, 2012", Springer,Time Home Entertainment,Advanced Information Systems Engineering,Entertainment Weekly the Twilight Journey
ban_16855_half_741,0,,,paperback,,ban_16855,half_741,9788170297086,9781603201698,128,112,"December 1, 2000","Oct. 9th, 2012", BPB Publications ,Time Home Entertainment,Learn MS Access 7.0 for Windows 95 in a Day,Entertainment Weekly the Twilight Journey
ban_15541_half_741,0,,,paperback,,ban_15541,half_741,9783540425168,9781603201698,314,112,"September 21, 2001","Oct. 9th, 2012", Springer,Time Home Entertainment,"Algorithms in Bioinformatics: First International Workshop, WABI 2001, Aarhus, Denmark, August 28-31, 2001, Proceedings",Entertainment Weekly the Twilight Journey
ban_16986_half_741,0,,,paperback,,ban_16986,half_741,9780072255409,9781603201698,416,112,"August 31, 2004","Oct. 9th, 2012", McGraw-Hill Education,Time Home Entertainment,Oracle Database 10g PL/SQL 101,Entertainment Weekly the Twilight Journey
ban_16741_half_741,0,,,paperback,,ban_16741,half_741,9780735669130,9781603201698,888,112,"January 25, 2014","Oct. 9th, 2012", Microsoft Press,Time Home Entertainment,Microsoft Excel 2013 Data Analysis and Business Modeling,Entertainment Weekly the Twilight Journey
ban_8244_half_1226,0,Matthew MacDonald,Matthew Quick,,,ban_8244,half_1226,9781430242512,9780316043533,922,355,,"May. 3rd, 2011",Apress,"Little, Brown Books for Young Readers",Beginning ASP.NET 4.5 in C#,Sorta Like a Rock Star
ban_10764_half_1928,0,Michael Koenig,Michael Carroll,,,ban_10764,half_1928,9781573873123,9780142421093,-1,378,,"Jul. 19th, 2012","Information Today, Incorporated",Speak,Knowledge Management in Practice: Connections and Context,The Ascension
