ids,ban_author,half_author,ban_binding,half_binding,ban_id,half_id,ban_isbn,half_isbn,ban_pages,half_pages,ban_pubdate,half_pubdate,ban_publisher,half_publisher,ban_title,half_title,label
ban_2499_half_2797,Kelly Link,Kelly Link,,,ban_2499,half_2797,9780142416723,9780142416723,416,404,6/10/10,"Jun. 10th, 2010",Penguin Young Readers Group,Speak,Pretty Monsters,Pretty Monsters,1
ban_1820_half_2072,Caragh M. O'Brien,Caragh M. O'Brien,,,ban_1820,half_2072,9781250010315,9781250010315,400,400,9/4/12,"Sep. 4th, 2012",Square Fish,Square Fish,Prized,Prized,1
ban_1835_half_2909,L. J. Smith,L. J. Smith,,,ban_1835,half_2909,9781416989561,9780062130419,752,320,9/8/09,"Mar. 12th, 2013",Simon Pulse,Harper Teen,Dark Visions: The Strange Power; The Possessed; The Passion,The Secret Circle,0
ban_656_half_763,E. Lockhart,E. Lockhart,,,ban_656,half_763,9780786838196,9780786838196,352,352,8/25/09,"Aug. 1st, 2009",Disney-Hyperion,Hyperion Books,The Disreputable History of Frankie Landau-Banks,The Disreputable History of Frankie Landau-Banks,1
ban_502_half_425,Colleen Houck,Colleen Houck,,,ban_502,half_425,9781454903567,9781454902492,464,402,8/4/15,"May. 1st, 2012",Splinter,Splinter,Tiger's Destiny,Tiger's Curse,0
ban_16568_half_262,Michael Groh,Michael Morpurgo,paperback,,ban_16568,half_262,9781566046091,9780439636537,1412,202,January 1997,"May. 1st, 2006", Ventana Pr ,Scholastic,Microsoft Access 97 Power Toolkit: For Windows 95 & Windows Nt,Private Peaceful,0
ban_90_half_523,Richelle Mead,Richelle Mead,,Paperback,ban_90,half_523,9781595147585,9781595146021,2784,432,12/31/13,"Jan. 8th, 2013",Penguin Young Readers Group,Razorbill,Vampire Academy Box Set 1-6,The Golden Lily,0
ban_673_half_852,Sarah Dessen,Sarah Dessen,,,ban_673,half_852,9780142401729,9780142401729,224,198,5/11/04,"May. 11th, 2004",Penguin Young Readers Group,Speak,That Summer,That Summer,1
ban_1804_half_1008,Gary Paulsen,Gary Paulsen,,,ban_1804,half_1008,9780440219736,9780440219736,192,192,8/28/99,"Aug. 10th, 1999",Random House Children's Books,Laurel Leaf Library,Sarny: A Life Remembered,Sarny,1
ban_235_half_512,Richard Paul Evans,Richard Peck,,,ban_235,half_512,9781442475120,9780141303529,320,148,5/6/14,"Oct. 9th, 2000",Simon Pulse/Mercury Ink,Puffin Books,Battle of the Ampere,A Long Way from Chicago,0
ban_1056_half_1810,Tamora Pierce,Tamora Pierce,,Paperback,ban_1056,half_1810,9780375829062,9781442427655,432,260,8/24/04,"Apr. 19th, 2011",Random House Children's Books,Atheneum Books,Squire,The Woman Who Rides Like a Man,0
ban_2373_half_1535,David Lubar,David Lubar,,,ban_2373,half_1535,9780765379146,9780765342652,256,213,6/16/15,"Jan. 20th, 2003",Tom Doherty Associates,Starscape Books,Hidden Talents,Hidden Talents,0
ban_2409_half_1111,Tamora Pierce,Tamora Pierce,,Paperback,ban_2409,half_1111,9781416908173,9780689878565,368,264,12/20/05,"Jan. 6th, 2005",Simon Pulse,Simon Pulse,The Realms of the Gods,In the Hand of the Goddess,0
ban_1828_half_1137,Lynne Rae Perkins,Lynne Rae Perkins,,,ban_1828,half_1137,9780061870927,9780061870927,384,352,4/10/12,"Apr. 10th, 2012",HarperCollins Publishers,Greenwillow Books,As Easy as Falling Off the Face of the Earth,As Easy as Falling Off the Face of the Earth,1
ban_1938_half_2638,Robert Liparulo,Robert Liparulo,,Paperback,ban_1938,half_2638,9781595548924,9781595547293,314,309,11/30/10,"Sep. 29th, 2009","Nelson, Thomas, Inc.",Thomas Nelson s,Whirlwind,Gatekeepers,0
ban_1079_half_532,James Patterson,James Patterson,,,ban_1079,half_532,9780316038300,9780316119702,304,234,5/10/11,"Jun. 15th, 2010","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",Demons and Druids,The Dangerous Days of Daniel X,0
ban_178_half_164,Pittacus Lore,Pittacus Lore,,,ban_178,half_164,9780061974571,9780061974571,448,406,7/24/12,"Jul. 24th, 2012",HarperCollins Publishers,HarperCollins,The Power of Six,The Power of Six,1
ban_2787_half_2019,Jessica Day George,Jessica Day George,,,ban_2787,half_2019,9781619631847,9781599903286,352,328,12/10/13,"Jan. 20th, 2009",Bloomsbury USA,Bloomsbury Publishing PLC,"Sun and Moon, Ice and Snow","Sun and Moon, Ice and Snow",0
ban_517_half_998,Susan Beth Pfeffer,Susan Beth Pfeffer,,,ban_517,half_998,9780547258553,9780547258553,321,321,1/18/10,"Jan. 1st, 2010",Houghton Mifflin Harcourt,Graphia Books,The Dead and the Gone,The Dead and the Gone,1
