ids,label,ban_author,wor_author,ban_binding,wor_binding,ban_id,wor_id,ban_isbn,wor_isbn,ban_pages,wor_pages,ban_pubdate,wor_pubdate,ban_publisher,wor_publisher,ban_title,wor_title
ban_8430_wor_21164,0,Robin Nixon,Robin Cook,,Paperback,ban_8430,wor_21164,9781491949450,9788184980998,730,394,,(1 Feb 2010),"O'Reilly Media, Incorporated",MEHTA PUBLISHING HOUSE ,"Learning PHP, MySQL, JavaScript, CSS & HTML5: A Step-by-Step Guide to Creating Dynamic Websites",CRISIS
ban_5949_wor_6277,0,,,,Paperback,ban_5949,wor_6277,2940029006967,9783423026291,-1,-1,,(1 Jan 1997),"LONDON SMITH , ELDER  CO",Deutscher Taschenbuch Verlag GmbH & Co. ,THE AUTOBIOGRAPHY OF LEIGH HUNT,Die Verwandlung
ban_9034_wor_18623,0,William Harrel,William Sleator,,Hardback,ban_9034,wor_18623,9781118026229,9780810958586,408,215,,(1 May 2005),Wiley,Abrams ,"HTML, CSS, and JavaScript Mobile Development For Dummies",Last Universe
ban_3063_wor_24051,0,Kit Carson,Anne Carson,,Paperback,ban_3063,wor_24051,9780803252387,9781910702574,192,226,12/01/2013,(27 Oct 2016),UNP - Bison Books,Vintage Publishing ,Kit Carson's Autobiography,Float
ban_8926_wor_9463,0,Michael Price,Michael Crichton,,Hardback,ban_8926,wor_9463,9781840785821,9780517084793,240,675,,(2 Mar 1995),In Easy Steps Limited,Random House USA Inc ,Office 2013 for Seniors in Easy Steps,"The Andromeda Strain, the"
ban_14177_wor_44185,0,James Reinders,James Ellis,,Hardback,ban_14177,wor_44185,9780596514808,9780999359884,336,256,,(25 Sep 2018),"O'Reilly Media, Incorporated",Topix Media Lab ,Intel Threading Building Blocks,The Official John Wayne Handy Book for Men: Essential Skills for the Rugged Individualist
ban_15177_wor_26078,0,,,paperback,,ban_15177,wor_26078,9781783555338,9781780549149,286,-1,"January 31, 2015",(1 Sep 2015), Packt Publishing ,Danilo Promotions Limited ,PostgreSQL Cookbook,The Official Kelly Brook 2016 A3 Calendar
ban_3515_wor_24816,0,Flavius Josephus,Flavius Josephus,,Hardback,ban_3515,wor_24816,2940016536170,9781371248628,-1,-1,08/25/2015,(27 Aug 2016),Unforgotten Classics,Wentworth Press ,"Complete Flavius Josephus Collection: Antiquities of the Jews, Autobiography of Josephus, An Extract Out Of Josephus's Discourse To The Greeks Concerning Hades, The Wars of the Jews","The Works of Flavius Josephus ... Containing Twenty Books of the Jewish Antiquities, Seven Books of the Jewish War, and the Life of Josephus; Volume 1"
ban_374_wor_15062,0,James Patterson,James Patterson,,Hardback,ban_374,wor_15062,9781455521524,9781780899428,352,384,7/30/13,(17 Oct 2019),Grand Central Publishing,Cornerstone ,The Fire,19th Christmas:
ban_374_wor_9555,0,James Patterson,James Patterson,,Paperback,ban_374,wor_9555,9781455521524,9780446600453,352,288,7/30/13,(1 Apr 1996),Grand Central Publishing,Grand Central Publishing ,The Fire,The Thomas Berryman Number
ban_1520_wor_12790,0,William Shakespeare,"William Shakespeare, Stephen Booth",,Paperback,ban_1520,wor_12790,9780198328735,9780300085068,208,608,5/23/09,(1 Sep 2000),Oxford University Press,Yale University Press ,Othello,Shakespeare's Sonnets
ban_1520_wor_18785,0,William Shakespeare,"William Shakespeare, Roma Gill",,Paperback,ban_1520,wor_18785,9780198328735,9780198324003,208,160,5/23/09,(5 Mar 2009),Oxford University Press,Oxford University Press ,Othello,Oxford School Shakespeare: Macbeth
ban_1520_wor_18801,1,William Shakespeare,"William Shakespeare, Roma Gill",,Paperback,ban_1520,wor_18801,9780198328735,9780198328735,208,208,5/23/09,(20 Dec 2008),Oxford University Press,Oxford University Press ,Othello,Oxford School Shakespeare: Othello
ban_1687_wor_28240,0,Veronica Roth,Veronica Roth,,Hardback,ban_1687,wor_28240,9788427203181,9785699800919,463,-1,10/15/13,(12 Dec 2017),"Lectorum Publications, Inc.","Izdatel'stvo ""E'KSMO-Press"" ",Insurgente,Divergent
ban_41_wor_28213,0,John Green,John Green,,Paperback,ban_41,wor_28213,9780142414934,9780141346045,336,320,9/22/09,(20 Sep 2018),Penguin Young Readers Group,Penguin Books Ltd ,Paper Towns,Turtles All the Way Down
ban_1829_wor_38087,0,Rachel Caine,Rachel Caine,,Paperback,ban_1829,wor_38087,9780451230546,9781542046411,480,348,11/3/09,(12 Dec 2017),Penguin Publishing Group,Amazon Publishing ,"The Morganville Vampires, Volume 1",Killman Creek
ban_4035_wor_23474,0,Theodore Roosevelt,Eleanor Roosevelt,,Paperback,ban_4035,wor_23474,9781502958662,9781786994462,536,584,03/05/2015,(15 Oct 2018),CreateSpace Publishing,Zed Books Ltd ,Theodore Roosevelt; an Autobiography,The Autobiography of Eleanor Roosevelt
ban_2876_wor_23474,0,Eleanor Roosevelt,Eleanor Roosevelt,,Paperback,ban_2876,wor_23474,9780062355911,9781786994462,480,584,10/21/2014,(15 Oct 2018),HarperCollins Publishers,Zed Books Ltd ,The Autobiography of Eleanor Roosevelt,The Autobiography of Eleanor Roosevelt
ban_3666_wor_28378,0,John Bunyan,John Boyne,,Paperback,ban_3666,wor_28378,9780199554980,9780198326762,336,-1,12/15/2008,(1 Aug 2007),"Oxford University Press, USA",Oxford University Press ,Grace Abounding: With Other Spiritual Autobiographies,Rollercoasters The Boy in the Striped Pyjamas
ban_3666_wor_28147,1,John Bunyan,John Bunyan,,Paperback,ban_3666,wor_28147,9780199554980,9780199554980,336,336,12/15/2008,(1 Sep 2008),"Oxford University Press, USA",Oxford University Press ,Grace Abounding: With Other Spiritual Autobiographies,Grace Abounding: with Other Spiritual Autobiographies
