ids,ban_author,wor_author,ban_binding,wor_binding,ban_id,wor_id,ban_isbn,wor_isbn,ban_pages,wor_pages,ban_pubdate,wor_pubdate,ban_publisher,wor_publisher,ban_title,wor_title,label
ban_260_wor_23106,Richard Paul Evans,Richard Paul Evans,,Paperback,ban_260,wor_23106,9781442475106,9781442475120,335,320,5/7/13,(1 Jun 2014),Simon Pulse/Mercury Ink,Simon & Schuster ,Rise of the Elgen,Michael Vey 3: Battle of the Ampere,0
ban_1177_wor_38124,Janet Tashjian,Janet Tashjian,,Paperback,ban_1177,wor_38124,9781250044389,9781250044389,256,227,7/15/14,(15 Jul 2014),Square Fish,Square Fish ,The Gospel According to Larry,The Gospel According to Larry,1
ban_2381_wor_44268,Nancy Werlin,Nancy Werlin,,Paperback,ban_2381,wor_44268,9780142403273,9783125780323,256,232,5/5/05,(21 Aug 2009),Penguin Young Readers Group,Klett Sprachen GmbH ,Double Helix,Double Helix,0
ban_1998_wor_36975,Rita Williams-Garcia,Rita Williams-Garci,,Paperback,ban_1998,wor_36975,9780060760939,9780060760939,169,169,12/21/10,(1 Jan 2011),HarperCollins Publishers,HarperCollins Publishers Inc ,Jumped,Jumped,1
ban_3343_wor_23918,Tony Visconti,Tony Visconti,,Paperback,ban_3343,wor_23918,9780007343577,9780007229451,400,400,09/17/2009,(3 Sep 2007),HarperCollins Publishers,HarperCollins Publishers ,"Tony Visconti: The Autobiography: Bowie, Bolan and the Brooklyn Boy","Tony Visconti: The Autobiography: Bowie, Bolan and the Brooklyn Boy",0
ban_3010_wor_25240,"H. Rap Brown (Jamil Abdullah Al-Amin), Jamil Al-Amin",H. Rap Brown,,Paperback,ban_3010,wor_25240,9781556524523,9781556524523,192,192,04/28/2002,(1 Apr 2002),"Chicago Review Press, Incorporated",A Cappella Books ,Die Nigger Die!: A Political Autobiography of Jamil Abdullah al-Amin,Die Nigger Die! A Political Autobiography of Jamil Abdullah al-Amin,1
ban_114_wor_34414,Charlie Higson,Charlie Higson,,Paperback,ban_114,wor_34414,9781484721452,9780141325033,512,480,5/20/14,(7 Apr 2011),Disney-Hyperion,Penguin Books Ltd ,The Dead,The Dead,0
ban_3084_wor_19172,"Frank Meeink, Jody M. Roy","Frank Meeink, Jody M. Roy, Elizabeth Wurtzel",,Paperback,ban_3084,wor_19172,9780979018893,9780997068375,316,-1,08/24/2010,(5 Sep 2017),"Hawthorne Books  Literary Arts, Incorporated",Hawthorne Books & Literary Arts Inc. ,"Autobiography of a Recovering Skinhead: The Frank Meeink Story as Told to Jody M. Roy, Ph.D.","Autobiography of a Recovering Skinhead: The Frank Meeink Story as Told to Jody M. Roy, Ph.D.",0
ban_710_wor_11768,C. S. Lewis,C. S. Lewis,,Paperback,ban_710,wor_11768,9780064471091,9780064405041,272,272,3/28/02,(1 Jul 1994),HarperCollins Publishers,Zondervan ,The Silver Chair,The Silver Chair,0
ban_1320_wor_8522,Octavia E. Butler,Octavia E. Butler,,Paperback,ban_1320,wor_8522,9780446603775,9780446603775,256,256,5/29/09,(18 Jul 1997),Grand Central Publishing,"Little, Brown & Company ",Dawn,Dawn,1
