ids,label,bx_author,half_author,bx_binding,half_binding,bx_id,half_id,bx_isbn,half_isbn,bx_pages,half_pages,bx_pubdate,half_pubdate,bx_publisher,half_publisher,bx_title,half_title
bx_94451_half_252,0,Christopher Reed,Christopher Paolini,,Paperback,bx_94451,half_252,9780345353917,9780440240730,-1,754,1988,"Jun. 30th, 2007",Ballantine Books,Laurel Leaf Library,Big Scratch: A Manx McCatty Adventure,Eragon
bx_20376_half_2140,0,Josephine Tey,Joseph Delaney,,Paperback,bx_20376,half_2140,9780684847511,9780060766238,-1,455,1998,"Jul. 24th, 2007",Touchstone,Greenwillow Books,MISS PYM DISPOSES,Curse of the Bane
bx_80738_half_2554,0,Russell Lee,Russell Freedom,,,bx_80738,half_2554,9789813056572,9780823417537,-1,90,2003,"Nov. 1st, 2001",Angsana Books,Holiday House,"True Singapore Ghost Stories, Book 11",Give Me Liberty!
bx_162598_half_897,0,John Minahan,John Marsden,,,bx_162598,half_897,9780451146168,9780439858052,-1,319,1986,"Feb. 1st, 2007",New Amer Library (Mm),Scholastic Paperbacks,The Face Behind the Mask: A Novel,The Other Side of Dawn
bx_130690_half_897,0,John Marsden,John Marsden,,,bx_130690,half_897,9780618070282,9780439858052,-1,319,2002,"Feb. 1st, 2007",Houghton Mifflin Company,Scholastic Paperbacks,The Other Side of Dawn,The Other Side of Dawn
bx_90682_half_2717,0,Elizabeth Cunningham,Elizabeth Alder,,,bx_90682,half_2717,9780882681573,9780440220114,-1,272,1993,"Jul. 7th, 1997",Station Hill Press,Laurel Leaf Library,The Return of the Goddess: A Divine Comedy,The King's Shadow
bx_205751_half_2717,0,Elizabeth Johnson,Elizabeth Alder,,,bx_205751,half_2717,9780785800293,9780440220114,-1,272,1994,"Jul. 7th, 1997",Book Sales,Laurel Leaf Library,How to Paint Miniatures,The King's Shadow
bx_185730_half_2717,1,ELIZABETH ALDER,Elizabeth Alder,,,bx_185730,half_2717,9780440220114,9780440220114,-1,272,1997,"Jul. 7th, 1997",Laurel Leaf,Laurel Leaf Library,The King's Shadow,The King's Shadow
bx_73852_half_406,0,Sarah Harrison,Lisi Harrison,,Paperback,bx_73852,half_406,9780312290863,9780316176217,-1,257,2002,"Sep. 5th, 2011",Thomas Dunne Books,Poppy Books,The Grass Memorial,Monster High
bx_228757_half_256,0,Helen Cooper,Susan Cooper,,Paperback,bx_228757,half_256,9780688139919,9780689829833,-1,232,1995,"Oct. 1st, 1999",Harpercollins Juvenile Books,Aladdin Paperbacks,The Tale of Duck,The Dark Is Rising
bx_22494_half_256,1,Susan Cooper,Susan Cooper,Paperback,Paperback,bx_22494,half_256,9780689829833,9780689829833,-1,232,1999,"Oct. 1st, 1999",Aladdin,Aladdin Paperbacks,Dark is Rising,The Dark Is Rising
bx_223899_half_1143,0,Elizabeth Feuer,Elizabeth Winthrop,,,bx_223899,half_1143,9780671667009,9780553487831,-1,232,1988,"Aug. 14th, 2007",Simon Pulse,Yearling Books,ONE FRIEND TO ANOT,Counting on Grace
bx_157550_half_1143,0,Elizabeth Peters,Elizabeth Winthrop,,,bx_157550,half_1143,9780812507546,9780553487831,-1,232,1989,"Aug. 14th, 2007",Tor Books (Mm),Yearling Books,Summer of the Dragon,Counting on Grace
bx_229375_half_2311,0,Catherine Archibald,Catherine Hapka,,,bx_229375,half_2311,9780843943122,9781599909097,-1,256,1997,"Nov. 13th, 2012",Leisure Books,Bloomsbury U.S.A. Children's Books,Hawk's Lady,Off Course
bx_53728_half_2311,0,Catherine Archer,Catherine Hapka,,,bx_53728,half_2311,9780373290260,9781599909097,-1,256,1998,"Nov. 13th, 2012",Harlequin,Bloomsbury U.S.A. Children's Books,Fire Song,Off Course
bx_230685_half_2830,0,Paul W. Abrahams,Peter Abrahams,,,bx_230685,half_2830,9780201557039,9780061227684,-1,330,1992,"Apr. 27th, 2010",Addison-Wesley,Harper Teen,UNIX for the impatient,Reality Check
bx_264090_half_1079,0,Wendy Smith,L. J. Smith,,,bx_264090,half_1079,9780140505900,9780061963865,-1,253,1988,"Sep. 1st, 2009",Penguin USA,Harper Teen,The Witch Baby,The Awakening
bx_201450_half_1557,0,Elizabeth August,Elizabeth Scott,,,bx_201450,half_1557,9780373191574,9781416960607,-1,170,1996,"Sep. 8th, 2009",Silhouette,Simon Pulse,Handy Man To Have Around,Living Dead Girl
bx_144816_half_1557,0,Elizabeth Berg,Elizabeth Scott,,,bx_144816,half_1557,9780380728848,9781416960607,-1,170,1997,"Sep. 8th, 2009",Harper Mass Market Paperbacks (Mm),Simon Pulse,Durable Goods,Living Dead Girl
bx_269860_half_470,0,Michael Moorcock,Michael Grant,,,bx_269860,half_470,9781565041837,9780061449086,-1,590,1997,"Apr. 6th, 2010",White Wolf Pub,Katherine Tegen Books,Sailing to Utopia,Hunger
bx_228133_half_1542,0,Gordon Thomas,Rob Thomas,,,bx_228133,half_1542,9780801011948,9781416938972,-1,202,2000,"May. 22nd, 2007",Baker Books,Simon Pulse,The Jesus Conspiracy: An Investigative Reporter's Look at an Extraordinary Life and Death,Rats Saw God
bx_200371_half_1542,0,Rob Thomas,Rob Thomas,,,bx_200371,half_1542,9780689807770,9781416938972,-1,202,1996,"May. 22nd, 2007",Simon Pulse,Simon Pulse,Rats Saw God,Rats Saw God
bx_25847_half_663,0,Suzanne Levine,Suzanne Weyn,,,bx_25847,half_663,9780671492472,9780439395625,-1,256,1983,"Sep. 1st, 2004",Simon  Schuster,Scholastic Paperbacks,She's Nobody's Baby: A History of American Women in the Twentieth Century,The Bar Code Tattoo
bx_2521_half_193,0,Patricia Curtis,Patricia McCormick,,,bx_2521,half_193,9780399505966,9780786851720,-1,263,1981,"Apr. 1st, 2008",Perigee Books,Hyperion Books for Children,Indoor Cat,Sold
bx_145376_half_20,0,Joanne K. Rowling,J. K. Rowling,,Paperback,bx_145376,half_20,9782070541294,9780590353427,-1,312,1999,"Oct. 1st, 1999",Gallimard,Arthur A. Levine Books,"Harry Potter, tome 2 : Harry Potter et la Chambre des secrets",Harry Potter and the Sorcerer's Stone
bx_72138_half_20,0,J. K. Rowling,J. K. Rowling,,Paperback,bx_72138,half_20,9780786222728,9780590353427,-1,312,1999,"Oct. 1st, 1999",Thorndike Press,Arthur A. Levine Books,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone
bx_209007_half_20,0,J. K. Rowling,J. K. Rowling,Hardback,Paperback,bx_209007,half_20,9780613206334,9780590353427,-1,312,2001,"Oct. 1st, 1999",Sagebrush Bound,Arthur A. Levine Books,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone
bx_2143_half_20,1,J. K. Rowling,J. K. Rowling,Paperback,Paperback,bx_2143,half_20,9780590353427,9780590353427,-1,312,1999,"Oct. 1st, 1999",Arthur A. Levine Books,Arthur A. Levine Books,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone
bx_17623_half_471,0,Walter Dean Myers,Walter Dean Myers,,,bx_17623,half_471,9780590486699,9780440229162,-1,160,1999,"Oct. 31st, 2001",Scholastic,Laurel Leaf Library,At Her Majesty's Request: An African Princess in Victorian England,145th Street
bx_85471_half_301,0,Caroline B. Cooney,Caroline B. Cooney,,,bx_85471,half_301,9780590674508,9780385732604,-1,200,2000,"May. 8th, 2007",Scholastic,Laurel Leaf Library,Mummy,Code Orange
bx_81435_half_1306,0,Meg Cabot,Meg Cabot,,,bx_81435,half_1306,9780060005535,9780061479939,-1,228,2003,"Mar. 25th, 2008",Avon,Harper Teen,Victoria and the Rogue,The Princess Diaries
bx_49123_half_1306,0,Meg Cabot,Meg Cabot,,,bx_49123,half_1306,9780330482059,9780061479939,-1,228,2001,"Mar. 25th, 2008",Macmillan Children's Books,Harper Teen,The Princess Diaries,The Princess Diaries
bx_102720_half_547,0,Katherine Garbera,Katherine Paterson,,,bx_102720,half_547,9780373791286,9780060734015,-1,191,2004,"Dec. 28th, 2004",Harlequin,HarperTrophy,One Hot Weekend,Bridge to Terabithia
bx_11188_half_547,0,Katherine Paterson,Katherine Paterson,,,bx_11188,half_547,9780060739416,9780060734015,-1,191,2004,"Dec. 28th, 2004",HarperTrophy,HarperTrophy,Bridge to Terabithia,Bridge to Terabithia
bx_15698_half_547,0,Katherine Paterson,Katherine Paterson,,,bx_15698,half_547,9780064401845,9780060734015,-1,191,1987,"Dec. 28th, 2004",HarperTrophy,HarperTrophy,Bridge to Terabithia,Bridge to Terabithia
bx_115212_half_511,0,Christopher Pike,Christopher Pike,,Paperback,bx_115212,half_511,9780312851156,9781442467316,-1,528,1992,"Mar. 5th, 2013",St Martins Pr,Simon Pulse,Season of Passage,Thirst No. 5
bx_260847_half_1667,0,Eve Bunting,Eve Bunting,,Paperback,bx_260847,half_1667,9780899193991,9780064408905,-1,160,1985,"Aug. 8th, 2000",Houghton Mifflin,HarperTrophy,Face at the Edge of the World,Blackwater
bx_215628_half_1667,1,Eve Bunting,Eve Bunting,Paperback,Paperback,bx_215628,half_1667,9780064408905,9780064408905,-1,160,2000,"Aug. 8th, 2000",HarperTrophy,HarperTrophy,Blackwater,Blackwater
bx_168492_half_1456,0,Roald Dahl,Roald Dahl,,,bx_168492,half_1456,9782070516704,9780142400876,-1,288,1999,"Jan. 19th, 2004",Gallimard,Speak,Les Deux Gredins,The Umbrella Man and Other Stories
