ids,bx_author,half_author,bx_binding,half_binding,bx_id,half_id,bx_isbn,half_isbn,bx_pages,half_pages,bx_pubdate,half_pubdate,bx_publisher,half_publisher,bx_title,half_title,label
bx_37285_half_1816,Madeleine L'Engle,Madeleine L'Engle,,,bx_37285,half_1816,9780440227700,9780312368579,-1,357,1991,"May. 1st, 2007",Laurel-Leaf Books,Square Fish,Many Waters,Many Waters,0
bx_213409_half_129,J. K. Rowling,J. K. Rowling,,Paperback,bx_213409,half_129,9780439567626,9780439358071,-1,870,2003,"Sep. 1st, 2004",Scholastic,Scholastic,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,0
bx_69229_half_57,J. R. R. Tolkien,J. R. R. Tolkien,,,bx_69229,half_57,9780618260249,9780618002214,-1,320,2002,"Sep. 15th, 1999",Houghton Mifflin Company,Houghton Mifflin Harcourt (HMH),The Lord of the Rings,The Hobbit,0
bx_60800_half_1535,David Lubar,David Lubar,,,bx_60800,half_1535,9780765342652,9780765342652,-1,213,2003,"Jan. 20th, 2003",Starscape,Starscape Books,Hidden Talents,Hidden Talents,1
bx_55902_half_1585,Clive Barker,Clive Barker,,,bx_55902,half_1585,9780064409940,9780064409940,-1,224,2002,"Feb. 28th, 2002",HarperTrophy,HarperTrophy,The Thief of Always,The Thief of Always,1
bx_177881_half_1851,Terri Farley,Terri Farley,,,bx_177881,half_1851,9780060561581,9780061626456,-1,228,2004,"Mar. 31st, 2009",Avon,HarperCollins,Phantom Stallion #10: Red Feather Filly,Galloping Gold,0
bx_79725_half_1804,T. A. Barron,T. A. Barron,,,bx_79725,half_1804,9780441007134,9780441009305,-1,304,2000,"Apr. 30th, 2002",Ace Books,Ace Books,The Fires of Merlin,The Lost Years of Merlin,0
bx_2143_half_20,J. K. Rowling,J. K. Rowling,Paperback,Paperback,bx_2143,half_20,9780590353427,9780590353427,-1,312,1999,"Oct. 1st, 1999",Arthur A. Levine Books,Arthur A. Levine Books,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,1
bx_28302_half_642,Herge,Herge,,Paperback,bx_28302,half_642,9780316358347,9780316358347,-1,62,1974,"Jun. 30th, 1974","Little, Brown","Little, Brown Books for Young Readers",Red Rackham's Treasure,The Adventures of Tintin,1
bx_141552_half_645,Antoine de Saint-Exupery,Antoine De Saint-Exupery,,,bx_141552,half_645,9780762408535,9782070612758,-1,113,2000,"Mar. 1st, 2007",Running Press Book Publishers,Editions Gallimard,Le Petit Prince Diary With Lock,Le Petit Prince,0
bx_220501_half_1967,Yoshiko Uchida,Yoshiko Uchida,,,bx_220501,half_1967,9780689716720,9780689716720,-1,144,1993,"Apr. 30th, 1993",Aladdin,Aladdin Paperbacks,A Jar of Dreams,A Jar of Dreams,1
bx_40108_half_1791,Laurence Yep,Laurence Yep,,,bx_40108,half_1791,9780590208338,9780590208338,-1,56,1996,"May. 1st, 1996",Scholastic,Scholastic Paperbacks,Hiroshima,Hiroshima,1
bx_44369_half_528,Sharon M. Draper,Sharon M. Draper,,,bx_44369,half_528,9780689851346,9780689851346,-1,288,2002,"Jul. 1st, 2002",Simon Pulse,Simon Pulse,Darkness Before Dawn,Darkness Before Dawn,1
bx_144766_half_2811,Scott O'Dell,Scott O'Dell,,,bx_144766,half_2811,9780440228172,9780440410010,-1,179,1998,"Jan. 31st, 1995",Yearling Books,Yearling Books,Zia,Zia,0
bx_1349_half_1046,Forrest Carter,Ally Carter,,,bx_1349,half_1046,9780826308795,9781423100065,-1,256,1986,"Dec. 1st, 2008",University of New Mexico Press,Hyperion Books,The Education of Little Tree,Cross My Heart and Hope to Spy,0
bx_192610_half_1632,Lee J. Ames,Lee J. Ames,,,bx_192610,half_1632,9780385195195,9780385195195,-1,64,1985,"Mar. 12th, 1985",Doubleday Books,Broadway Books,Draw 50 Animals,Draw 50 Animals,1
bx_135399_half_100,Mildred D. Taylor,Mildred D. Taylor,,,bx_135399,half_100,9780881030433,9780140384512,-1,276,1999,"Feb. 1st, 1997",Sagebrush Bound,Speak,"Roll of Thunder, Hear My Cry","Roll of Thunder, Hear My Cry",0
bx_182838_half_1869,"Arthur Conan, Sir Doyle",Arthur Conan Doyle,,Paperback,bx_182838,half_1869,9780140366990,9780140366990,-1,243,1995,"Nov. 1st, 1995",Puffin Books,Puffin Books,The Hound of the Baskervilles,The Hound of the Baskervilles,1
bx_18713_half_2467,Paul Zindel,Paul Zindel,,,bx_18713,half_2467,9780440229513,9780440229513,-1,192,2003,"Feb. 11th, 2003",Laurel-Leaf Books,Laurel Leaf Library,The Gadget,The Gadget,1
bx_209096_half_2712,Richard Scarry,Richard Chase,,,bx_209096,half_2712,9780307116161,9780618346929,-1,216,1994,"Aug. 25th, 2003",Golden Books,Houghton Mifflin Harcourt (HMH),Richard Scarry's Things to Know,The Jack Tales,0
bx_246024_half_2231,Louise Rennison,Louise Rennison,,,bx_246024,half_2231,9780060288716,9780064472272,-1,272,2000,"Apr. 10th, 2001",HarperCollins,HarperTempest,"Angus, Thongs and Full-Frontal Snogging","Angus, Thongs and Full-Frontal Snogging",0
bx_116887_half_156,Mawi Asgedom,Mawi Asgedom,,,bx_116887,half_156,9780316826204,9780316826204,-1,176,2002,"Sep. 1st, 2002",Megan Tingley,"Little, Brown Books for Young Readers",Of Beetles and Angels : A Boy's Remarkable Journey from a Refugee Camp to Harvard,Of Beetles & Angels,1
bx_28407_half_94,J. K. Rowling,J. K. Rowling,,Paperback,bx_28407,half_94,9780807281949,9780439064873,-1,341,1999,"Sep. 1st, 2000",Listening Library,Scholastic,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,0
bx_14673_half_2423,KIMBERLY WILLIS HOLT,Kimberly Willis Holt,,,bx_14673,half_2423,9780440238416,9780440238416,-1,256,2003,"May. 13th, 2003",Laurel Leaf,Laurel Leaf Library,When Zachary Beaver Came to Town,When Zachary Beaver Came to Town,1
bx_160206_half_1729,Barbara M. Walker,Barbara M. Walker,,,bx_160206,half_1729,9780064460903,9780064460903,-1,240,1989,"Sep. 7th, 1989",HarperTrophy,HarperTrophy,The Little House Cookbook : Frontier Foods from Laura Ingalls Wilder's Classic Stories,The Little House Cookbook,1
bx_56439_half_2103,O.T. Nelson,O. T. Nelson,,,bx_56439,half_2103,9780822596707,9780822596707,-1,204,1995,"Mar. 1st, 1995",Runestone Press,Runestone Press,The Girl Who Owned a City,The Girl Who Owned a City,1
