ids,bx_author,wor_author,bx_binding,wor_binding,bx_id,wor_id,bx_isbn,wor_isbn,bx_pages,wor_pages,bx_pubdate,wor_pubdate,bx_publisher,wor_publisher,bx_title,wor_title,label
bx_2602_wor_11765,Nicholas Sparks,Nicholas Sparks,,Paperback,bx_2602,wor_11765,9780446605236,9780446676090,-1,272,1998,(1 Dec 1999),Warner Books,Time Warner Trade Publishing ,The Notebook,The Notebook,0
bx_198448_wor_29413,Marion Nestle,Marion Nestle,,Paperback,bx_198448,wor_29413,9780520224650,9780520275966,-1,534,2002,(4 Jun 2013),University of California Press,University of California Press ,Food Politics: How the Food Industry Influences Nutrition and Health,Food Politics: How the Food Industry Influences Nutrition and Health,0
bx_10068_wor_5952,Ann Benson,Ann Benson,,Hardback,bx_10068,wor_5952,9780385316514,9780385316514,-1,-1,1997,(12 May 1997),Bantam Dell Pub Group,Delacorte Press ,The Plague Tales,The Plague Tales,1
bx_23132_wor_9892,Frances Hodgson Burnett,Frances Hodgson Burnett,,Paperback,bx_23132,wor_9892,9780064401876,9780689844072,-1,336,1987,(1 Jun 2001),HarperTrophy,Simon & Schuster ,A Little Princess,A Little Princess,0
bx_19657_wor_9679,Sherman Alexie,Sherman Alexie,,Paperback,bx_19657,wor_9679,9781882413768,9781882413768,-1,96,2000,(1 Jan 2000),Hanging Loose Press,"Hanging Loose Press,U.S. ",One Stick Song,One Stick Song,1
bx_25448_wor_11793,Simmel,Mario Johannes Simmel,,Paperback,bx_25448,wor_11793,9783426001455,9783426001455,-1,544,0,(1 Jul 1967),Droemersche Verlagsanstalt Th. Knaur Nachf. GmbH  Co,Knaur Taschenbuch ,Liebe Ist Nur Ein Wort,Liebe ist nur ein Wort,1
bx_153226_wor_15621,Nathaniel Hawthorne,Nathaniel Hawthorne,,Paperback,bx_153226,wor_15621,9780395775479,9780141199450,-1,288,1997,(28 Jun 2012),Houghton Mifflin College Div,Penguin Books Ltd ,Scarlet Letter and Related Readings,The Scarlet Letter,0
bx_17160_wor_8713,Jean Craighead George,"Jean Craighead George, Christine Herman Merrill",,Paperback,bx_17160,wor_8713,9780064406826,9780064406826,-1,133,1997,(17 Jul 2019),HarperTrophy,HarperCollins Publishers Inc ,There's an Owl in the Shower,There's an Owl in the Shower,1
bx_254735_wor_29120,Rosemary Sutcliff,Rosemary Sutcliff,,Hardback,bx_254735,wor_29120,9780192710376,9781857155204,-1,304,1987,(24 Sep 2015),Oxford Univ Pr,Everyman ,The Eagle of the Ninth,The Eagle of the Ninth,0
bx_10115_wor_5974,Bernhard Schlink,Bernhar Schlink,,Paperback,bx_10115,wor_5974,9782070425266,9782070425266,-1,-1,2002,(1 Oct 2002),Gallimard,Gallimard Education ,Amours en fuite,Amours En Fuite,1
bx_12899_wor_7111,Ludwig Thoma,Ludwig Thoma,,Paperback,bx_12899,wor_7111,9783150099513,9783150099513,-1,-1,1997,(1 Jan 1997),"Philipp Reclam, Jun Verlag GmbH",Philipp Reclam Jun Verlag GmbH ,Die Lokalbahn,Die Lokalbahn,1
bx_58166_wor_17953,Various,"Josephine Poole, Angela Barrett",,Paperback,bx_58166,wor_17953,9780140376166,9780099409762,-1,40,1999,(7 Jun 2007),Penguin Uk,Random House Children's Publishers UK ,Dear Anne Frank,Anne Frank,0
bx_63025_wor_18800,William Shakespeare,"William Shakespeare, Prof. Cedric Watts, Prof. Cedric Watts, Dr. Keith Carabine",,Paperback,bx_63025,wor_18800,9780451517401,9781853260186,-1,176,1981,(31 May 1992),Signet Book,Wordsworth Editions Ltd ,Othello,Othello,0
bx_43624_wor_1267,E. L. Doctorow,E. L. Doctorow,,Paperback,bx_43624,wor_1267,9780394506913,9780812978216,-1,258,1982,(11 Sep 2007),Random House Inc,Random House USA Inc ,Loon Lake,Loon Lake,0
bx_64291_wor_16010,Piers Anthony,Piers Anthony,,Paperback,bx_64291,wor_16010,9780312874636,9780765333858,-1,368,2001,(15 Apr 2002),Tor Books,Tor Books ,Dooon Mode,Dooon Mode,0
bx_267854_wor_45053,Cynthia Blair,Andrew Fukud,,Paperback,bx_267854,wor_45053,9780006749141,9780857075482,-1,320,1994,(1 May 2014),HarperCollins Publishers,Simon & Schuster Ltd ,The Trap,The Trap,0
bx_75723_wor_13414,Gina Kolata,Gina Bari Kolata,,Paperback,bx_75723,wor_13414,9780743203982,9780743203982,-1,352,2001,(1 Jan 2001),Touchstone,Simon & Schuster ,Flu : The Story Of The Great Influenza Pandemic,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused it.,1
bx_26682_wor_12269,Steve Thayer,Steve Thayer,,Paperback,bx_26682,wor_12269,9780451410757,9780451410757,-1,-1,2003,(4 Mar 2003),Onyx Books,Onyx Books ,The Wheat Field,The Wheat Field,1
bx_14056_wor_7560,Loung Ung,Loung Ung,,Hardback,bx_14056,wor_7560,9780060193324,9780060193324,-1,256,2000,(28 Feb 2000),HarperCollins,HarperCollins Publishers Inc ,First They Killed My Father : A Daughter of Cambodia Remembers,First They Killed My Father: A Daughter of Cambodia Remembers,1
bx_20339_wor_8543,Margaret Truman,Margaret Truman,,Paperback,bx_20339,wor_8543,9780449001721,9780449219379,-1,352,1998,(1 Mar 1995),Fawcett Books,Fawcett Books ,Murder in the House,Murder on the Potomac,0
bx_44451_wor_42735,Margery Williams,Margery Williams,,Paperback,bx_44451,wor_42735,9780380002559,9781405210546,-1,48,1999,(5 Feb 2004),Avon,Egmont UK Ltd ,The Velveteen Rabbit,The Velveteen Rabbit,0
bx_17594_wor_8900,Mary Pope Osborne,Mary Pope Osborne,,Paperback,bx_17594,wor_8900,9780679883418,9780679883418,-1,96,1998,(12 Feb 1998),Random House Children's Books,Random House USA Inc ,Polar Bears Past Bedtime,Magic Tree House 12: Polar Bears Past Bedtime,1
bx_4137_wor_27499,Mark Twain,Mark Twain,,Paperback,bx_4137,wor_27499,9780140620528,9780141321103,-1,352,1994,(5 Apr 2008),Penguin Books Ltd,Penguin Books Ltd ,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,0
bx_249144_wor_2715,Margaret Dickenson,Barbara Michaels,,Paperback,bx_249144,wor_2715,9780333683668,9781509848355,-1,224,1997,(7 Sep 2017),Pan Macmillan,Pan Macmillan ,The Miller's Daughter,The Wizard's Daughter,0
bx_26476_wor_12196,Miguel De Cervantes,"Miguel de Cervantes Saavedra, Diana de Aramas Wilson, Miguel de Cervantes, Professor Burton Raffel",,Paperback,bx_26476,wor_12196,9780393972818,9780393972818,-1,880,1999,(17 Jan 1999),W. W. Norton  Company,WW Norton & Co ,"Don Quijote: A New Translation, Backgrounds and Contexts, Criticism",Don Quijote,1
bx_11006_wor_6362,David Lewis,David Lewis,,Paperback,bx_11006,wor_6362,9780764226779,9780764226779,-1,352,2004,(1 Apr 2004),Bethany House Publishers,Baker Publishing Group ,Coming Home,Coming Home,1
bx_221571_wor_1727,Marion Zimmer Bradley,"Marion Zimmer Bradley, Paul Edwin Zimmer",,Paperback,bx_221571,wor_1727,9780879979683,9781938185069,-1,148,1992,(21 May 2012),New Amer Library,Marion Zimmer Bradley Literary Works Trust ,Hunters of the Red Moon,Hunters of the Red Moon,0
bx_15515_wor_8137,James Tate,James Tate,,Hardback,bx_15515,wor_8137,9780880013802,9780880013802,-1,82,1994,(20 Jan 1995),W W Norton  Co Inc,ECCO Press ,Worshipful Company of Fletchers: Poems,Worshipful Company of Fletchers: Poems,1
bx_11330_wor_6478,Laura Ingalls Wilder,Laura Ingalls Wilder,,Paperback,bx_11330,wor_6478,9780064400015,9780064400015,-1,238,1953,(14 Dec 2002),HarperTrophy,HarperCollins Publishers Inc ,Little House in the Big Woods,Little House in the Big Woods,1
bx_111687_wor_2593,Judith Guest,Judith Guest,,Paperback,bx_111687,wor_2593,9780345307347,9780140065176,-1,263,1982,(28 Oct 1982),Ballantine Books,Penguin Books ,Ordinary People,Ordinary People,0
bx_213262_wor_20949,Lynne Collins,Kristin Hannah,,Paperback,bx_213262,wor_20949,9780373152667,9780345483799,-1,240,1997,(31 Oct 2006),Harlequin,Random House USA Inc ,Comfort And Joy,Comfort Joy,0
bx_23200_wor_34986,Carl Deuker,Carl Deuker,,Paperback,bx_23200,wor_34986,9780395979365,9780547248912,-1,212,2000,(20 Dec 2010),Houghton Mifflin Company,Houghton Mifflin Harcourt Publishing Company ,Night Hoops,Night Hoops,0
bx_91894_wor_6106,Robert B. Downs,Robert Buderi,,Paperback,bx_91894,wor_6106,9780451626981,9780684835297,-1,576,1992,(22 Dec 1997),Signet Book,Simon & Schuster ,Books That Changed the World,The Invention That Changed the World,0
bx_54699_wor_42303,Emily Drake,Justine Larbalestier,Paperback,Hardback,bx_54699,wor_42303,9780756400354,9781595140548,-1,275,2002,(16 Mar 2006),Daw Books,Razorbill ,The Magickers,Magic Lessons,0
