ids,label,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_rel_jac_an_sim,title_containment_sim,title_exact_sim,author_lev_sim,author_jac_q3_sim,author_jac_an_sim,author_rel_jac_an_sim,author_containment_sim,author_exact_sim,pages_num_abs_diff_sim,pubdate_days_diff_sim,pubdate_months_diff_sim,pubdate_years_diff_sim,binding_exact_sim,publisher_lev_sim,publisher_jac_q3_sim,publisher_jac_an_sim,publisher_rel_jac_an_sim,publisher_containment_sim,publisher_exact_sim
ban_13733_bx_138061,0,0.1724137931034483,0.037037037037037035,0.1111111111111111,0.1111111111111111,0.2,0.0,0.6428571428571428,0.34782608695652173,0.0,0.3333333333333333,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.13793103448275867,0.0,0.0,0.0,0.0,0.0
ban_8337_bx_124591,0,0.26582278481012656,0.025210084033613446,0.0,0.0,0.0,0.0,0.5454545454545454,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08333333333333337,0.0,0.0,0.0,0.0,0.0
ban_13039_bx_114739,0,0.14583333333333337,0.010309278350515464,0.0,0.0,0.0,0.0,0.5294117647058824,0.36,0.25,0.25,0.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0625,0.0,0.0,0.0,0.0,0.0
ban_16551_bx_35213,0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.3,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,0.9186704384724187,0.9188069594034797,0.92,-1.0,0.15384615384615385,0.041666666666666664,0.0,0.0,0.0,0.0
ban_14935_bx_93629,0,0.2666666666666667,0.028169014084507043,0.0,0.0,0.0,0.0,0.5294117647058824,0.32,0.25,0.25,0.5,0.0,-1.0,0.9475845936241976,0.947804473902237,0.95,-1.0,0.050000000000000044,0.0,0.0,0.0,0.0,0.0
ban_5634_bx_131068,0,0.18518518518518523,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.36,0.25,0.25,0.5,0.0,-1.0,0.8650582091176151,0.8649544324772163,0.87,-1.0,0.19999999999999996,0.04,0.0,0.0,0.0,0.0
ban_1136_bx_177014,0,0.2142857142857143,0.03076923076923077,0.1,0.1,0.25,0.0,0.5333333333333333,0.3181818181818182,0.25,0.25,0.5,0.0,-1.0,0.9777771733217278,0.9784589892294946,0.98,-1.0,0.1428571428571429,0.017857142857142856,0.0,0.0,0.0,0.0
ban_1136_bx_109735,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9976607550864977,0.9983429991714996,1.0,-1.0,0.2142857142857143,0.0,0.0,0.0,0.0,0.0
ban_17615_bx_231423,0,0.15517241379310343,0.012195121951219513,0.0,0.0,0.0,0.0,0.7,0.4375,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,0.8534979871613535,0.8541839270919636,0.86,-1.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0
ban_9169_bx_187489,0,0.27586206896551724,0.043478260869565216,0.07692307692307693,0.07692307692307693,0.16666666666666666,0.0,0.6111111111111112,0.37037037037037035,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.24137931034482762,0.022222222222222223,0.0,0.0,0.0,0.0
ban_5761_bx_172457,0,0.2432432432432432,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.34615384615384615,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,0.9801980198019802,0.980115990057995,0.98,-1.0,0.0625,0.0,0.0,0.0,0.0,0.0
ban_5517_bx_51622,0,0.2222222222222222,0.03508771929824561,0.125,0.125,0.25,0.0,0.5,0.30434782608695654,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,0.7914807964312915,0.792046396023198,0.8,-1.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0
ban_4643_bx_105246,0,0.22368421052631582,0.03278688524590164,0.05555555555555555,0.05555555555555555,0.14285714285714285,0.0,0.6,0.375,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,0.9843869002284844,0.9850869925434963,0.99,-1.0,0.16666666666666663,0.02564102564102564,0.0,0.0,0.0,0.0
ban_2147_bx_69730,0,0.15909090909090906,0.0,0.0,0.0,0.0,0.0,0.6,0.32,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,0.9336851267544337,0.9337199668599834,0.94,-1.0,0.3571428571428571,0.07142857142857142,0.0,0.0,0.0,0.0
ban_6105_bx_214780,0,0.2142857142857143,0.015384615384615385,0.0,0.0,0.0,0.0,0.5333333333333333,0.3181818181818182,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,0.8336960069633337,0.8342999171499585,0.84,-1.0,0.20833333333333337,0.0,0.0,0.0,0.0,0.0
ban_17355_bx_148510,0,0.18181818181818177,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.47619047619047616,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,0.8673702535088674,0.8674399337199669,0.87,-1.0,0.13953488372093026,0.0,0.0,0.0,0.0,0.0
ban_14913_bx_45368,0,0.21739130434782605,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.3333333333333333,0.25,0.25,0.5,0.0,-1.0,0.9685561962789686,0.9685169842584921,0.96,-1.0,0.23076923076923073,0.04,0.0,0.0,0.0,0.0
ban_14913_bx_194461,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9917038407137417,0.9917149958574979,1.0,-1.0,0.20833333333333337,0.0,0.0,0.0,0.0,0.0
ban_12076_bx_245843,0,0.28125,0.05454545454545454,0.0,0.0,0.0,0.0,0.6153846153846154,0.3333333333333333,0.25,0.25,0.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23076923076923073,0.0,0.0,0.0,0.0,0.0
ban_17196_bx_73992,0,0.1964285714285714,0.0,0.0,0.0,0.0,0.0,0.6875,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,0.9536503100859537,0.9536039768019884,0.96,-1.0,0.19999999999999996,0.02702702702702703,0.0,0.0,0.0,0.0
ban_1954_bx_84971,0,0.18604651162790697,0.03571428571428571,0.1,0.1,0.3333333333333333,0.0,0.5882352941176471,0.3333333333333333,0.25,0.25,0.5,0.0,-1.0,0.9721466652159721,0.9726594863297432,0.98,-1.0,0.18518518518518523,0.024390243902439025,0.0,0.0,0.0,0.0
ban_1954_bx_387,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.8628549668153629,0.8632974316487159,0.87,-1.0,0.2222222222222222,0.04878048780487805,0.0,0.0,0.0,0.0
ban_2960_bx_160239,0,0.19469026548672563,0.07659574468085106,0.05128205128205128,0.05128205128205128,0.16666666666666666,0.0,0.5454545454545454,0.3,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,0.8585028832553585,0.8591549295774648,0.86,-1.0,0.16666666666666663,0.0,0.0,0.0,0.0,0.0
ban_11579_bx_167416,0,0.2676056338028169,0.07563025210084033,0.043478260869565216,0.043478260869565216,0.08333333333333333,0.0,0.56,0.5,0.5,0.5,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32558139534883723,0.2978723404255319,0.4,0.4,1.0,0.0
