ids,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_rel_jac_an_sim,title_containment_sim,title_exact_sim,author_lev_sim,author_jac_q3_sim,author_jac_an_sim,author_rel_jac_an_sim,author_containment_sim,author_exact_sim,pages_num_abs_diff_sim,pubdate_days_diff_sim,pubdate_months_diff_sim,pubdate_years_diff_sim,binding_exact_sim,publisher_lev_sim,publisher_jac_q3_sim,publisher_jac_an_sim,publisher_rel_jac_an_sim,publisher_containment_sim,publisher_exact_sim,label
ban_12627_bx_37223,0.9420289855072463,0.9142857142857143,1.0,1.0,1.0,0.0,0.5217391304347826,0.5238095238095238,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07692307692307687,0.0,0.0,0.0,0.0,0.0,1
ban_2134_bx_19487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9866445435752367,0.9859154929577465,0.98,-1.0,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,1
ban_3591_bx_150357,0.7708333333333334,0.7362637362637363,0.6666666666666666,0.6666666666666666,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,-1.0,0.9901534109454901,0.9908864954432477,1.0,-1.0,0.1875,0.14285714285714285,0.0,0.0,0.0,0.0,1
ban_2235_bx_245010,0.8961038961038961,0.8095238095238095,0.8181818181818182,0.8181818181818182,0.9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9934990751822435,0.9942004971002486,1.0,-1.0,0.18518518518518523,0.023809523809523808,0.0,0.0,0.0,0.0,1
ban_247_bx_5265,0.9512195121951219,0.9090909090909091,0.8571428571428571,0.8571428571428571,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9955663148732455,0.995857497928749,1.0,-1.0,0.75,0.4857142857142857,0.5,0.5,0.6666666666666666,0.0,1
ban_2202_bx_101632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9926558589924926,0.9933719966859983,1.0,-1.0,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,1
ban_539_bx_184332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.894026765313894,0.8939519469759735,0.9,-1.0,0.6842105263157895,0.5652173913043478,0.6666666666666666,0.6666666666666666,1.0,0.0,0
ban_1044_bx_270049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9926558589924926,0.9933719966859983,1.0,-1.0,0.2068965517241379,0.0,0.0,0.0,0.0,0.0,0
ban_781_bx_58572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.8228973996300729,0.8235294117647058,0.83,-1.0,0.37037037037037035,0.12244897959183673,0.0,0.0,0.0,0.0,0
ban_8921_bx_226052,0.7804878048780488,0.62,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.0,0.30434782608695654,0.3888888888888889,0.5,0.5,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
ban_2868_bx_264292,0.275,0.05405405405405406,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.8907083015993907,0.8906379453189727,0.89,-1.0,0.7142857142857143,0.6470588235294118,0.5,0.5,1.0,0.0,0
ban_177_bx_242874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.045454545454545414,0.0,0.0,0.0,0.0,0.0,0
ban_363_bx_11976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9926286584702426,0.9933719966859983,1.0,-1.0,0.12,0.05,0.0,0.0,0.0,0.0,1
ban_1140_bx_158126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9976607550864977,0.9983429991714996,1.0,-1.0,0.76,0.5483870967741935,0.5,0.5,0.6666666666666666,0.0,1
ban_5486_bx_164571,1.0,1.0,1.0,1.0,1.0,1.0,0.8461538461538461,0.75,0.6666666666666666,0.6666666666666666,1.0,0.0,-1.0,0.99997279947775,1.0,1.0,-1.0,0.09375,0.0,0.0,0.0,0.0,0.0,1
ban_3992_bx_244917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9602872375149603,0.9610604805302403,0.97,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ban_2150_bx_5404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9968175388967468,0.9975144987572494,1.0,-1.0,0.125,0.03333333333333333,0.0,0.0,0.0,0.0,1
ban_6917_bx_19757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5172413793103448,0.3611111111111111,0.4,0.4,0.6666666666666666,0.0,0
ban_477_bx_140530,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9976607550864977,0.9983429991714996,1.0,-1.0,0.41666666666666663,0.17073170731707318,0.0,0.0,0.0,0.0,0
ban_1657_bx_16131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9926558589924926,0.9933719966859983,1.0,-1.0,0.33333333333333337,0.23076923076923078,0.5,0.5,1.0,0.0,1
ban_1103_bx_8823,0.1071428571428571,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.8111195734958111,0.8111019055509527,0.81,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
ban_15460_bx_156175,0.4782608695652174,0.4074074074074074,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9925742574257426,0.9925434962717481,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
ban_2471_bx_74766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9918126428027418,0.9925434962717481,1.0,-1.0,0.10344827586206895,0.0,0.0,0.0,0.0,0.0,1
ban_2809_bx_90045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9992655858992493,1.0,1.0,-1.0,0.10344827586206895,0.0,0.0,0.0,0.0,0.0,1
ban_2844_bx_230552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9983407681427483,0.9983429991714996,1.0,-1.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,1
ban_1878_bx_904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9951583070394951,0.995857497928749,1.0,-1.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,1
ban_104_bx_1844,0.34285714285714286,0.45652173913043476,0.5,0.5,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9974159503862474,0.9966859983429992,0.99,-1.0,0.5862068965517242,0.5897435897435898,0.6,0.6,0.75,0.0,0
ban_1498_bx_170666,0.8333333333333334,0.7692307692307693,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.8461266456315961,0.8467274233637117,0.85,-1.0,0.1578947368421053,0.0,0.0,0.0,0.0,0.0,0
ban_40_bx_24440,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.807964312914808,0.8077879038939519,0.81,-1.0,0.19999999999999996,0.034482758620689655,0.0,0.0,0.0,0.0,0
