ids,label,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_rel_jac_an_sim,title_containment_sim,title_exact_sim,author_lev_sim,author_jac_q3_sim,author_jac_an_sim,author_rel_jac_an_sim,author_containment_sim,author_exact_sim,pages_num_abs_diff_sim,pubdate_days_diff_sim,pubdate_months_diff_sim,pubdate_years_diff_sim,binding_exact_sim,publisher_lev_sim,publisher_jac_q3_sim,publisher_jac_an_sim,publisher_rel_jac_an_sim,publisher_containment_sim,publisher_exact_sim
ban_15747_half_741,0,0.2195121951219512,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9223886808156471,0.7887715397443024,0.7884940778341794,0.7959183673469388,-1.0,0.17391304347826086,0.05555555555555555,0.0,0.0,0.0,0.0
ban_15696_half_741,0,0.2018348623853211,0.029197080291970802,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9646275488972118,0.9709838799332963,0.9712351945854484,0.9591836734693877,-1.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0
ban_16768_half_741,0,0.24390243902439024,0.0273972602739726,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9754473574698294,0.9467481934408004,0.9475465313028765,0.9387755102040817,-1.0,0.21739130434782605,0.0,0.0,0.0,0.0,0.0
ban_17592_half_741,0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9958385351643778,0.9803779877709838,0.9796954314720813,0.9795918367346939,-1.0,0.07692307692307687,0.0,0.0,0.0,0.0,0.0
ban_14736_half_741,0,0.09302325581395354,0.011627906976744186,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9101123595505618,0.7794330183435242,0.7783417935702199,0.7755102040816326,-1.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0
ban_15176_half_741,0,0.19512195121951215,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9400749063670412,0.9310728182323513,0.9306260575296108,0.9183673469387755,-1.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0
ban_15949_half_741,0,0.22368421052631582,0.046296296296296294,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9796088223054515,0.7745414118954975,0.7749576988155669,0.7755102040816326,-1.0,0.08695652173913049,0.0,0.0,0.0,0.0,0.0
ban_14894_half_741,0,0.14634146341463417,0.030303030303030304,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9918851435705368,0.9447470817120622,0.9458544839255499,0.9387755102040817,-1.0,0.21875,0.03636363636363636,0.0,0.0,0.0,0.0
ban_17613_half_741,0,0.1707317073170732,0.0136986301369863,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9858510195588848,0.9531406336853807,0.9543147208121827,0.9387755102040817,-1.0,0.21875,0.03636363636363636,0.0,0.0,0.0,0.0
ban_17296_half_741,0,0.21153846153846156,0.022727272727272728,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.937786100707449,0.8598665925514175,0.8595600676818951,0.8571428571428572,-1.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0
ban_16199_half_741,0,0.12195121951219512,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8593424885559717,0.7918843802112284,0.7918781725888324,0.7959183673469388,-1.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0
ban_16855_half_741,0,0.16666666666666663,0.011764705882352941,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9966708281315023,0.7593107281823235,0.7597292724196277,0.7551020408163265,-1.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0
ban_15541_half_741,0,0.18018018018018023,0.0136986301369863,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9579692051602164,0.7756531406336854,0.7749576988155669,0.7755102040816326,-1.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0
ban_16986_half_741,0,0.1707317073170732,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9367457344985435,0.8354085603112841,0.8341793570219966,0.8367346938775511,-1.0,0.21739130434782605,0.0,0.0,0.0,0.0,0.0
ban_16741_half_741,0,0.1607142857142857,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.838535164377861,0.9737076153418566,0.9746192893401016,0.9591836734693877,-1.0,0.21739130434782605,0.0,0.0,0.0,0.0,0.0
