ids,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_rel_jac_an_sim,title_containment_sim,title_exact_sim,author_lev_sim,author_jac_q3_sim,author_jac_an_sim,author_rel_jac_an_sim,author_containment_sim,author_exact_sim,pages_num_abs_diff_sim,pubdate_days_diff_sim,pubdate_months_diff_sim,pubdate_years_diff_sim,binding_exact_sim,publisher_lev_sim,publisher_jac_q3_sim,publisher_jac_an_sim,publisher_rel_jac_an_sim,publisher_containment_sim,publisher_exact_sim,label
ban_2499_half_2797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975031210986267,1.0,1.0,1.0,-1.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,1
ban_1820_half_2072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
ban_1835_half_2909,0.1785714285714286,0.04838709677419355,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9101123595505618,0.9287937743190662,0.9289340101522843,0.9183673469387755,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ban_656_half_763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986659255141745,1.0,1.0,-1.0,0.1428571428571429,0.23076923076923078,0.0,0.0,0.0,0.0,1
ban_502_half_425,0.5,0.30434782608695654,0.3333333333333333,0.3333333333333333,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9870994590095714,0.933852140077821,0.934010152284264,0.9387755102040817,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
ban_16568_half_262,0.1166666666666667,0.0,0.0,0.0,0.0,0.0,0.5625,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.7482313774448606,0.8106170094496943,0.8104906937394247,0.8163265306122449,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ban_90_half_523,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5106117353308365,0.9801556420233463,0.9813874788494078,1.0,-1.0,0.11111111111111116,0.0,0.0,0.0,0.0,0.0,0
ban_673_half_852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9945900957136912,1.0,1.0,1.0,-1.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,1
ban_1804_half_1008,0.21739130434782605,0.18518518518518517,0.25,0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989994441356309,1.0,1.0,-1.0,0.1785714285714286,0.0,0.0,0.0,0.0,0.0,1
ban_235_half_512,0.13043478260869568,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.36,0.25,0.25,0.5,0.0,0.9642114024136496,0.7244580322401334,0.7241962774957699,0.7142857142857143,-1.0,0.09090909090909094,0.0,0.0,0.0,0.0,0.0,0
