ids,label,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_rel_jac_an_sim,title_containment_sim,title_exact_sim,author_lev_sim,author_jac_q3_sim,author_jac_an_sim,author_rel_jac_an_sim,author_containment_sim,author_exact_sim,pages_num_abs_diff_sim,pubdate_days_diff_sim,pubdate_months_diff_sim,pubdate_years_diff_sim,binding_exact_sim,publisher_lev_sim,publisher_jac_q3_sim,publisher_jac_an_sim,publisher_rel_jac_an_sim,publisher_containment_sim,publisher_exact_sim
ban_8430_wor_21164,0,0.06818181818181823,0.021739130434782608,0.0,0.0,0.0,0.0,0.6103896103896104,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.5,0.0,0.9155566725307867,-1.0,-1.0,-1.0,-1.0,0.23076923076923073,0.0,0.0,0.0,0.0,0.0
ban_5949_wor_6277,0,0.19354838709677424,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2702702702702703,0.10714285714285714,0.125,0.125,0.25,0.0
ban_9034_wor_18623,0,0.18518518518518523,0.0,0.0,0.0,0.0,0.0,0.5,0.32,0.3333333333333333,0.3333333333333333,0.5,0.0,0.9514953505906006,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
ban_3063_wor_24051,0,0.12,0.0,0.0,0.0,0.0,0.0,0.6103896103896104,0.3888888888888889,0.3333333333333333,0.3333333333333333,0.5,0.0,0.991455139482282,0.961163958806858,0.9615384615384616,0.9690721649484536,-1.0,0.05555555555555558,0.0,0.0,0.0,0.0,0.0
ban_8926_wor_9463,0,0.21621621621621623,0.03225806451612903,0.0,0.0,0.0,0.0,0.6651785714285714,0.391304347826087,0.3333333333333333,0.3333333333333333,0.5,0.0,0.8906760492586077,-1.0,-1.0,-1.0,-1.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0
ban_14177_wor_44185,0,0.17045454545454541,0.009009009009009009,0.0,0.0,0.0,0.0,0.5408163265306122,0.3181818181818182,0.3333333333333333,0.3333333333333333,0.5,0.0,0.9798944458406634,-1.0,-1.0,-1.0,-1.0,0.34615384615384615,0.125,0.2,0.2,0.3333333333333333,0.0
ban_15177_wor_26078,0,0.14634146341463417,0.016129032258064516,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9940230659146393,0.9931623931623932,1.0,-1.0,0.24,0.0,0.0,0.0,0.0,0.0
ban_3515_wor_24816,0,0.34090909090909094,0.23711340206185566,0.16666666666666666,0.25,0.3125,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9896736537867946,0.9897435897435898,0.9896907216494846,-1.0,0.25,0.02631578947368421,0.0,0.0,0.0,0.0
ban_374_wor_15062,0,0.2142857142857143,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9919577783362654,0.9363021578696299,0.9358974358974359,0.9381443298969072,-1.0,0.20833333333333337,0.0,0.0,0.0,0.0,0.0
ban_374_wor_9555,0,0.23076923076923073,0.12121212121212122,0.2,0.2,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9839155566725308,0.8224036815669108,0.823076923076923,0.8247422680412371,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
ban_1520_wor_12790,0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.5135135135135135,0.5,0.5,1.0,0.0,0.8994722292033174,0.9105985352302383,0.9111111111111111,0.9072164948453608,-1.0,0.7391304347826086,0.5483870967741935,0.5,0.5,0.6666666666666666,0.0
ban_1520_wor_18785,0,0.09090909090909094,0.023255813953488372,0.0,0.0,0.0,0.0,0.6305418719211823,0.59375,0.5,0.5,1.0,0.0,0.9879366675043981,0.9977832028509696,0.9982905982905983,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
ban_1520_wor_18801,1,0.21212121212121215,0.2222222222222222,0.25,0.25,1.0,0.0,0.6305418719211823,0.59375,0.5,0.5,1.0,0.0,1.0,0.9956786485955608,0.9957264957264957,0.9896907216494846,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
ban_1687_wor_28240,0,0.5,0.15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9573757611471224,0.9572649572649573,0.9587628865979382,-1.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0
ban_41_wor_28213,0,0.20833333333333337,0.02631578947368421,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9959788891681327,0.9078205236130987,0.9076923076923077,0.9072164948453608,-1.0,0.40740740740740744,0.2,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0
ban_1829_wor_38087,0,0.21212121212121215,0.02040816326530612,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9668258356370948,0.9169121979964644,0.917094017094017,0.9175257731958762,-1.0,0.5,0.2857142857142857,0.25,0.25,0.5,0.0
