ids,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_rel_jac_an_sim,title_containment_sim,title_exact_sim,author_lev_sim,author_jac_q3_sim,author_jac_an_sim,author_rel_jac_an_sim,author_containment_sim,author_exact_sim,pages_num_abs_diff_sim,pubdate_days_diff_sim,pubdate_months_diff_sim,pubdate_years_diff_sim,binding_exact_sim,publisher_lev_sim,publisher_jac_q3_sim,publisher_jac_an_sim,publisher_rel_jac_an_sim,publisher_containment_sim,publisher_exact_sim,label
ban_260_wor_23106,0.32352941176470584,0.14583333333333334,0.2222222222222222,0.2222222222222222,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962302085951245,0.9890563178718748,0.9888888888888889,0.9896907216494846,-1.0,0.36363636363636365,0.17142857142857143,0.25,0.25,0.5,0.0,0
ban_1177_wor_38124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9927117366172405,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
ban_2381_wor_44268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939683337521991,0.9559727249768499,0.9564102564102565,0.9587628865979382,-1.0,0.18518518518518523,0.0,0.0,0.0,0.0,0.0,0
ban_1998_wor_36975,1.0,1.0,1.0,1.0,1.0,1.0,0.943609022556391,0.782608695652174,0.3333333333333333,1.0,0.5,0.0,1.0,0.99969133204254,0.9991452991452991,0.9896907216494846,-1.0,0.8571428571428572,0.75,0.6666666666666666,0.6666666666666666,1.0,0.0,1
ban_3343_wor_23918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9790947610629402,0.9794871794871794,0.979381443298969,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
ban_3010_wor_25240,1.0,1.0,1.0,1.0,1.0,1.0,0.18478260869565213,0.3333333333333333,0.5,0.5,1.0,0.0,1.0,0.9992423604680528,1.0,1.0,-1.0,0.18181818181818177,0.0,0.0,0.0,0.0,0.0,1
ban_114_wor_34414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9919577783362654,0.9680388360411931,0.9683760683760684,0.9690721649484536,-1.0,0.05882352941176472,0.0,0.0,0.0,0.0,0.0,0
ban_3084_wor_19172,1.0,1.0,1.0,1.0,1.0,1.0,0.529616724738676,0.5,0.7142857142857143,0.7142857142857143,1.0,0.0,-1.0,0.9279120015714005,0.9273504273504274,0.9278350515463918,-1.0,0.7906976744186046,0.723404255319149,0.6666666666666666,0.6666666666666666,0.8,0.0,0
ban_710_wor_11768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9206723349327945,0.9213675213675214,0.9175257731958762,-1.0,0.125,0.0,0.0,0.0,0.0,0.0,0
ban_1320_wor_8522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8784128854841877,0.8786324786324786,0.8762886597938144,-1.0,0.125,0.0,0.0,0.0,0.0,0.0,1
ban_2850_wor_44579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98969590349334,0.9896736537867946,0.9897435897435898,0.9896907216494846,-1.0,0.10256410256410253,0.0,0.0,0.0,0.0,0.0,0
ban_874_wor_39178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9937170143252073,0.9127872716558633,0.9128205128205128,0.9072164948453608,-1.0,0.29166666666666663,0.1875,0.0,0.0,0.0,0.0,0
ban_1790_wor_47505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962302085951245,1.0,1.0,1.0,-1.0,0.8888888888888888,0.8095238095238095,0.3333333333333333,1.0,0.5,0.0,1
