ids,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_rel_jac_an_sim,title_containment_sim,title_exact_sim,author_lev_sim,author_jac_q3_sim,author_jac_an_sim,author_rel_jac_an_sim,author_containment_sim,author_exact_sim,pages_num_abs_diff_sim,pubdate_days_diff_sim,pubdate_months_diff_sim,pubdate_years_diff_sim,binding_exact_sim,publisher_lev_sim,publisher_jac_q3_sim,publisher_jac_an_sim,publisher_rel_jac_an_sim,publisher_containment_sim,publisher_exact_sim,label
bx_37285_half_1816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.8350618103376752,0.835016835016835,0.8383838383838383,-1.0,0.1875,0.0,0.0,0.0,0.0,0.0,0
bx_213409_half_129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9831577200696922,0.9831649831649831,0.98989898989899,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
bx_69229_half_57,0.2857142857142857,0.13793103448275862,0.2,0.2,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9767969246937138,0.9764309764309764,0.9696969696969697,-1.0,0.6551724137931034,0.425,0.4,0.4,0.6666666666666666,0.0,0
bx_60800_half_1535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9994745429906801,1.0,1.0,-1.0,0.6,0.47368421052631576,0.5,0.5,1.0,0.0,1
bx_55902_half_1585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9983959733399707,0.9991582491582491,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
bx_177881_half_1851,0.16216216216216217,0.018518518518518517,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9470118089548937,0.9478114478114478,0.9494949494949495,-1.0,0.23076923076923073,0.0,0.0,0.0,0.0,0.0,0
bx_79725_half_1804,0.6666666666666667,0.46875,0.5,0.5,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9764927127409497,0.9772727272727273,0.9797979797979798,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
bx_2143_half_20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9924500124450344,0.9924242424242424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
bx_28302_half_642,0.125,0.02127659574468085,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9950219862274953,0.9957912457912458,1.0,-1.0,0.33333333333333337,0.3,0.3333333333333333,0.3333333333333333,1.0,0.0,1
bx_141552_half_645,0.4838709677419355,0.42857142857142855,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.927652866506264,0.9276094276094276,0.9292929292929293,-1.0,0.2068965517241379,0.0,0.0,0.0,0.0,0.0,0
