ids,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_rel_jac_an_sim,title_containment_sim,title_exact_sim,author_lev_sim,author_jac_q3_sim,author_jac_an_sim,author_rel_jac_an_sim,author_containment_sim,author_exact_sim,pages_num_abs_diff_sim,pubdate_days_diff_sim,pubdate_months_diff_sim,pubdate_years_diff_sim,binding_exact_sim,publisher_lev_sim,publisher_jac_q3_sim,publisher_jac_an_sim,publisher_rel_jac_an_sim,publisher_containment_sim,publisher_exact_sim,label
bx_2602_wor_11765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9814652772253599,0.9814366424535916,0.9903846153846154,-1.0,0.2857142857142857,0.1282051282051282,0.2,0.2,0.5,0.0,0
bx_198448_wor_29413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.8893750165725347,0.8894269572235673,0.8942307692307693,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
bx_10068_wor_5952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.996526396733222,0.9967715899919289,1.0,-1.0,0.19047619047619047,0.02564102564102564,0.0,0.0,0.0,0.0,1
bx_23132_wor_9892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.860392967942089,0.8603712671509282,0.8653846153846154,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bx_19657_wor_9679,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.9047619047619048,0.8333333333333334,0.5,1.0,0.6666666666666666,0.0,1
bx_25448_wor_11793,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.24,0.3333333333333333,0.3333333333333333,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19999999999999996,0.09230769230769231,0.125,0.125,0.5,0.0,1
bx_153226_wor_15621,0.2857142857142857,0.2619047619047619,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.8499986741972264,0.8506860371267151,0.8557692307692308,-1.0,0.2142857142857143,0.020833333333333332,0.0,0.0,0.0,0.0,0
bx_17160_wor_8713,1.0,1.0,1.0,1.0,1.0,1.0,0.4565217391304348,0.42857142857142855,0.5,0.5,1.0,0.0,-1.0,0.7817198313578873,0.7820823244552058,0.7884615384615384,-1.0,0.2857142857142857,0.15789473684210525,0.0,0.0,0.0,0.0,1
bx_254735_wor_29120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.7217670299366266,0.7223567393058918,0.7307692307692308,-1.0,0.1428571428571429,0.0,0.0,0.0,0.0,0.0,0
bx_10115_wor_5974,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.75,0.3333333333333333,1.0,0.5,0.0,-1.0,0.9927611168562565,0.9927360774818402,1.0,-1.0,0.4736842105263158,0.391304347826087,0.5,0.5,1.0,0.0,1
