ids,label,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_rel_jac_an_sim,title_containment_sim,title_exact_sim,author_lev_sim,author_jac_q3_sim,author_jac_an_sim,author_rel_jac_an_sim,author_containment_sim,author_exact_sim,pages_num_abs_diff_sim,pubdate_days_diff_sim,pubdate_months_diff_sim,pubdate_years_diff_sim,binding_exact_sim,publisher_lev_sim,publisher_jac_q3_sim,publisher_jac_an_sim,publisher_rel_jac_an_sim,publisher_containment_sim,publisher_exact_sim
wor_26933_half_1861,0,0.1875,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.0
wor_10537_half_420,0,0.1428571428571429,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08333333333333337,0.0,0.0,0.0,0.0,0.0
wor_27874_half_420,0,0.11764705882352944,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8594249201277955,0.9944678461106431,0.9948717948717949,0.9896907216494846,-1.0,0.5,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.5,0.0
wor_36686_half_420,0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9686324066273518,0.9692307692307692,0.9690721649484536,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
wor_19376_half_238,0,0.15625,0.0,0.0,0.0,0.0,0.0,0.7333333333333334,0.32,0.0,0.3333333333333333,0.0,0.0,-1.0,0.8982589160348217,0.8982905982905983,0.8969072164948454,0.0,0.13888888888888884,0.0,0.0,0.0,0.0,0.0
wor_29655_half_238,0,0.4482758620689655,0.3939393939393939,0.4,0.4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9616613418530351,0.9995506880089863,1.0,1.0,1.0,0.5833333333333333,0.3695652173913043,0.25,0.42857142857142855,0.5,0.0
wor_29666_half_238,0,0.4482758620689655,0.4375,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9616613418530351,0.989778152204437,0.9897435897435898,0.9896907216494846,0.0,0.4444444444444444,0.2708333333333333,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.0
wor_19510_half_2894,0,0.109375,0.0136986301369863,0.0,0.0,0.0,0.0,0.5625,0.3333333333333333,0.25,0.25,0.5,0.0,-1.0,0.9034260039314799,0.9034188034188034,0.9072164948453608,-1.0,0.16666666666666663,0.038461538461538464,0.0,0.0,0.0,0.0
wor_386_half_2894,0,0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.34782608695652173,0.3333333333333333,0.3333333333333333,0.5,0.0,0.8913738019169329,0.8971075540578489,0.8965811965811966,0.8969072164948454,-1.0,0.16666666666666663,0.0,0.0,0.0,0.0,0.0
wor_25223_half_576,0,0.13043478260869568,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.3181818181818182,0.3333333333333333,0.3333333333333333,0.5,0.0,-1.0,0.9533277169334456,0.9538461538461538,0.9587628865979382,-1.0,0.125,0.0,0.0,0.0,0.0,0.0
wor_5643_half_576,0,0.20833333333333337,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.3181818181818182,0.3333333333333333,0.3333333333333333,0.5,0.0,0.9640575079872205,0.998989048020219,0.9991452991452991,1.0,-1.0,0.20833333333333337,0.0,0.0,0.0,0.0,0.0
wor_27935_half_576,0,0.19047619047619047,0.03333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8362619808306709,0.997893850042123,0.9974358974358974,0.9896907216494846,-1.0,0.16666666666666663,0.0,0.0,0.0,0.0,0.0
