ids,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_rel_jac_an_sim,title_containment_sim,title_exact_sim,author_lev_sim,author_jac_q3_sim,author_jac_an_sim,author_rel_jac_an_sim,author_containment_sim,author_exact_sim,pages_num_abs_diff_sim,pubdate_days_diff_sim,pubdate_months_diff_sim,pubdate_years_diff_sim,binding_exact_sim,publisher_lev_sim,publisher_jac_q3_sim,publisher_jac_an_sim,publisher_rel_jac_an_sim,publisher_containment_sim,publisher_exact_sim,label
wor_29666_half_238,0.4482758620689655,0.4375,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9616613418530351,0.989778152204437,0.9897435897435898,0.9896907216494846,0.0,0.4444444444444444,0.2708333333333333,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.0,0
wor_46392_half_2709,0.9090909090909091,0.625,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984025559105432,0.9992698680146026,0.9991452991452991,1.0,-1.0,0.625,0.5357142857142857,0.5,0.5,0.6666666666666666,0.0,1
wor_48300_half_3000,0.4651162790697675,0.43478260869565216,0.42857142857142855,0.42857142857142855,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9912140575079872,0.9938500421229992,0.994017094017094,0.9896907216494846,1.0,0.5,0.28125,0.25,0.25,0.5,0.0,1
wor_31756_half_415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.9490873350182533,0.9495726495726495,0.9484536082474226,-1.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0
wor_32172_half_463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6628755967424881,0.6632478632478632,0.6597938144329897,-1.0,0.052631578947368474,0.0,0.0,0.0,0.0,0.0,0
wor_42858_half_2066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995787700084247,1.0,1.0,-1.0,0.4375,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.5,0.0,0
wor_36882_half_1166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11111111111111116,0.0,0.0,0.0,0.0,0.0,1
wor_36466_half_1107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9464856230031948,0.6482448750351024,0.6478632478632478,0.6391752577319587,-1.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0
wor_42284_half_1984,0.43999999999999995,0.36666666666666664,0.2,0.2,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9361022364217253,0.9329401853411963,0.9333333333333333,0.9278350515463918,-1.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0
wor_36788_half_1151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.25,0.1,0.0,0.0,0.0,0.0,0
