ids,label,wor_author,half_author,wor_binding,half_binding,wor_id,half_id,wor_isbn,half_isbn,wor_pages,half_pages,wor_pubdate,half_pubdate,wor_publisher,half_publisher,wor_title,half_title
wor_26933_half_1861,0,Lois Lenski,Lois Lowry,Paperback,,wor_26933,half_1861,9780375822643,9780440239123,-1,169,(24 Sep 2002),,Random House USA Inc ,Laurel Leaf Library,The Little Train,Messenger
wor_10537_half_420,0,,,Paperback,,wor_10537,half_420,9782070388639,9781423170884,-1,144,,"Jan. 22nd, 2013",GALLIMARD ,Disney Press,"Calaferte, L: FRE-MECANIQUE DES FEMMES",Oz Junior Novel
wor_27874_half_420,0,,,Paperback,,wor_27874,half_420,9781845138264,9781423170884,320,144,(9 Jul 2012),"Jan. 22nd, 2013",Aurum Press ,Disney Press,Elisabeth Sladen: The Autobiography,Oz Junior Novel
wor_36686_half_420,0,,,,,wor_36686,half_420,9788820049461,9781423170884,-1,144,(1 Jan 2010),"Jan. 22nd, 2013",,Disney Press,Eternity,Oz Junior Novel
wor_19376_half_238,0,Stephanie Maze,Stephenie Meyer,Hardback,Paperback,wor_19376,half_238,9780739830710,9780316067935,-1,768,(1 Sep 2000),"Aug. 3rd, 2010",Steck-Vaughn Company ,"Little, Brown Books for Young Readers",I Want to be an Environmentalist,Breaking Dawn
wor_29655_half_238,0,Stephenie Meyer,Stephenie Meyer,Paperback,Paperback,wor_29655,half_238,9781907410352,9780316067935,720,768,(19 Aug 2010),"Aug. 3rd, 2010","Little, Brown Book Group ","Little, Brown Books for Young Readers","Breaking Dawn: Twilight, Book 4",Breaking Dawn
wor_29666_half_238,0,Stephenie Meyer,Stephenie Meyer,Hardback,Paperback,wor_29666,half_238,9780316044615,9780316067935,720,768,(4 Aug 2009),"Aug. 3rd, 2010","Little, Brown & Company ","Little, Brown Books for Young Readers",Breaking Dawn Special Edition,Breaking Dawn
wor_19510_half_2894,0,Richard a Lupoff,Richard Peck,Paperback,,wor_19510,half_2894,9781434445209,9780142500347,-1,160,(22 Aug 2012),"Mar. 24th, 2003",Borgo Press ,Puffin Books,"The Comic Book Killer: The Lindsey Plum Detective Series, Book One",Fair Weather
wor_386_half_2894,0,Richard Brassey,Richard Peck,Paperback,,wor_386,half_2894,9781444001297,9780142500347,24,160,(4 Apr 2013),"Mar. 24th, 2003",Hachette Children's Group ,Puffin Books,Robin Hood,Fair Weather
wor_25223_half_576,0,James Miln,James Patterson,Hardback,,wor_25223,half_576,9781362502302,9780316038324,-1,291,(26 Aug 2016),"Feb. 7th, 2012",Wentworth Press ,Little Brown and Company,"Excavations at Carnac , a Record of Archaeological Researches; Volume 1",Angel [With Poster]
