ids,wor_author,half_author,wor_binding,half_binding,wor_id,half_id,wor_isbn,half_isbn,wor_pages,half_pages,wor_pubdate,half_pubdate,wor_publisher,half_publisher,wor_title,half_title,label
wor_29666_half_238,Stephenie Meyer,Stephenie Meyer,Hardback,Paperback,wor_29666,half_238,9780316044615,9780316067935,720,768,(4 Aug 2009),"Aug. 3rd, 2010","Little, Brown & Company ","Little, Brown Books for Young Readers",Breaking Dawn Special Edition,Breaking Dawn,0
wor_46392_half_2709,Krista McGee,Krista McGee,Paperback,,wor_46392,half_2709,9781401684891,9781401684891,336,334,(14 Jun 2012),"Jul. 10th, 2012",Thomas Nelson Publishers ,Thomas Nelson s,Starring Me,Starring Me,1
wor_48300_half_3000,Paul Rink,Paul Rink,Paperback,Paperback,wor_48300,half_3000,9781402736100,9781402736100,192,181,(8 Mar 2007),"Aug. 1st, 2006",Sterling Juvenile ,Sterling Publishing (NY),Admiral Richard Byrd: Alone in the Antarctic,Admiral Richard Byrd,1
wor_31756_half_415,Christina Diaz Gonzalez,Christina Diaz Gonzalez,,,wor_31756,half_415,9781520060880,9780375854897,-1,284,(29 Nov 2016),"Dec. 13th, 2011",Ideal on Dreamscape Audio ,Yearling Books,The Red Umbrella,The Red Umbrella,0
wor_32172_half_463,Jack Schaefer,Jack Schaefer,Paperback,,wor_32172,half_463,9781409165668,9780553271102,160,160,(14 Jul 2016),"Sep. 1st, 1983",Orion Publishing Co ,Starfire,Shane,Shane,0
wor_42858_half_2066,David Clement-Davies,David Clement-Davies,Hardback,,wor_42858,half_2066,9781417788729,9780142408742,465,465,(1 Aug 2007),"Aug. 16th, 2007",Turtleback Books ,Puffin Books,The Sight,The Sight,0
wor_36882_half_1166,Andrea Cremer,Andrea Cremer,Paperback,Paperback,wor_36882,half_1166,9780142423707,9780142423707,408,408,(7 Aug 2012),"Aug. 7th, 2012",Penguin Putnam Inc ,Speak,Bloodrose,Bloodrose,1
wor_36466_half_1107,O T Nelson,O. T. Nelson,Hardback,,wor_36466,half_1107,9780761349037,9780440928935,125,192,(1 Jan 2012),"Sep. 15th, 1977",Graphic Universe ,Laurel Leaf Library,The Girl Who Owned a City,The Girl Who Owned a City,0
wor_42284_half_1984,Justin Somper,Justin Somper,Paperback,,wor_42284,half_1984,9781416901419,9780316033251,432,512,(3 Jul 2006),"Jan. 15th, 2013",Simon & Schuster ,"Little, Brown Books for Young Readers",Vampirates: Tide of Terror,Vampirates 6,0
wor_36788_half_1151,Laura Lee Gulledge,Laura Lee Gulledge,Hardback,,wor_36788,half_1151,9780810997219,9780810997226,192,192,(1 May 2011),"May. 1st, 2011",Abrams ,Amulet Books,Page By Paige,Page by Paige,0
