ids,finish_lev_sim,finish_jac_q3_sim,finish_jac_an_sim,finish_rel_jac_an_sim,finish_containment_sim,finish_exact_sim,shape_lev_sim,shape_jac_q3_sim,shape_jac_an_sim,shape_rel_jac_an_sim,shape_containment_sim,shape_exact_sim,color_lev_sim,color_jac_q3_sim,color_jac_an_sim,color_rel_jac_an_sim,color_containment_sim,color_exact_sim,base_lev_sim,base_jac_q3_sim,base_jac_an_sim,base_rel_jac_an_sim,base_containment_sim,base_exact_sim,style_cosine_tfidf_sim,style_lev_sim,style_jac_q3_sim,style_jac_an_sim,style_rel_jac_an_sim,style_containment_sim,style_exact_sim,height_lev_sim,height_jac_q3_sim,height_jac_an_sim,height_rel_jac_an_sim,height_containment_sim,height_exact_sim,category_lev_sim,category_jac_q3_sim,category_jac_an_sim,category_rel_jac_an_sim,category_containment_sim,category_exact_sim,title_cosine_tfidf_sim,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_rel_jac_an_sim,title_containment_sim,title_exact_sim,capacity_lev_sim,capacity_jac_q3_sim,capacity_jac_an_sim,capacity_rel_jac_an_sim,capacity_containment_sim,capacity_exact_sim,material_lev_sim,material_jac_q3_sim,material_jac_an_sim,material_rel_jac_an_sim,material_containment_sim,material_exact_sim,brand_lev_sim,brand_jac_q3_sim,brand_jac_an_sim,brand_rel_jac_an_sim,brand_containment_sim,brand_exact_sim,product_type_lev_sim,product_type_jac_q3_sim,product_type_jac_an_sim,product_type_rel_jac_an_sim,product_type_containment_sim,product_type_exact_sim,label
katom_3894_cdi_504,1.0,1.0,1.0,1.0,1.0,1.0,0.595,0.5263157894736842,0.5,0.5,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9661016949152542,0.9354838709677419,0.9,0.9,1.0,0.0,0.31068793243952897,0.16000000000000003,0.06451612903225806,0.2,0.2,1.0,0.0,0.8222222222222223,0.5,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12354888936310035,0.29634905397454553,0.11935208866155159,0.1527777777777778,0.11904761904761905,0.26666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.35,0.34782608695652173,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28907982261640797,0.6382978723404256,0.7142857142857143,0.7142857142857143,1.0,0.0,1
katom_4798_cdi_630,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3212121212121212,0.21052631578947367,0.25,0.25,0.5,0.0,0.5384615384615384,0.4827586206896552,0.6,0.6,1.0,0.0,0.0,0.36367094955643553,0.2014066496163683,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3898221343873518,0.4,0.5714285714285714,0.5714285714285714,1.0,0.0,1
katom_224_cdi_33,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5191344486228239,0.8101198402130493,0.6176470588235294,0.5,0.38961038961038963,0.7999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.875,0.5833333333333334,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
katom_2973_cdi_202,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.696969696969697,0.5833333333333334,0.2,0.2,0.5,0.0,0.856065761364633,0.8360655737704918,0.7903225806451613,0.8,0.8,1.0,0.0,0.8476190476190477,0.5454545454545454,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0806306666656746,0.33954727030625836,0.11128775834658189,0.14102564102564105,0.1098901098901099,0.26666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.346190781049936,0.27380952380952384,0.23076923076923078,0.23076923076923078,0.6,0.0,0
katom_2447_cdi_6176,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9302427897676573,0.8,0.7931034482758621,0.75,0.75,1.0,0.0,0.4666666666666667,0.07142857142857142,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.17788422177193144,0.02240914552953782,0.13725490196078433,0.13095238095238096,0.10204081632653061,0.2222222222222222,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
katom_10011_cdi_4924,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4642857142857143,0.5416666666666666,0.5,1.0,0.6666666666666666,0.0,0.4603255571857179,0.2727272727272727,0.15217391304347827,0.2857142857142857,0.2857142857142857,0.5,0.0,0.8476190476190477,0.5454545454545454,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2686418182208694,0.3759692958408396,0.13725490196078433,0.16666666666666669,0.12987012987012989,0.26666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2222222222222222,0.18181818181818182,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1648799313893653,0.21052631578947367,0.2,0.2,1.0,0.0,0
katom_270_cdi_43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,0.6923076923076923,0.5,1.0,0.6666666666666666,0.0,0.6814535763512617,0.2222222222222222,0.18181818181818182,0.25,0.25,1.0,0.0,0.8476190476190477,0.5454545454545454,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.13072867242471953,0.41154429752577976,0.12291483757682177,0.1527777777777778,0.11904761904761905,0.26666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6388888888888888,0.5641025641025641,0.6,0.6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37235729386892175,0.32653061224489793,0.375,0.375,1.0,0.0,1
katom_14198_cdi_214,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.18965517241379315,0.03508771929824561,0.0,0.0,0.0,0.0,0.696969696969697,0.5833333333333334,0.2,0.2,0.5,0.0,0.8026646070986482,0.74,0.6666666666666666,0.7,0.7,0.875,0.0,0.8476190476190477,0.5454545454545454,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12254609837781767,0.29634905397454553,0.11935208866155159,0.1527777777777778,0.11904761904761905,0.26666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.24137931034482762,0.14285714285714285,0.25,0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47763929618768325,0.4772727272727273,0.5714285714285714,0.5714285714285714,0.8,0.0,0
katom_560_cdi_3316,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.43999999999999995,0.20930232558139536,0.2,0.2,0.5,0.0,0.6610518283596152,0.7543859649122807,0.6176470588235294,0.6363636363636364,0.6363636363636364,0.7777777777777778,0.0,0.2888888888888889,0.06666666666666667,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1223864362988384,0.41154429752577976,0.12291483757682177,0.1527777777777778,0.11904761904761905,0.26666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23387096774193544,0.125,0.2857142857142857,0.2857142857142857,0.5,0.0,0
katom_2513_cdi_5992,0.1578947368421053,0.13043478260869565,0.3333333333333333,0.3333333333333333,1.0,0.0,0.32,0.6,0.5,0.5,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5128205128205128,0.34782608695652173,0.25,0.42857142857142855,0.6666666666666666,0.0,0.0,0.11764705882352944,0.0,0.0,0.0,0.0,0.0,0.11111111111111108,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2528899751968843,0.3031252447716771,0.13282732447817835,0.16666666666666669,0.12987012987012989,0.26666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6222222222222222,0.5306122448979592,0.5,0.5,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6401515151515152,0.425531914893617,0.375,0.375,0.6,0.0,0
