ids,label,katom_base,cdi_base,katom_brand,cdi_brand,katom_capacity,cdi_capacity,katom_category,cdi_category,katom_cluster_id,cdi_cluster_id,katom_color,cdi_color,katom_finish,cdi_finish,katom_height,cdi_height,katom_id,cdi_id,katom_material,cdi_material,katom_product_type,cdi_product_type,katom_shape,cdi_shape,katom_style,cdi_style,katom_title,cdi_title
katom_395_cdi_4861,0,'barrel kegs' 'frame','glass doors',beverage air,continental refrigerator,,,'standard',,80378,9432029,'refrigerated food rated' 'back bar storage cabinet','stainless steel' 'black exterior galvanized','two' 'exterior' 'usa',,'12 1 cu ft' '306.00','355.00 ',katom_395,cdi_4861,'black' 'galvanized top' 'stainless steel',,,'floor epoxy coated steel' 'shelves condensate evaporator self contained refrigeration',,,'epoxy coated steel shelves' 'self contained refrigeration' 'made in',,"48"" (2) section bar refrigerator - sliding glass doors, 115v""@en doors 115v ""@en","back bar cooler ""continental | culinary depot"""
katom_16858_cdi_1689,0,,,follett,red goat,,,,'16 ga stainless steel',8396183,2486299,'stainless steel',,,,,,katom_16858,cdi_1689,,,,,,,,,"12"" legs, stainless steel""@en steel ""@en legs","cone hopper ""red | culinary depot"""
katom_22559_cdi_6889,0,,,winco,admiral craft,,,,,13546358,14417725,,,,'black',,,katom_22559,cdi_6889,,'stainless steel','stainless steel',,,,,,"20-qt mixing bowl - stainless""@en stainless ""@en","LAD-6PE 4.666 Oz. Portion Control Ladle - White ""Adcraft | Culinary Depot"""
katom_11224_cdi_3836,0,,,accutemp,vulcan,,,,,2855079,7044615,'stainless steel',,,,,'10 5',katom_11224,cdi_3836,,'stainless steel','removable element stainless steel',,,,,,"2203 stationary steam kettle w/ 60-gal capacity, stainless, 220/3 v""@en v ""@en stainless capacity","plate rail "" | culinary depot"""
katom_14792_cdi_7415,0,,,carlisl,cambro,,,,,6311553,15748466,'sea spray','burgundy wine','nsf','nsf',,,katom_14792,cdi_7415,'cafeteria' 'fiberglass','fiberglass dishwasher safe','resistant dishwasher safe',,'break',,'l',,"rectangular cafeteria tray - 13-3/4x10-5/8"" sea spray""@en spray ""@en","10"" round burgundy wine fiberglass camtray "" | culinary depot"""
katom_17667_cdi_7415,0,,,carlisl,cambro,,,,,9059612,15748466,'fiberglass butcher block woodgrain','burgundy wine','nsf','nsf',,,katom_17667,cdi_7415,'display','fiberglass dishwasher safe',,,,,'break resistant dishwasher safe',,"rectangular display/bakery tray - 8-3/4x25-1/2"" butcher block woodgrain""@en woodgrain ""@en","10"" round burgundy wine fiberglass camtray "" | culinary depot"""
katom_7080_cdi_5613,0,'barrel kegs' 'frame','glass doors',beverage air,continental refrigerator,,,,'69',1272914,11210279,'back bar storage cabinet','black exterior galvanized','exterior' 'usa',,'12 1 cu ft' '306.00','425.00 ',katom_7080,cdi_5613,'stainless steel' 'galvanized','aluminum' 'galvanized' 'stainless steel','self contained refrigeration','floor epoxy coated steel' 'shelves condensate evaporator self contained refrigeration' 'shelves' 'evaporator self contained refrigeration',,'sliding','epoxy coated steel shelves' 'made in',,"48"" (2) section bar refrigerator - sliding glass doors, 115v""@en 115v ""@en doors","back bar cooler ""continental | culinary depot"""
katom_11834_cdi_4275,0,'60 1ph','two',trauls,continental refrigerator,'nsf 115v',,,,3361228,8094441,'line refrigerator' 'section self contained refrigeration stainless steel','section self contained refrigeration stainless steel',,,'865.00','660.00 ',katom_11834,cdi_4275,,,'height doors','line freezer' 'reach in' 'cabinet full',,,'two' 'accepts',,"68"" two section roll-in refrigerator, (2) solid door, 115v""@en refrigerator door 115v ""@en","designer line freezer ""continental | culinary depot"""
katom_11834_cdi_4271,0,'60 1ph','two',trauls,continental refrigerator,'nsf 115v','38 - 53 cu. ft.',,,3361228,8086550,'line refrigerator' 'section self contained refrigeration stainless steel','section self contained refrigeration stainless steel',,,'865.00','560.00 ',katom_11834,cdi_4271,,'exterior aluminum','height doors','line freezer' 'reach in' 'half height solid doors' 'legs',,,'two' 'accepts','half door(s)',"68"" two section roll-in refrigerator, (2) solid door, 115v""@en refrigerator door 115v ""@en","designer line freezer ""continental | culinary depot"""
katom_16438_cdi_5226,0,'barrel kegs' 'frame',,beverage air,continental refrigerator,,,'standard' 'nsf',,7972121,10335642,'refrigerated' 'black','stainless steel' 'black exterior galvanized','exterior' 'usa',,'366.00','455.00 ',katom_16438,cdi_5226,'epoxy coated steel' 'galvanized top' 'stainless steel',,'shelves','floor epoxy coated steel' 'shelves condensate evaporator self contained refrigeration',,,'open food rated' 'back bar' 'with manual on off' 'self contained refrigeration','back bar cooler' 'glass doors',"72"" (3) section bar refrigerator - swinging solid doors, 115v""@en doors 115v ""@en","back bar cooler ""continental | culinary depot"""
