ids,label,katom_base,rewo_base,katom_brand,rewo_brand,katom_capacity,rewo_capacity,katom_category,rewo_category,katom_cluster_id,rewo_cluster_id,katom_color,rewo_color,katom_finish,rewo_finish,katom_height,rewo_height,katom_id,rewo_id,katom_material,rewo_material,katom_product_type,rewo_product_type,katom_shape,rewo_shape,katom_style,rewo_style,katom_title,rewo_title
katom_9943_rewo_40819,1,,,cambro,cambro,,,,,1776311,1776311,'blue','blue','nsf','nsf','12 5','12 5',katom_9943,rewo_40819,,,,,,,'buffet camchiller',,"buffet camchiller - 18-1/2x12-5/8x4"" cold blue""@en blue ""@en"," "" cpb1220159 ice pack""@en ""  pack | catering accessories""@en"
katom_8829_rewo_36050,1,,,cambro,cambro,,,,,1586816,1586816,,,'nsf','nsf','hanging black','hanging black',katom_8829,rewo_36050,'notched','notched',,,,,,,"11"" deli spoon black""@en black ""@en"," "" spo11cw110 serving spoon, solid""@en solid | ""@en ""  spoon"
katom_7612_rewo_35978,0,,,bon chef,bon chef,,'128 oz',,,1369550,1583999,'stainless steel',,'nsf','nsf',,,katom_7612,rewo_35978,'21','stainless steel',,,,'round','handles','handles',"full size food pan w/ round stainless handles, 2-5/8"" deep""@en handles deep ""@en"," "" 5256hrss steam table pan, decorative""@en "" bon pan decorative | pans""@en"
katom_7612_rewo_30636,1,,,bon chef,bon chef,,'9 qt',,,1369550,1369550,'stainless steel','food pan full' 'stainless steel','nsf','nsf',,,katom_7612,rewo_30636,'21','21',,,,,'handles','handles',"full size food pan w/ round stainless handles, 2-5/8"" deep""@en handles deep ""@en"," "" 5208hrss steam table pan, decorative""@en decorative | pans""@en "" bon pan"
katom_20161_rewo_64247,0,,,bon chef,bon chef,,,,,11251804,9430155,,,'nsf','nsf','20 13','20 13',katom_20161,rewo_64247,'for 5099 aluminum','for 5099 aluminum','ceramic look','ceramic look',,,,,"wh custom cut tile for 5099, aluminum/white""@en aluminum/white ""@en 5099"," "" 52018s tile inset""@en "" bon"
katom_1900_rewo_7167,1,,,cambro,cambro,'500',,,,359033,359033,'gray','granite gray','nsf','nsf','34.63' '57.00',,katom_1900,rewo_7167,'polymer',,'500 lb','500 lb',,,'shelves shelf size approximately',,"3-level polymer utility cart w/ 500-lb capacity, raised ledges""@en capacity ledges ""@en"," "" bc2304s191 bus cart""@en ""  cart | utility"
katom_21051_rewo_14886,0,,,cambro,cambro,,,,,12056526,705933,'gray',,'nsf','nsf' 'gray','72' '110.53',"'72""'",katom_21051,rewo_14886,'kits',,,,,,'louvered','louvered',"polymer louvered shelving unit - 60""l x 21""w 72""h""@en 72""h ""@en"," "" csa51547480 add-on shelving unit""@en ""  unit | camshelves""@en"
katom_14400_rewo_14886,0,,,cambro,cambro,,,,,5924815,705933,'gray',,'nsf','nsf' 'gray','75' '102.41',"'72""'",katom_14400,rewo_14886,'kits',,,,,,'louvered','louvered',"polymer louvered shelving unit - 42""l x 24""w 75""h""@en 75""h ""@en"," "" csa51547480 add-on shelving unit""@en ""  unit | camshelves""@en"
katom_9564_rewo_14886,0,,,cambro,cambro,,,,,1712732,705933,'gray',,'nsf','nsf' 'gray','75' '88.53',"'72""'",katom_9564,rewo_14886,'kits',,,,,,'louvered','louvered',"polymer louvered shelving unit - 36""l x 21""w 75""h""@en 75""h ""@en"," "" csa51547480 add-on shelving unit""@en ""  unit | camshelves""@en"
katom_3014_rewo_56463,0,'undershelf','open w/undershelf',john boos,john boos,,,,,558418,7012245,'stainless steel adjustable undershelf stainless steel',,'nsf','nsf','142.00',,katom_3014,rewo_56463,'stainless steel','stainless steel','top','table' 'legs fixed undershelf',,,'table' 'backsplash','flat top',"108"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," "" tns17a work table, wood top""@en "" john table"
katom_5525_rewo_56463,0,'undershelf','open w/undershelf',john boos,john boos,'30 d',,,,1011648,7012245,'stainless steel adjustable undershelf stainless steel',,'edge front' 'nsf','nsf','76.00',,katom_5525,rewo_56463,,'stainless steel','flat top','table' 'legs fixed undershelf',,,'table' 'flat top','flat top',"48"" 16-ga work table w/ undershelf & 300-series stainless flat top""@en top ""@en"," "" tns17a work table, wood top""@en "" john table"
katom_1433_rewo_56463,0,'open base','open w/undershelf',john boos,john boos,,,,,273715,7012245,,,'edge front','nsf','106.00',,katom_1433,rewo_56463,'stainless steel','stainless steel','flat top','table' 'legs fixed undershelf',,,'table' 'legs side' 'flat top','flat top',"108"" 16-ga work table w/ open base & 300-series stainless flat top""@en top ""@en"," "" tns17a work table, wood top""@en "" john table"
