ids,finish_lev_sim,finish_jac_q3_sim,finish_jac_an_sim,finish_rel_jac_an_sim,finish_containment_sim,finish_exact_sim,shape_lev_sim,shape_jac_q3_sim,shape_jac_an_sim,shape_rel_jac_an_sim,shape_containment_sim,shape_exact_sim,color_lev_sim,color_jac_q3_sim,color_jac_an_sim,color_rel_jac_an_sim,color_containment_sim,color_exact_sim,base_lev_sim,base_jac_q3_sim,base_jac_an_sim,base_rel_jac_an_sim,base_containment_sim,base_exact_sim,style_cosine_tfidf_sim,style_lev_sim,style_jac_q3_sim,style_jac_an_sim,style_rel_jac_an_sim,style_containment_sim,style_exact_sim,height_lev_sim,height_jac_q3_sim,height_jac_an_sim,height_rel_jac_an_sim,height_containment_sim,height_exact_sim,category_lev_sim,category_jac_q3_sim,category_jac_an_sim,category_rel_jac_an_sim,category_containment_sim,category_exact_sim,title_cosine_tfidf_sim,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_rel_jac_an_sim,title_containment_sim,title_exact_sim,capacity_lev_sim,capacity_jac_q3_sim,capacity_jac_an_sim,capacity_rel_jac_an_sim,capacity_containment_sim,capacity_exact_sim,material_lev_sim,material_jac_q3_sim,material_jac_an_sim,material_rel_jac_an_sim,material_containment_sim,material_exact_sim,brand_lev_sim,brand_jac_q3_sim,brand_jac_an_sim,brand_rel_jac_an_sim,brand_containment_sim,brand_exact_sim,product_type_lev_sim,product_type_jac_q3_sim,product_type_jac_an_sim,product_type_rel_jac_an_sim,product_type_containment_sim,product_type_exact_sim,label
katom_512_rewo_17851,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.625,0.5,0.0,0.5,0.0,0.0,0.4671964456604347,0.43999999999999995,0.2535211267605634,0.3,0.3,0.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2363003043965311,0.3414609889108057,0.4301075268817204,0.4,0.3090909090909091,0.4307692307692308,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04761904761904767,0.038461538461538464,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
katom_1248_rewo_20834,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.5263157894736842,0.5,0.5,1.0,0.0,0.2941176470588235,0.02857142857142857,0.0,0.0,0.0,0.0,0.653061224489796,0.6153846153846154,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3041463765671466,0.4373744573316916,0.3450387913434054,0.4714285714285714,0.36428571428571427,0.525,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38636363636363635,0.3,0.25,0.25,0.5,0.0,0
katom_15896_rewo_18077,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.625,0.5,0.0,0.5,0.0,0.0,0.6151591394258926,0.40740740740740744,0.2631578947368421,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2931570801128025,0.5124732715609407,0.5749219562955254,0.5,0.48571428571428565,0.5384615384615384,-1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7391304347826086,0.6666666666666666,0.6666666666666666,1.0,0.0,0
katom_5711_rewo_22634,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2592592592592593,0.14285714285714285,0.2,0.2,0.5,0.0,0.3922212811348499,0.2222222222222222,0.1794871794871795,0.2857142857142857,0.2857142857142857,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.563438698774932,0.49002138275124724,0.5605237943149154,0.7333333333333333,0.7,0.7636363636363636,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.24444444444444446,0.17307692307692307,0.16666666666666666,0.16666666666666666,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
katom_4975_rewo_19532,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07883383919309225,0.2061220165282886,0.2995391705069124,0.23157894736842105,0.1789473684210526,0.31111111111111106,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4193548387096774,0.2972972972972973,0.4,0.4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14814814814814814,0.22727272727272727,0.2857142857142857,0.2857142857142857,0.5,0.0,1
katom_3471_rewo_13467,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5157672170863381,0.09302325581395354,0.0625,0.14285714285714285,0.14285714285714285,1.0,0.0,0.6363636363636364,0.3684210526315789,0.5,0.5,0.6666666666666666,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19529056502483258,0.39935432476625704,0.39444267007345896,0.275,0.48571428571428565,0.39999999999999997,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
katom_2524_rewo_6594,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.20454545454545459,0.1875,0.25,0.25,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4230205127075874,0.5093481002247929,0.5052467936261174,0.5076923076923078,0.3923076923076923,0.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.43333333333333335,0.45,0.5,0.5,0.75,0.0,0.46153846153846156,0.35714285714285715,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
katom_6713_rewo_26742,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4359579385773018,0.2564102564102564,0.22807017543859648,0.2222222222222222,0.2222222222222222,0.4,0.0,0.125,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09234761401300384,0.3372304549951594,0.273492286115007,0.12941176470588237,0.09999999999999999,0.2333333333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6470588235294117,0.5675675675675675,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.5625,0.5714285714285714,0.5714285714285714,1.0,0.0,1
katom_7998_rewo_25229,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3928571428571429,0.30303030303030304,0.4,0.4,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.40926485027125875,0.390591589451176,0.5120030007501875,0.44000000000000006,0.34,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.46153846153846156,0.38636363636363635,0.5,0.5,1.0,0.0,0.46153846153846156,0.35714285714285715,0.0,0.0,0.0,0.0,0.7906976744186046,0.723404255319149,0.6666666666666666,0.6666666666666666,1.0,0.0,0
katom_8597_rewo_35081,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.5,0.0,0.5,0.0,0.0,0.5369651316579825,0.33333333333333337,0.2,0.25,0.25,0.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3173546761168142,0.647050962223806,0.5990783410138248,0.5,0.48571428571428565,0.5384615384615384,-1.0,0.8333333333333334,0.7333333333333333,0.75,0.75,1.0,0.0,0.7142857142857143,0.625,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
katom_7087_rewo_11596,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5263157894736843,0.2962962962962963,0.25,0.25,0.5,0.0,0.6111111111111112,0.35714285714285715,0.0,0.25,0.0,0.0,0.6012630704070675,0.375,0.2826086956521739,0.3333333333333333,0.3333333333333333,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2429557855532667,0.3887019509688541,0.6365207373271888,0.41904761904761906,0.425,0.4666666666666666,-1.0,0.4666666666666667,0.3684210526315789,0.5,0.5,1.0,0.0,0.84,0.7142857142857143,0.75,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
katom_3660_rewo_2201,0.375,0.25,0.5,0.5,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.07692307692307693,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.266867758330772,0.27322404371584685,0.3169542385596399,0.29333333333333333,0.22666666666666666,0.4666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
katom_14040_rewo_17089,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4375,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.5,0.0,0.20195660865763487,0.09090909090909094,0.044444444444444446,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2768882208947074,0.517482107812027,0.5241935483870968,0.5789473684210527,0.5666666666666667,0.6363636363636364,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.4444444444444444,0.6666666666666666,0.6666666666666666,1.0,0.0,0
katom_7388_rewo_19261,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.43368739588853905,0.5093481002247929,0.5504032258064516,0.5076923076923078,0.3923076923076923,0.84,-1.0,0.7,0.5,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46153846153846156,0.35714285714285715,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
