ids,label,rewo_base,cdi_base,rewo_brand,cdi_brand,rewo_capacity,cdi_capacity,rewo_category,cdi_category,rewo_cluster_id,cdi_cluster_id,rewo_color,cdi_color,rewo_finish,cdi_finish,rewo_height,cdi_height,rewo_id,cdi_id,rewo_material,cdi_material,rewo_product_type,cdi_product_type,rewo_shape,cdi_shape,rewo_style,cdi_style,rewo_title,cdi_title
rewo_58177_cdi_5625,0,,,duk,vulcan,,,,,7534781,11267985,,,,,,,rewo_58177,cdi_5625,'stainless steel',,,,,,'deep heavy gauge','deep stainless steel'," ""e 53223 steam table pan, stainless steel""@en "" e pan steel | ""@en","plate rail "" | culinary depot"""
rewo_13987_cdi_6289,0,,,thunder group,fisher,,,,,666420,12811141,,'stainless steel',,,,,rewo_13987,cdi_6289,'stainless steel',,,,,,,," "" slwt42418f work table, 12"" - 21"", stainless steel top""@en 21"" top | table world""@en "" thunder","handle "" | culinary depot"""
rewo_70946_cdi_6289,0,,,fisher,fisher,,,,,12063827,12811141,,'stainless steel','nsf',,,,rewo_70946,cdi_6289,'stainless steel',,,,,,'deck mount',," "" 57657 faucet deck mount""@en "" ","handle "" | culinary depot"""
rewo_73035_cdi_6289,0,,,fisher,fisher,,,,,12859640,12811141,'stainless steel','stainless steel',,,,,rewo_73035,cdi_6289,'valve',,,,,,,," "" 77275 faucet, control valve""@en ""  faucet","handle "" | culinary depot"""
rewo_13987_cdi_2352,0,,,thunder group,vulcan,,,,,666420,3687433,,'stainless steel',,,,,rewo_13987,cdi_2352,'stainless steel',,,,,,,," "" slwt42418f work table, 12"" - 21"", stainless steel top""@en 21"" top | table world""@en "" thunder","plate rail "" | culinary depot"""
rewo_68368_cdi_2352,0,,,ts brass,vulcan,,,,,10992780,3687433,,'stainless steel',,,,,rewo_68368,cdi_2352,'stainless steel',,,,,,,," "" b-0060-h pre-rinse flex hose""@en "" ts","plate rail "" | culinary depot"""
rewo_73035_cdi_6320,1,,,fisher,fisher,,,,,12859640,12859640,'stainless steel','valve' 'stainless steel',,,,,rewo_73035,cdi_6320,'valve',,,,,,,," "" 77275 faucet, control valve""@en ""  faucet","remote control valve "" | culinary depot"""
rewo_70807_cdi_6320,0,,,fisher,fisher,,,,,11997837,12859640,,'valve' 'stainless steel','nsf',,,,rewo_70807,cdi_6320,'stainless steel',,,,,,'deck mount',," "" 53767 faucet deck mount""@en "" ","remote control valve "" | culinary depot"""
rewo_44029_cdi_7447,0,,,bon chef,alfa,,,,,2497631,15792007,,'stainless steel','nsf',,,,rewo_44029,cdi_7447,,,,,,,'stainless steel',," "" 966253 tile inset""@en "" bon","stainless steel comb fits 18"" bowl "" hfc-934 stainless | culinary depot"""
rewo_48009_cdi_7447,0,,,hamilton beach,alfa,,,,,4137759,15792007,,'stainless steel',,,,,rewo_48009,cdi_7447,'stainless steel',,,,,,,," "" bw700 mixer attachments""@en "" hamilton attachments | mixing bowls""@en","stainless steel comb fits 18"" bowl "" hfc-934 stainless | culinary depot"""
rewo_9899_cdi_1163,0,,,glob,randell,,'36 l',,,485740,1513615,,,,,,,rewo_9899,cdi_1163,,'stainless steel','stainless steel',,,,,," ""e xxawhip-80 mixer attachments""@en "" e attachments | winged whip""@en","sbs36 single sided buffet shield "" | culinary depot"""
rewo_47852_cdi_1163,0,,,carlisl,randell,,'36 l',,,4088498,1513615,,,,,,,rewo_47852,cdi_1163,'stainless steel','stainless steel',,,'round',,,," ""e 609530w chafing dish water pan""@en "" e","sbs36 single sided buffet shield "" | culinary depot"""
rewo_42786_cdi_1163,0,,,randell,randell,'4','36 l','accommodates',,2068909,1513615,,,,,,,rewo_42786,cdi_1163,'stainless steel','stainless steel',,,,,'pass-thru',," "" 43250pa display pie case refrigerated""@en "" ","sbs36 single sided buffet shield "" | culinary depot"""
rewo_34264_cdi_1163,1,,,randell,randell,'36 l','36 l',,,1513615,1513615,,,,,,,rewo_34264,cdi_1163,'stainless steel','stainless steel',,,,,,," "" ran sbs36""@en "" ","sbs36 single sided buffet shield "" | culinary depot"""
rewo_12858_cdi_3836,0,,,glastender,vulcan,,,,,616367,7044615,'stainless steel',,,,,'10 5',rewo_12858,cdi_3836,,'stainless steel',,,,,,," "" dbca-24-ld underbar workboard, storage cabinet""@en ""  workboard cabinet | cabinets""@en","plate rail "" | culinary depot"""
rewo_5247_cdi_3836,0,,,glob,vulcan,,,,,268279,7044615,,,,,,'10 5',rewo_5247,cdi_3836,'stainless steel','stainless steel',,,,,,," ""e xxbowl-30 mixer attachments""@en "" e attachments | mixing bowls""@en","plate rail "" | culinary depot"""
rewo_61973_cdi_7006,0,,,southbend,matfer bourgeat,,,,,8769520,14661210,,'stainless steel',,,'18 kw',,rewo_61973,cdi_7006,'stainless steel',,,,,,,," "" keps-80 kettle, electric, stationary""@en ""  kettle electric","buche cake comb ""matfer | culinary depot"""
rewo_44819_cdi_6027,0,,,tablecraft,fisher,,,,,2805442,12364268,'stainless steel',,,,"'9""'",,rewo_44819,cdi_6027,,'stainless steel',,,,'valve',,," "" wbt199 ice display, beverage""@en ""  display","control valve "" | culinary depot"""
rewo_60401_cdi_6027,0,,,eagl,fisher,,,,,8269590,12364268,,,'stainless steel',,"'4""'",,rewo_60401,cdi_6027,'stainless steel','stainless steel',,,,'valve',,," ""e l54-4s shelving ledge""@en "" e","control valve "" | culinary depot"""
rewo_74109_cdi_6027,0,,,duk,fisher,,,,,13292827,12364268,,,,,"'10""'",,rewo_74109,cdi_6027,'stainless steel','stainless steel',,,,'valve',,," ""e dccd-72r dishtable, clean ""l"" shaped""@en shaped | l dishtable""@en "" e dishtable","control valve "" | culinary depot"""
rewo_19495_cdi_4825,0,,,micro matic,vulcan,,,,,912111,9330203,,,,,,,rewo_19495,cdi_4825,'stainless steel','10 deep stainless steel',,,,,,," "" dp-met-h-40 drip tray""@en "" micro","plate rail "" | culinary depot"""
