ids,l_id,r_id,label,length_lev_sim,length_jac_q3_sim,length_jac_an_sim,length_exact_sim,length_all_missing,year_lev_sim,year_jac_q3_sim,year_jac_an_sim,year_exact_sim,year_all_missing,number_lev_sim,number_jac_q3_sim,number_jac_an_sim,number_exact_sim,number_all_missing,album_lev_sim,album_jac_q3_sim,album_jac_an_sim,album_exact_sim,album_all_missing,language_lev_sim,language_jac_q3_sim,language_jac_an_sim,language_exact_sim,language_all_missing,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_exact_sim,title_all_missing,artist_lev_sim,artist_jac_q3_sim,artist_jac_an_sim,artist_exact_sim,artist_all_missing
m5_187_m1_1140,m5_187,m1_1140,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.0,0.0,0.0,0,0,0.30612244897959184,0.10144927536231885,0.09090909090909091,0,0,-1.0,-1.0,-1.0,-1,1,0.13432835820895528,0.05405405405405406,0.07692307692307693,0,0,0.16666666666666663,0.0,0.0,0,0
m5_671_m1_3803,m5_671,m1_3803,0,0.16666666666666663,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,1,0.33333333333333337,0.0,0.0,0,0,0.15384615384615385,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.1333333333333333,0.03571428571428571,0.0,0,0,0.2777777777777778,0.0,0.0,0,0
m5_1291_m1_2297,m5_1291,m1_2297,0,0.16666666666666663,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.33333333333333337,0.125,0.0,0,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.2272727272727273,0.06060606060606061,0.0,0,0,0.09999999999999998,0.0,0.0,0,0
m5_313_m1_2287,m5_313,m1_2287,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.1333333333333333,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.21999999999999997,0.09375,0.07692307692307693,0,0,0.0714285714285714,0.0,0.0,0,0
m5_2251_m1_2814,m5_2251,m1_2814,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.36363636363636365,0.14285714285714285,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.25,0.04878048780487805,0.0,0,0,0.17391304347826086,0.024390243902439025,0.0,0,0
m5_3217_m1_2317,m5_3217,m1_2317,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.0,0.0,0.0,0,0,0.1428571428571429,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.44897959183673475,0.16176470588235295,0.09090909090909091,0,0,0.25,0.0,0.0,0,0
m5_2735_m1_3119,m5_2735,m1_3119,0,0.16666666666666663,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.12903225806451613,0.04878048780487805,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.15000000000000002,0.0,0.0,0,0,0.038461538461538436,0.0,0.0,0,0
m5_566_m1_815,m5_566,m1_815,0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.0,0.0,0.0,0,0,0.4285714285714286,0.1746031746031746,0.18181818181818182,0,0,-1.0,-1.0,-1.0,-1,1,0.22058823529411764,0.03,0.0,0,0,0.07692307692307687,0.0,0.0,0,0
m5_3229_m1_3225,m5_3229,m1_3225,0,0.16666666666666663,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.21739130434782605,0.18518518518518517,0.2,0,0,-1.0,-1.0,-1.0,-1,0,0.14814814814814814,0.0,0.0,0,0,0.1428571428571429,0.0,0.0,0,0
m5_2420_m1_3302,m5_2420,m1_3302,0,0.0,0.0,0.0,0,0,0.75,0.3333333333333333,0.0,0,0,0.0,0.0,0.0,0,0,0.26315789473684215,0.03333333333333333,0.0,0,0,-1.0,-1.0,-1.0,-1,0,0.24,0.11428571428571428,0.2,0,0,0.1428571428571429,0.0,0.0,0,0
