ids,l_id,r_id,label,title_lev_sim,title_jac_q3_sim,title_jac_an_sim,title_exact_sim,title_all_missing,year_days_sim,year_years_sim,year_days_diff_sim,year_all_missing,length_num_abs_diff_sim,length_num_sim,length_all_missing,artist_lev_sim,artist_jac_q3_sim,artist_jac_an_sim,artist_exact_sim,artist_all_missing,language_lev_sim,language_jac_q3_sim,language_jac_an_sim,language_exact_sim,language_all_missing,album_lev_sim,album_jac_q3_sim,album_jac_an_sim,album_exact_sim,album_all_missing,number_lev_sim,number_jac_q3_sim,number_jac_an_sim,number_exact_sim,number_all_missing,sum_weighted_scores
m2pp_1261_m1pp_2993,m2pp_1261,m1pp_2993,0,0.09999999999999998,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.919935170178282,0.0,0,0.06666666666666665,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.05186402701550202
m2pp_3154_m1pp_1839,m2pp_3154,m1pp_1839,0,0.3157894736842105,0.029411764705882353,0.0,0.0,0,-1.0,-1.0,-1.0,1,-1.0,-1.0,0,0.1428571428571429,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.5172413793103448,0.22,0.16666666666666666,0.0,0,0.0,0.0,0.0,0.0,0,0.07152659440418643
m2pp_3356_m1pp_90,m2pp_3356,m1pp_90,0,0.18181818181818177,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.9902755267423015,0.0,0,0.0714285714285714,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.2777777777777778,0.02857142857142857,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.07536902599353082
m2pp_3403_m1pp_1323,m2pp_3403,m1pp_1323,0,0.0,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0.0,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.5333333333333333,0.18518518518518517,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0.04723601174542918
m2pp_2112_m1pp_3163,m2pp_2112,m1pp_3163,0,0.11111111111111116,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0.2222222222222222,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.017123241835791114
m2pp_1305_m1pp_2541,m2pp_1305,m1pp_2541,0,0.05555555555555558,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.93354943273906,0.0,0,0.18181818181818177,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.13043478260869568,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.06285593925527941
m2pp_479_m1pp_1861,m2pp_479,m1pp_1861,0,0.25,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,0.919935170178282,0.0,0,0.11111111111111116,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.171875,0.024096385542168676,0.0625,0.0,0,0.0,0.0,0.0,0.0,0,0.0751310534660443
m2pp_344_m1pp_2851,m2pp_344,m1pp_2851,0,0.17647058823529416,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0.04761904761904767,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,1,0.23333333333333328,0.15217391304347827,0.25,0.0,0,0.0,0.0,0.0,0.0,0,0.04417677282733925
m2pp_3134_m1pp_3636,m2pp_3134,m1pp_3636,0,0.18181818181818177,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0.07692307692307687,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.1428571428571429,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.020622645532303877
m2pp_1905_m1pp_643,m2pp_1905,m1pp_643,0,0.0625,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0.18181818181818177,0.043478260869565216,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0.3846153846153846,0.28125,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.04903241932064892
