cluster_id,Product Type_x,Category_x,Brand_x,Storage Capacity_x,Memory Type_x,Interface_x,Memory Speed_x,Color_x,Model_x,Processor_x,Product Type_y,Category_y,Brand_y,Storage Capacity_y,Memory Type_y,Interface_y,Memory Speed_y,Color_y,Model_y,Processor_y
2262,['processors 2048 crossfire ready'],['stream'],,,['gddr5'],,['7000mhz'],,,,,,,['4gb'],['gddr5'],,['932mhz gpu'],,,
2804,,,['beautiful'],,,,,,,,,['blue trim mid tower'],['nzxt phantom'],,,['window w'],,['o psu'],['410 white'],
3116,,,['bx80677i57600k'],,['ddr4 controller integrated iris dx12 graphics 3 year warranty'],,,,,['quad core technology'],,,,,"['7600k s', '1150mhz gpu']",,,,,['intel core i5']
3767,['processors 1280 vr ready'],"['stream', 'physx cuda']",,,['gddr5'],,"['1860mhz', '8008mhz']",,,,,['card'],['gigabyte'],,,,,,,"['aorus', 'geforce gtx 1060 plus']"
5070,,,['maxtor'],,,,,,,,,['maxtor'],,['4tb'],,,,"['windows mac', 'Black']",['m3 portable external'],
5432,,,,['support for'],,,,,,,,,['sata3'],,,,,,,
5758,,,['kingston datatraveler'],,,,,,,,['kingston datatraveler'],,,['8gb'],,,,,['101 gen 2 usb 2'],
6198,,,['compact'],,,,,,['sfx'],,['strider'],,,,,,,,,
7417,,,['skylake'],,['usb3'],,"['usb3', '0 8x']",,['6th gen ddr4'],,['z170 pro gaming'],,['asus'],,,,,,,['intel gbe usb 3']
8664,"['warranty', 'warranty']",,,"['6tb', '6tb']",,,,,"['sata 6gb s', 'sata 6gb s']",,['ncq'],,,['6tb'],,,,,,
9885,,,['bx80677i37300'],,['ddr4 controller integrated iris dx12 graphics 3 year warranty'],,,,,['dual core technology'],,,['intel'],,,,,,,"['core i3 7300 s', 'thread']"
10013,"['7200rpm', 'Intel Core i7']",,['msi'],,,['windows 10'],,['warranty'],['ge62vr 6rf apache pro 027uk'],['i7 6700hq'],['i7 6700hq'],,,['027 fhd'],,,,,,
11029,,,[],,,,,,,,"['x99 e ws', 'ssi ceb']",,['asus'],,,['usb 3'],,,,
11200,,,['skylake'],,,"['sata pcie gigabit lan 7 1 hd audio 6x', 'usb3 0 6x']",,,['6th gen ddr4'],,['intel z170 s'],,['msi'],,"['ddr4', 'usb3 1gen2 c']",,['1151'],,,
11965,['year warranty'],,,,"['ddr3', 'support 65w tdp 3']",,,,,,,['7480d'],,,,,['720mhz'],,,['amd a4 4020 fm2 richland dual core']
13101,['iops 3yr warranty'],['samsung'],['mz'],,,,,,['960'],,,,,,,['0 x4 nvme'],,,['960 evo 3d'],
13530,,,"['easy', 'easy', 'easy', 'easy']",,,,,,,,,,,['32gb'],,"['usb otg', 'micro usb 2 0 for']",,['android smartphones'],,
14087,"['usb n10', 'legacy wireless']",['quality data streaming'],,,,,,,,,['usb n10 nano adaptor 150mbps'],,,,,,,,,
15193,"['mini cube', 'shaped case']",,,,,,,,,,['psu'],,['cooler master'],,,,,['black aluminium'],"['elite 110', 'elite 110 usb 3 0']",
15766,,,['air series'],,,,,,,,['corsair air series af140 quiet'],,['140mm'],,,,,,,
16410,['physx cuda'],['stream'],,,['gddr5'],,['8000mhz'],,,,,['graphics card'],['palit'],,,,['1607mhz gpu'],,,['geforce gtx 1070 ti jetstream']
16524,['compact and capless design'],['metal casing'],['datatraveler'],['128gb'],,,,,,,['kingston datatraveler50 usb'],,,['64gb'],,,,['metal casing'],,
17814,,,['socket'],,"['support 4x', 'ddr4 dimm']",,,,,,,,,,['ddr4'],['usb 3'],,,,
19372,"['3 year warranty', '3 year warranty']",,,"['3tb', '3tb']",,"['sata 6gb s', 'sata 6gb s']",,,,,"['av surveillance', 'ncq']",,,['3tb'],,,,,['5400rpm'],
19966,,['was'],['redline'],,['rl06'],,,,,,"['computer chassis', 'fan 2x usb 2 0 2x usb', 'matx']",,,,,,,,,
21223,['samsung'],,,['mzvpw128hegl 00000'],,,,,"['sm961', 'sm961']",,,['samsung'],,['128gb'],,,['700mb sec 330k'],,['sm961'],
22756,['workload environments'],,['hard drives offer'],,,,,,,,,,,['2tb'],,,['7200rpm'],,,
23700,,,['dual'],,['ddr3 1866 support 65w tdp 3 year warranty'],,,,,,,,['amd'],,,,['756mhz'],,,"['kaveri dual core', 'amd radeon r5']"
24540,['like the sg05'],,['designed'],,,['mini dtx and mini itx'],,,,,['sg06bb 450'],,,,,['sfx psu 80'],,,,
26365,,,['icy dock'],,,,,,['mb981u3s 1s'],,['icy dock 1 bay'],,,,,,,,,
26584,,['audio 2x'],,,,['sata 6gb s'],,,['sata express m 2'],,,,['msi'],,,,['1151'],,,
28499,,,['bx80677g4560'],,['ddr4 controller integrated dx12 graphics 3'],,,,,['dual core technology'],['54w cpu box'],,['intel'],,,,['1050mhz gpu'],,,
29892,,,['quad core technology'],,"['ddr4 controller 3 year warranty', 'ddr4']",,,,,,,,['intel'],,,,,,,['core i7']
29906,"['affordable capable the nzxt source', 'budget concious system builders who want a', 'strong list']",,,,,,,,,,"['nzxt source', 'matte black modular case']",,,,,,,,,
30213,,,,,['vdimm'],['timings 1 20'],['2666mhz ram'],,,,,,,"['32gb', '4x8gb']",,,,,,
30701,['fast speeds'],,['samsung'],,,['sata iii'],,,,,,,,['2tb'],,['samsung 850 pro'],,,,
30868,['corsair force le series'],,['cssd'],['120gb'],,,,,"['f120gble200b', 'tlc nand read 550mb s', '55k']",,['corsair force le200 2'],,,['120gb'],,,,,,
31445,,,,,"['ddr4', 'usb3 0 2x']",,['kabylake'],,,,,,['asrock'],,['ddr4'],,['1151'],,,
31559,,"['timings', 'lifetime warranty']",['2666mhz ram'],['2666mhz ram'],['vdimm'],['vdimm'],['20v'],,,,,['dominator'],,"['16gb', '2x8gb']",['platinum pc4 21300 2666'],,"['Dominator Platinum', 'PC4-21300 (2666)', 'Non-ECC', 'DDR4', 'UDIMM (Unbuffered)']",['Aluminium Heatspreader with DHX'],,
31939,['award winning'],,['apc'],,,,,,,,,,,,,,,['Black'],,
32127,,,['corsair'],['1x4gb'],['ddr4 so dimm pc4 17000'],,,,,,,,,['4gb'],,,"['Non-ECC', 'Value Select', 'UDIMM (Unbuffered)', 'PC4-17000 (2133)', 'DDR4 SO-DIMM']",['\xa0'],['select pc4 17000'],
33138,['processors 1920 sli ready'],['stream'],,['08g p4'],['gddr5'],['vr ready physx cuda'],"['8192mb', '8008mhz']",,,,,,,,,,,,,
33840,,,['air'],,,,,,,,['corsair air series'],,,['120mm'],,,,,,
34023,['backwards compatible'],,['serial'],,,['sata and sata ii'],,,,,['akasa sata3 100'],,,['100cm'],,['sata iii'],,,,
34136,['corsair'],,['1333mhz ram'],,,,,,,,['corsair'],,,['2gb'],,,"['Value Select', 'PC3-10600 (1333)', 'Non-ECC', 'DDR3', 'UDIMM (Unbuffered)']",['Heat Spreader'],['select pc3 10600'],
34183,['3 year warranty'],,,,,['sata 6gb s'],,,,,,,,['1tb'],,['sata iii'],,,,
34442,,,['skylake'],,['8x usb3 0 5x'],,,,,['kabylake ddr4 2133 3600 2x pciex16 2x pciex1'],,,['asrock'],,['ddr4'],,['1151'],,,
34641,,,['intel'],,['ddr3 x1 pci e x16 x2'],,,,,,,,['asus'],,,,,,,['plus intel h81']
36722,['fast speeds'],,['samsung'],,,['sata iii'],,,,,['mex 3d'],,,['256gb'],,,,,,
37552,"['home s', 'electrical circuit', 'tp link s', 'starter kit turns', 'any']",['existing'],['using'],,,,,,,,['starter kit'],,['tp link'],,,,,,,
37843,['fan controller'],,,['the evga'],,['extra preinstalled fans and a'],,"['Gunmetal', 'Gunmetal']",,,['computer chassis e atx'],,,,['dg'],['window fan'],,,,
37887,['1x pcie x1 4x'],,['socket'],,"['support 4x', 'ddr4 dimm 2x pcie x16']","['sata 6gb s', 'usb 3 0 2x usb']",,,,,,,['asrock'],,,,,,,
