dnb_id,dnb_uri,dnb_birthdate,dnb_deathdate,dnb_gender,dnb_name,dnb_work
dnb_0,http://d-nb.info/gnd/119047438,1936-01-01,1989-01-01,notKnown,"Hoffman, Abbie",
dnb_1,http://d-nb.info/gnd/119071606,1779-11-14,1850-01-20,male,"Oehlenschläger, Adam Gottlob",
dnb_2,http://d-nb.info/gnd/1028840020,1937-01-01,1995-08-23,notKnown,"Wiśniewski-Snerg, Adam",
dnb_3,http://d-nb.info/gnd/118744895,1929-05-16,2012-03-27,female,"Rich, Adrienne",
dnb_4,http://d-nb.info/gnd/118577409,1785-03-07,1873-05-22,male,"Manzoni, Alessandro",
dnb_5,http://d-nb.info/gnd/118658654,1913-01-01,1987-01-01,notKnown,"Bester, Alfred",
dnb_6,http://d-nb.info/gnd/118884433,1944-02-09,,female,"Walker, Alice",
dnb_7,http://d-nb.info/gnd/119363925,1952-01-01,,female,"Tan, Amy",
dnb_8,http://d-nb.info/gnd/118578448,1621-01-01,1678-01-01,notKnown,"Marvell, Andrew",
dnb_9,http://d-nb.info/gnd/122951786,1928-01-01,2012-01-01,notKnown,"Sarris, Andrew",
dnb_10,http://d-nb.info/gnd/118515187,1896-02-18,1966-09-28,male,"Breton, André",
dnb_11,http://d-nb.info/gnd/118576844,1901-01-01,1976-01-01,male,"Malraux, André",
dnb_12,http://d-nb.info/gnd/118598732,1907-01-01,1998-01-01,notKnown,"Aury, Dominique",
dnb_13,http://d-nb.info/gnd/118638092,1917-02-25,1993-11-25,male,"Burgess, Anthony",
dnb_14,http://d-nb.info/gnd/118781057,1863-03-03,1947-12-15,male,"Machen, Arthur",
dnb_15,http://d-nb.info/gnd/118573217,1907-11-14,2002-01-28,female,"Lindgren, Astrid",
dnb_16,http://d-nb.info/gnd/118619314,1849-01-22,1912-05-14,male,"Strindberg, August",
dnb_17,http://d-nb.info/gnd/118512145,1931-01-01,2009-01-01,notKnown,"Boal, Augusto",
dnb_18,http://d-nb.info/gnd/118558323,1572-06-11,1637-08-06,male,"Jonson, Ben",
dnb_19,http://d-nb.info/gnd/118794353,1878-01-06,1967-07-22,male,"Sandburg, Carl",
dnb_20,http://d-nb.info/gnd/130457671,1924-11-21,,notKnown,"Tolkien, Christopher",
dnb_21,http://d-nb.info/gnd/119420139,1340-01-01,1370-01-01,notKnown,"Dafydd, Ap Gwilym",
dnb_22,http://d-nb.info/gnd/107522535,1922-09-19,2002-04-15,male,"Knight, Damon",
dnb_23,http://d-nb.info/gnd/129035998,1931-07-07,2009-06-02,male,"Eddings, David",
dnb_24,http://d-nb.info/gnd/122865251,1962-02-21,2008-09-12,male,"Wallace, David Foster",
dnb_25,http://d-nb.info/gnd/118776355,1895-11-01,1974-10-28,male,"Jones, David Michael",
dnb_26,http://d-nb.info/gnd/124918034,1952-01-01,,notKnown,"Zindell, David",
