"birthdate","deathdate","label","work","gender","uri"
"+1936-11-30T00:00:00Z","+1989-04-12T00:00:00Z","Abbie Hoffman","Woodstock Nation	Steal This Book","male","http://www.wikidata.org/entity/Q306514"
"+1779-11-14T00:00:00Z","+1850-01-20T00:00:00Z","Adam Oehlenschläger","The golden horns	Der er et yndigt land	Aladdin","male","http://www.wikidata.org/entity/Q168356"
"+1937-01-01T00:00:00Z","+1995-08-30T00:00:00Z","Adam Wiśniewski-Snerg","","male","http://www.wikidata.org/entity/Q351193"
"+1929-05-16T00:00:00Z","+2012-03-27T00:00:00Z","Adrienne Rich","Diving into the Wreck: Poems 1971-1972	On Lies, Secrets and Silence	The Dream of a Common Language","female","http://www.wikidata.org/entity/Q270705"
"+1785-03-07T00:00:00Z","+1873-05-22T00:00:00Z","Alessandro Manzoni","The Betrothed	Il Conte di Carmagnola	Adelchi","male","http://www.wikidata.org/entity/Q1064"
"+1913-12-18T00:00:00Z","+1987-09-30T00:00:00Z","Alfred Bester","The Demolished Man	The Stars My Destination","male","http://www.wikidata.org/entity/Q286116"
"+1944-02-09T00:00:00Z","","Alice Walker","The Color Purple	The Third Life of Grange Copeland	Meridian	The Temple of My Familiar	Possessing the Secret of Joy","female","http://www.wikidata.org/entity/Q215868"
"+1952-02-19T00:00:00Z","","Amy Tan","The Joy Luck Club	The Bonesetter's Daughter","female","http://www.wikidata.org/entity/Q234989"
"+1621-03-31T00:00:00Z","+1678-08-16T00:00:00Z","Andrew Marvell","","male","http://www.wikidata.org/entity/Q365935"
"+1928-10-31T00:00:00Z","+2012-06-20T00:00:00Z","Andrew Sarris","","male","http://www.wikidata.org/entity/Q507162"
"+1896-02-01T00:00:00Z","+1966-09-28T00:00:00Z","André Breton","","male","http://www.wikidata.org/entity/Q161955"
"+1901-11-03T00:00:00Z","+1976-11-23T00:00:00Z","André Malraux","Man's Fate","male","http://www.wikidata.org/entity/Q151164"
"+1907-09-23T00:00:00Z","+1998-04-27T00:00:00Z","Anne Desclos","","female","http://www.wikidata.org/entity/Q253288"
"+1917-02-25T00:00:00Z","+1993-11-22T00:00:00Z","Anthony Burgess","","male","http://www.wikidata.org/entity/Q217619"
"+1863-03-03T00:00:00Z","+1947-12-15T00:00:00Z","Arthur Machen","","male","http://www.wikidata.org/entity/Q540166"
"+1907-11-14T00:00:00Z","+2002-01-28T00:00:00Z","Astrid Lindgren","Pippi Longstocking	Emil i Lönneberga	Karlsson-on-the-Roof	The Six Bullerby Children	Bill Bergson","female","http://www.wikidata.org/entity/Q55767"
"+1849-01-22T00:00:00Z","+1912-05-14T00:00:00Z","August Strindberg","The Red Room	The Father	Miss Julie	Inferno	To Damascus	A Dream Play","male","http://www.wikidata.org/entity/Q7724"
"+1931-03-16T00:00:00Z","+2009-05-02T00:00:00Z","Augusto Boal","","male","http://www.wikidata.org/entity/Q434805"
"+1928-06-19T00:00:00Z","+2002-03-31T00:00:00Z","Barry Took","","male","http://www.wikidata.org/entity/Q4864842"
"+1572-06-21T00:00:00Z","+1637-08-06T00:00:00Z","Ben Jonson","","male","http://www.wikidata.org/entity/Q193857"
"+1878-01-06T00:00:00Z","+1967-07-22T00:00:00Z","Carl Sandburg","","male","http://www.wikidata.org/entity/Q193608"
"+1929-01-02T00:00:00Z","+1967-02-21T00:00:00Z","Charles Beaumont","","male","http://www.wikidata.org/entity/Q2958511"
"+1924-11-21T00:00:00Z","","Christopher Tolkien","","male","http://www.wikidata.org/entity/Q82032"
"+1320-00-00T00:00:00Z","+1350-01-01T00:00:00Z","Dafydd ap Gwilym","","male","http://www.wikidata.org/entity/Q517287"
"+1922-09-19T00:00:00Z","+2002-04-15T00:00:00Z","Damon Knight","Orbit	Hell's Pavement","male","http://www.wikidata.org/entity/Q534599"
"+1931-07-07T00:00:00Z","+2009-06-02T00:00:00Z","David Eddings","The Belgariad","male","http://www.wikidata.org/entity/Q354888"
"+1962-02-21T00:00:00Z","+2008-09-12T00:00:00Z","David Foster Wallace","Infinite Jest	The Pale King	A Supposedly Fun Thing I'll Never Do Again	Brief Interviews with Hideous Men	The Broom of the System	Everything and More	Oblivion: Stories","male","http://www.wikidata.org/entity/Q313246"
"+1895-11-01T00:00:00Z","+1974-10-28T00:00:00Z","David Jones","","male","http://www.wikidata.org/entity/Q725689"
"+1952-11-28T00:00:00Z","","David Zindell","","male","http://www.wikidata.org/entity/Q1177322"
"+1934-08-16T00:00:00Z","+2011-03-26T00:00:00Z","Diana Wynne Jones","","female","http://www.wikidata.org/entity/Q236829"
"+1904-10-21T00:00:00Z","+1977-02-01T00:00:00Z","Edmond Hamilton","","male","http://www.wikidata.org/entity/Q1285626"
"+1896-11-01T00:00:00Z","+1974-01-20T00:00:00Z","Edmund Blunden","","male","http://www.wikidata.org/entity/Q725559"
"+1885-08-15T00:00:00Z","+1968-04-16T00:00:00Z","Edna Ferber","Personality Plus	Our Mrs. McChesney	So Big	Show Boat	Cimarron	American Beauty	Saratoga Trunk	Come and Get It","female","http://www.wikidata.org/entity/Q283496"
"+1928-03-12T00:00:00Z","+2016-09-16T00:00:00Z","Edward Albee","Who's Afraid of Virginia Woolf?	The Goat, or Who Is Sylvia?","male","http://www.wikidata.org/entity/Q219420"
"+1878-03-03T00:00:00Z","+1917-04-09T00:00:00Z","Edward Thomas","","male","http://www.wikidata.org/entity/Q1293865"
"+1810-09-29T00:00:00Z","+1865-11-12T00:00:00Z","Elizabeth Gaskell","","female","http://www.wikidata.org/entity/Q229226"
"+1959-12-16T00:00:00Z","","Eric Corley","","male","http://www.wikidata.org/entity/Q768414"
"+1885-10-30T00:00:00Z","+1972-11-01T00:00:00Z","Ezra Pound","","male","http://www.wikidata.org/entity/Q163366"
"+1895-02-06T00:00:00Z","+1978-04-20T00:00:00Z","Ferdinand Peroutka","","male","http://www.wikidata.org/entity/Q571680"
"+1873-12-17T00:00:00Z","+1939-06-26T00:00:00Z","Ford Madox Ford","","male","http://www.wikidata.org/entity/Q537112"
"+1752-06-13T00:00:00Z","+1840-01-06T00:00:00Z","Frances Burney","Evelina	Cecilia	Camilla	The Wanderer","female","http://www.wikidata.org/entity/Q259530"
"+1431-04-01T00:00:00Z","+1463-00-00T00:00:00Z","François Villon","Ballade des pendus","male","http://www.wikidata.org/entity/Q849"
"+1906-10-29T00:00:00Z","+1972-03-11T00:00:00Z","Fredric Brown","The Fabulous Clipjoint	Arena","male","http://www.wikidata.org/entity/Q363227"
"+1947-01-10T00:00:00Z","+2002-04-27T00:00:00Z","George Alec Effinger","When Gravity Fails","male","http://www.wikidata.org/entity/Q550614"
"+1677-00-00T00:00:00Z","+1707-04-29T00:00:00Z","George Farquhar","","male","http://www.wikidata.org/entity/Q517634"
"+1936-03-07T00:00:00Z","+1982-03-03T00:00:00Z","Georges Perec","","male","http://www.wikidata.org/entity/Q157303"
"+1146-00-00T00:00:00Z","+1000-00-00T00:00:00Z","Gerald of Wales","","male","http://www.wikidata.org/entity/Q357824"
"+1933-03-13T00:00:00Z","+2009-12-24T00:00:00Z","Gero von Wilpert","","male","http://www.wikidata.org/entity/Q78254"
"+1951-08-20T00:00:00Z","","Greg Bear","Blood Music","male","http://www.wikidata.org/entity/Q317491"
