viaf_id,viaf_birthdate,viaf_deathdate,viaf_gender,viaf_name,viaf_work,viaf_uri
viaf_0,1936-11-30,1989-04-12,male,Abbie Hoffman,"Hoffman, Abbie.	 Steal this book	 Revolution for the hell of it",http://viaf.org/viaf/79408884
viaf_1,1779-11-14,1850-01-20,male,Adam Gottlob Oehlenschläger,Vaulundurs saga	 Correggio	 Nordens guder	 Hakon jarl	 Aladdin	 Sanct Hansaften-spil,http://viaf.org/viaf/27105324
viaf_2,1937-01-01,1995-08-30,male,Adam Wiśniewski-Snerg,"Robot	 Wiśniewski-Snerg, Adam	 Nagi cel",http://viaf.org/viaf/85523915
viaf_3,1929-05-16,2012-03-27,female,Adrienne Rich,"Rich, Adrienne Cecile (1929-2012).	 Rich, Adrienne	 Adrienne Rich with Diane Wood Middlebrook	 Rich	 Poems.	 Rich, Adrienne,",http://viaf.org/viaf/16565
viaf_4,1785-03-07,1873-05-22,male,Alessandro Manzoni,"Storia della colonna infame	 Manzoni, Alessandro (1785-1873).	 Manzoni, Alessandro,	 Adelchi	 Cinque maggio	 Osservazioni sulla morale cattolica	 Les fiancés	 Manzoni, Alessandro",http://viaf.org/viaf/14356
viaf_5,1913-12-18,1987-09-30,male,Alfred Bester,"Demolished man	 Deceivers	 Golem 100	 Star light, star bright	 Computer connection	 Light fantastic	 Life and death of a satellite	 Tiger! tiger!	 Dark side of the earth	 Stars my destination",http://viaf.org/viaf/56605956
viaf_6,1621-03-31,1678-08-16,male,Andrew Marvell,"Upon Appleton House	 Marvell, Andrew,	 Prose works	 Poems.	 Works	 Character of popery	 Rehearsal transpros'd.	 Marvell, Andrew (1621-1678).	 Poems",http://viaf.org/viaf/39381003
viaf_7,1928-10-31,2012-06-20,male,Andrew Sarris,,http://viaf.org/viaf/79132061
viaf_8,1896-02-18,1966-09-28,male,André Breton,"Anthologie de l'humour noir	 Les vases communicants	 Nadja	 Breton, André	 Point du jour	 L'amour fou	 Pas perdus	 Breton, André (1896-1966).	 Arcane 17",http://viaf.org/viaf/49222341
viaf_9,1901-11-03,1976-11-23,male,André Malraux,"Tête d'obsidienne	 Les conquérants	 Malraux, André,	 Voix du silence	 Espoir	 Lazare	 La condition humaine	 Malraux, André	 Les noyers de l'Altenburg	 Malraux, André.",http://viaf.org/viaf/51692748
viaf_10,1907-09-23,1998-04-27,female,Pauline Réage,"Fille amoureuse.	 Histoire d' O	 Histoire d'O	 Réage, Pauline",http://viaf.org/viaf/103211211
viaf_11,1863-03-03,1947-12-15,male,Arthur MacHen,"Machen, Arthur,	 Terror	 Three imposters	 Short stories.	 Bowmen	 Great god pan	 Hill of dreams	 Shining pyramid",http://viaf.org/viaf/2473758
viaf_12,1907-11-14,2002-01-28,female,Astrid Lindgren,"Bara roligt i Bullerbyn	 Lindgren	 Mio, min Mio	 Kajsa Kavat och andra barn	 Lindgren, Astrid	 Krigsdagböcker 1939-1945	 Lindgren, Astrid,	 Pippi Långstrump	 Nils Karlsson-Pyssling (Sagor)",http://viaf.org/viaf/97119817
viaf_13,1931-03-16,2009-05-02,male,Augusto Boal,"Méthode Boal de théâtre et de thérapie : (l'Arc-en-ciel du désir)	 Teatro de oprimido y otras poéticas políticas.	 Técnicas latinoamericanas de teatro popular	 Boal, Augusto.	 Jeux pour acteurs et non-acteurs	 Estética do oprimido : reflexões errantes sobre o pensamento do ponto de vista estético e não científico	 Duzentos exercicios e jogos para o actor e o nao actor com ganas de dizer algo através do teatro	 Murro em ponta de faca	 Teatro legislativo	 Hamlet e o filho do padeiro : memórias imaginadas",http://viaf.org/viaf/73831435
viaf_14,,1572,,Ben Jonson,,http://viaf.org/viaf/56611738
viaf_15,1878-01-06,1967-07-22,male,Carl Sandburg,"Abraham Lincoln; the prairie years and the war years	 Sandburg, Carl	 Good morning, America	 Sandburg, Carl,	 Poems.	 Smoke and steel	 Rootabaga stories	 People, yes",http://viaf.org/viaf/61588662
viaf_16,1929-01-02,1967-02-21,male,Charles Beaumont,Short stories.	 Yonder stories of fantasy and science fiction	 Hunger and other stories,http://viaf.org/viaf/10043464
viaf_17,1922-09-19,2002-04-15,male,Damon Knight,"Nebula award stories	 People maker.] a for anything	 Mind switch	 Hell's pavement	 Knight, Damon,	 In deep	 Rithian terror	 Man in the tree	 Far out : 13 science fiction stories	 Beyond the barrier",http://viaf.org/viaf/62070456
viaf_18,1931-07-07,2009-06-02,male,David Eddings,"Eddings, David.	 Castle of wizardry	 Diamond throne	 Eddings, David	 Queen of sorcery	 Elenium	 Guardians of the west	 Magicians Gambit	 Sapphire rose	 Demon lord of Karanda",http://viaf.org/viaf/111612308
viaf_19,1895-11-01,1974-10-28,male,David Jones,"Jones, David Michael	 Jones	 In parenthesis",http://viaf.org/viaf/89122331
viaf_20,1952-11-28,,male,David Zindell,"Zindell, David",http://viaf.org/viaf/32031246
viaf_21,1934-08-16,2011-03-26,female,Diana Wynne Jones,Witch week	 Mixed magics	 Dogsbody	 Howl's moving castle	 Earwig and the witch	 Lives of christopher chant	 Merlin conspiracy	 Magicians of caprona	 Castle in the air	 Charmed life,http://viaf.org/viaf/102067392
viaf_22,1904-10-21,1977-02-01,male,Edmond Hamilton,"Hamilton, Edmond,	 Calling Captain Future	 Haunted stars	 Star kings (Series)	 Star of life	 Closed worlds	 Battle for the stars	 City at world's end	 Best of edmond hamilton	 Valley of creation",http://viaf.org/viaf/44299904
viaf_23,1896-11-01,1974-01-20,male,Edmund Blunden,"John Keats	 Blunden, Edmund	 Shelley is expelled.	 Blunden, Edmund,	 English villages",http://viaf.org/viaf/17264985
viaf_24,1887-08-15,1968-04-16,female,Edna Ferber,Girls	 Giant	 Saratoga trunk	 Fanny herself	 Reminiscence of Show boat	 American beauty	 So big	 Cimarron	 Come and get it	 Great son,http://viaf.org/viaf/32079532
viaf_25,1928-03-12,2016-09-16,male,Edward Albee,"Tiny Alice	 Seascape	 Albee, Edward	 Who's afraid of Virginia Woolf?	 Three tall women	 Albee, Edward,	 A Delicate Balance",http://viaf.org/viaf/49220724
viaf_26,1878-03-03,1917-04-09,male,Edward Thomas,"Poems	 Thomas, Edward,	 Thomas	 Literary pilgrim in England",http://viaf.org/viaf/19686045
viaf_27,1885-10-30,1972-11-01,male,Ezra Pound,"Pound, Ezra	 Cantos.	 Pound, Ezra,	 A B C of reading	 Cantos	 Sayings of ezra pound	 Poems.	 Guide to kulchur	 Selected poems",http://viaf.org/viaf/24606774
viaf_28,1873-12-17,1939-06-26,male,Ford Madox Ford,"Parade's end.	 Fifth queen	 Good soldier	 The inheritors	 Parade's end	 Rash act, a novel	 Ford, Ford Madox,	 Poems.	 Ford, Ford Madox	 Some Do Not",http://viaf.org/viaf/59077275
viaf_29,1752-06-13,1840-01-06,female,Fanny Burney,"Evelina, or the history of a young lady's entrance into the world	 Correspondence.	 The wanderer, or female difficulties	 Brief reflections relative to the emigrant French clergy	 Camilla	 Burney, Fanny,	 Burney	 Plays",http://viaf.org/viaf/95297439
viaf_30,1431-04-01,1463,male,François Villon,"Poèmes.	 Ballades	 Works.	 Works	 Grant testament	 Le Jargon.	 Lais	 Villon, François,	 Poems.	 Oeuvre.",http://viaf.org/viaf/7398349
viaf_31,1906-10-29,1972-03-11,male,Fredric Brown,"Fabulous clipjoint	 Martians, go home	 Brown, Fredric,	 Paradox lost (Collection)	 Mind thing	 Far cry	 Rogue in space	 Space on my hands	 Night of the jabberwock",http://viaf.org/viaf/68926297
viaf_32,1947-01-10,2002-04-27,male,George Alec Effinger,"Irrational numbers	 Effinger, George Alec.	 Exile kiss	 When gravity fails",http://viaf.org/viaf/69737603
viaf_33,1678,1707,,George Farquhar,,http://viaf.org/viaf/247954074
viaf_34,1936-03-07,1982-03-03,male,Georges Perec,"Penser/classer	 Perec, Georges	 Perec, Georges (1936-1982).	 Le voyage d'hiver	 Cabinet d’amateur	 Vie, mode d'emploi	 Perec	 Quel petit vélo à guidon chromé au fond de la cour?	 La disparition",http://viaf.org/viaf/66472103
viaf_35,1146,1223,male,Giraldus Cambrensis,Topographia Hibernica,http://viaf.org/viaf/67260463
viaf_36,1933-03-13,2009-12-24,male,Gero von Wilpert,Deutsche Literatur in Bildern	 Moderne Weltliteratur : die gegenwartsliteraturen Europas und Amerikas,http://viaf.org/viaf/41854774
viaf_37,1941-01-30,,male,Gregory Benford,Tides of light	 Timescape	 Great sky river	 Sailing bright eternity	 Foundation's fear	 Artifact	 In the ocean of night	 Across the sea of suns	 Furious gulf	 Heart of the comet,http://viaf.org/viaf/51685554
viaf_38,1954-11-07,,male,Guy Gavriel Kay,"Summer tree	 Kay, Guy Gavriel	 Ysabel	 Tigana	 Under heaven	 River of stars	 Wandering fire	 Lions of al-rassan	 Sailing to Sarantium",http://viaf.org/viaf/32133664
viaf_39,1949-06-14,,male,Harry Turtledove,"Earthgrip	 American empire	 Misplaced legion	 Turtledove, Harry.	 Crosstime traffic	 Darkness descending	 Worldwar : in the balance	 The Legion Of Videssos	 Agent of Byzantium",http://viaf.org/viaf/104636300
viaf_40,1887-01-13,1917-07-31,male,Hedd Wyn,,http://viaf.org/viaf/18401866
viaf_41,1799-05-20,1850-08-18,male,Honoré de Balzac,"La comédie humaine	 Le Chef Doeuvre Inconnu	 Le père Goriot	 Eugenie Grandet	 Balzac, Honoré de (1799-1850).	 Balzac, Honoré de	 Cousine Bette	 Illusions perdues	 Ferragus, chef des Dévorants	 La peau de chagrin",http://viaf.org/viaf/29529595
viaf_42,1886-01-14,1947-09-26,male,Hugh Lofting,"Story of mrs. tubbs	 Doctor Dolittle's garden	 Twilight of magic	 Introducing Doctor Dolittle	 Doctor Dolittle's post office	 Story of doctor dolittle, being the history of his peculiar life at home and astonishing adventures in foreign parts. never before printed	 Doctor Dolittle in the moon	 Story of Doctor Dolittle	 Doctor Doolittle.	 Doctor Dolittle's zoo",http://viaf.org/viaf/14980332
viaf_43,1884-11-24,1970-05-07,male,"Jones, Jack",,http://viaf.org/viaf/52618556
viaf_44,1876-01-12,1916-11-22,male,Jack London,"Call of the Wild	 Brown Wolf	 To build a fire	 Martin Eden	 London, Jack,	 Sea-wolf",http://viaf.org/viaf/46764200
viaf_45,1935-04-14,,male,Jack McDevitt,Chindi	 Eternity road	 Ancient shores	 Deepsix	 Omega	 Engines of god	 Polaris	 Talent for war	 Seeker	 Echo,http://viaf.org/viaf/100311029
viaf_46,1928-04-07,1999-08-23,male,James White,"Galactic gourmet : a sector general novel	 Final diagnosis : a Sector General novel	 Hospital station	 Code blue-emergency	 Escape orbit	 Star healer	 Star surgeon	 Mind changer : a Sector General novel	 Genocidal healer	 White, James,",http://viaf.org/viaf/73974334
viaf_47,1766-07-09,1838-04-17,female,Johanna Schopenhauer,"Richard Wood	 Der Schnee	 Jugendleben und wanderbilder	 Meine Gross-Tante aus den Papieren eines alten Herrn	 Schnee : eine erzählung	 Reise durch England und Schottland	 Schopenhauer, Johanna	 Schopenhauer, Johanna,",http://viaf.org/viaf/51755743
viaf_48,1867-08-14,1933-01-31,male,John Galsworthy,"Galsworthy, John	 Galsworthy, John,	 On Forsyte 'change	 Man of property, and indian summer of a forsyte	 Maid In Waiting	 Patrician	 The White Monkey	 The Forsythe saga",http://viaf.org/viaf/61561917
viaf_49,1947-10-03,2018-02-07,male,John Perry Barlow,,http://viaf.org/viaf/46170394
viaf_50,1817-02-21,1893-01-23,male,José Zorrilla,"Los Ecos de las montañas	 El capitán Montoya	 Zorrilla, José	 Don Juan Tenorio",http://viaf.org/viaf/31991713
viaf_51,1890-01-09,1938-12-25,male,Karel Capek,"Dášenka : čili život štěne̐te	 Hordubal ; Povětroň ; Obyčejný život	 R.U.R	 Čapek, Karel,	 Capek, Karel	 Krakatit	 Hovory s TGM	 Kniha apokryfů	 Hordubal	 Povídky z jedné kapsy",http://viaf.org/viaf/34454129
viaf_52,1962-03-27,,male,Kevin J. Anderson,Darksaber	 Ruins	 Forest of stars	 Hidden empire	 Jedi search	 Ground zero	 Antibodies	 X-files: ruins,http://viaf.org/viaf/113153910
viaf_53,1907-11-27,2000-11-06,male,Lyon Sprague De Camp,Lovecraft : a biography	 Conan the liberator	 Great cities of the ancient world	 Conan and the Spider God	 Wheels of if and other science-fiction	 Ancient engineers	 Tritonian ring	 Tales of Conan	 Lest darkness fall	 Conan The Buccaneer,http://viaf.org/viaf/31995203
viaf_54,1911-05-29,1970-01-15,female,Léa Goldberg,"Goldberg, Leah,",http://viaf.org/viaf/12434988
viaf_55,1924-01-30,2007-05-17,male,Lloyd Alexander,"Alexander, Lloyd.	 Gypsy Rizka	 First two lives of lukas-kasha	 The Black Cauldron	 Kestrel	 Cat who wished to be a man	 The chronicles of Prydain",http://viaf.org/viaf/56807852
viaf_56,1931-09-19,,male,Lloyd DeMause,"Emotional life of nations	 DeMause, Lloyd	 Foundations of psychohistory	 New psychohistory	 Evolution of childhood	 Reagan's America",http://viaf.org/viaf/2480336
viaf_57,1713-04-11,1762-06-26,female,Luise Gottsched,Pietisterei im Fischbein-rocke	 Triumph der Weltweisheit	 Rape of the lock,http://viaf.org/viaf/27096863
viaf_58,1945-07-26,,male,M. John Harrison,Centauri device	 Course of the heart : a novel	 Pastel city	 Light	 Storm of wings	 Ice monkey and other stories	 Signs of life	 Nova swing	 Viriconium,http://viaf.org/viaf/62080102
viaf_59,1767-01-01,1849-05-22,female,Maria Edgeworth,"Absentee	 Edgeworth, Maria,	 Rosamond	 Letters.	 Edgeworth	 Tales and stories	 Parent's assistant or, stories for children	 Tales of fashionable life	 Belinda",http://viaf.org/viaf/71477273
viaf_60,1930-06-03,1999-09-25,female,Marion Zimmer Bradley,"Bradley, Marion Zimmer	 Heritage of hastur	 Thendara House	 Firebrand	 Shattered chain	 Stormqueen!	 Hawkmistress!	 Spell sword	 Bluebeard's daughter",http://viaf.org/viaf/66464308
viaf_61,1917-11-22,1995-12-06,male,Melvin Kranzberg,By the sweat of thy brow work in the Western world	 Technology and culture : an anthology,http://viaf.org/viaf/90725559
viaf_62,1950-06-24,,female,Mercedes Lackey,Novel of Valdemar	 Mage winds	 Storm rising	 Arrow's flight,http://viaf.org/viaf/24735343
viaf_63,1510,1557-04-19,male,Mikael Agricola,,http://viaf.org/viaf/29544260
viaf_64,1929-04-01,,male,Milan Kundera,"Valčík na rozloučenou	 Kundera, Milan	 Kundera, Milan,	 Kundera, Milan (1929-....).	 Fête de l'insignifiance : roman	 Le rideau	 Lenteur	 Nesmrtelnost",http://viaf.org/viaf/267005402
viaf_65,1905-07-10,2002-05-29,female,Mildred A. Wirt,Mildred A. Wirt mystery stories	 Penny Parker mystery stories	 Trailer books,http://viaf.org/viaf/46766239
viaf_66,1622-01-15,1673-02-17,male,Molière,Molière (1622-1673).	 Bourgeois gentilhomme	 Misanthrope. (English)	 Les fourberies de Scapin	 Malade imaginaire	 Dom Juan	 Femmes savantes	 Œuvre	 Molier,http://viaf.org/viaf/2474502
viaf_67,1896-06-16,1975-06-08,male,Murray Leinster,Space platform	 Black galaxy	 Other side of here	 Operation terror	 Planet explorer	 Best of murray leinster	 Space tug	 Forgotten planet,http://viaf.org/viaf/17744847
viaf_68,1862-09-11,1910-06-05,male,O. Henry,Cabbages and kings	 Cop and the anthem	 Complete works of o. henry	 Gift of the magi	 Selected short stories of O. Henry	 Last leaf	 O. Henry's short stories	 Four million	 Whirligigs	 Ransom of red chief,http://viaf.org/viaf/46770914
viaf_69,-43-03-20,18,male,Ovídio,Amores	 Ars amatoria.	 Metamorphoses	 Tristia	 Les fastes	 Remedia amoris	 Heroides	 Halieuticon	 Owidiusz	 Ibis,http://viaf.org/viaf/88342447
viaf_70,1753-05-08,1784-12-05,female,Phillis Wheatley,"Wheatley, Phillis,	 Memoir and poems of Phillis Wheatley	 Poems.",http://viaf.org/viaf/24620908
viaf_71,1914-03-01,1994-04-16,male,Ralph Ellison,"Invisible man	 Ellison, Ralph.	 Ellison, Ralph,	 Flying home and other stories	 Shadow and act	 Juneteenth : a novel",http://viaf.org/viaf/2481446
viaf_72,1908-09-04,1960-11-28,male,Richard Wright,"Native son	 Wright, Richard	 American hunger	 The outsider	 Long dream	 Wright	 Uncle Tom's children	 Lawd today	 Eight men	 Wright, Richard,",http://viaf.org/viaf/34464524
viaf_73,1916-09-13,1990-11-23,male,R. Dahl,"The BFG	 Danny, the champion of the world	 Matilda	 Dahl, Roald	 George's marvellous medicine.	 Esio trot	 James and the giant peach	 Charlie and the Chocolate Factory	 The witches	 Fantastic Mr Fox",http://viaf.org/viaf/108159131
viaf_74,1946-06-28,2008-05-22,male,Robert Asprin,Myth-nomers and im-pervections	 Bug wars	 Hit or myth	 Cold cash war	 Myth directions	 Phule's company	 Phule's paradise	 Myth-ing persons	 Another fine myth	 Phule and his money,http://viaf.org/viaf/27627288
viaf_75,1895-07-24,1985-12-07,male,Robert Graves,"Greek myths	 Poems	 I, Claudius	 King Jesus	 Graves, Robert,	 Golden fleece	 Lawrence and the Arabs	 White goddess.	 Graves, Robert	 Count Belisarius",http://viaf.org/viaf/68929835
viaf_76,1927-05-25,2001-03-12,male,Robert Ludlum,"Bourne supremacy	 Chancellor manuscript	 Gemini contenders	 Bourne ultimatum	 The Matarese circle	 Ludlum, Robert,	 Icarus agenda	 Matlock paper	 Osterman weekend",http://viaf.org/viaf/109373898
viaf_77,1942-06-18,2013-04-04,male,Roger Ebert,Great movies	 Bigger little book of hollywood clichés,http://viaf.org/viaf/15926824
viaf_78,1937-05-13,1995-06-14,male,Roger Zelazny,"This immortal	 Sign of the unicorn	 Changeling	 Zelazny, Roger	 Lord of light	 Prince of chaos	 Guns of avalon	 Blood of Amber	 Knight of shadows	 Nine princes in Amber",http://viaf.org/viaf/49233219
viaf_79,1870-12-18,1916-11-13,male,Saki,"Bodley Head.	 Reginald, and Reginald in Russia	 Open window	 Toys of peace and other papers	 Complete short stories of saki	 Beasts & superbeasts	 Short stories	 Chronicles of clovis	 Best of saki	 Saki,",http://viaf.org/viaf/7396805
viaf_80,1947-06-19,,male,Salman Rushdie,"Luka and the fire of life : a novel	 Shame	 The satanic verses	 Rushdie, Salman	 Shalimar the Clown : a novel	 רושדי, סלמאן,	 Spoken word Shah)	 Rushdie, Salman (1947-....).	 Enchantress of florence : a novel	 Fury",http://viaf.org/viaf/29540187
viaf_81,1939-04-13,2013-08-30,male,Seamus Heaney,"Seeing things	 The haw lantern	 Heaney, Seamus	 Electric light	 Heaney, Seamus,	 Wintering out	 Poems.	 Redress of poetry	 Sweeney astray.",http://viaf.org/viaf/109557338
viaf_82,1888-08-08,1970-02-17,male,"Agnon, S.J.","Agnon, Shmuel Yosef,	 Shevuat emunim	 עגנון, שמואל יוסף,	 Oreah Natah Lalun	 Ve-hayah heʻaḳov le-mishor	 Hakhnasat kalah	 Agnon",http://viaf.org/viaf/14765267
viaf_83,1886-09-08,1967-09-01,male,Siegfried Sassoon,Poems.	 Memoirs of a fox-hunting man	 Poems,http://viaf.org/viaf/89412247
viaf_84,1882-05-20,1949-06-10,female,Sigrid Undset,"Undset, Sigrid,	 Fru Marta Oulie	 Vaaren	 Jenny	 Kristin Lavransdatter	 Gymnadenia	 Brennende busk	 Trofaste hustru : roman	 Ida Elizabeth	 Madame Dorthea; roman",http://viaf.org/viaf/73860916
viaf_85,1885-02-07,1951-01-10,male,Sinclair Lewis,"Lewis, Sinclair	 Lewis, Sinclair,	 Elmer Gantry	 Babbit	 Mantrap	 Cass Timberlane	 Ann Vickers	 Our Mr. Wrenn",http://viaf.org/viaf/39380311
viaf_86,1930-05-11,1995-06-02,male,Stanley Lawrence Elkin,"Living end	 Magic kingdom	 Bad man	 Elkin, Stanley,	 Van Gogh's room at Arles : three novellas",http://viaf.org/viaf/104114240
viaf_87,1947-08-12,,male,Stefano Benni,Saltatempo	 Achille piè veloce	 Comici spaventati guerrieri	 Margherita Dolcevita	 Bar sport duemila	 Ultima lacrima	 Compagnia dei Celestini	 Bar sotto il mare	 Terra!,http://viaf.org/viaf/71374556
viaf_88,1955-11-23,,male,Steven Brust,Orca	 Five hundred years after	 Athyra	 Phoenix	 Taltos	 Teckla	 Book of Jhereg	 Yendi	 Agyar,http://viaf.org/viaf/5074845
viaf_89,1902-09-20,1971-03-07,female,Stevie Smith,"Poems.	 Poems	 Works.	 Smith, Stevie,	 Selected poems	 Novel on yellow paper : a novel",http://viaf.org/viaf/7436951
viaf_90,69,122,male,Suetonius,"Suetonius Tranquillus, Gaius	 Caligula	 Suétone	 Divus Claudius	 De poetis	 Suétone (0069?-0126?).	 Suetonius,	 Vitae XII Caesarum	 De grammaticis et rhetoribus",http://viaf.org/viaf/89599270
viaf_91,1839-03-16,1907-09-06,male,Sully Prudhomme,"Prudhomme, Sully	 Le cygne	 Sully Prudhomme",http://viaf.org/viaf/89565335
