wiki_id,wiki_birthdate,wiki_deathdate,wiki_name,wiki_work,wiki_gender,wiki_uri
wiki_0,1936-11-30 00:00:00,1989-04-12 00:00:00,Abbie Hoffman,Woodstock Nation	Steal This Book,male,http://www.wikidata.org/entity/Q306514
wiki_1,1779-11-14 00:00:00,1850-01-20 00:00:00,Adam Oehlenschläger,The golden horns	Der er et yndigt land	Aladdin,male,http://www.wikidata.org/entity/Q168356
wiki_2,1937-01-01 00:00:00,1995-08-30 00:00:00,Adam Wiśniewski-Snerg,,male,http://www.wikidata.org/entity/Q351193
wiki_3,1929-05-16 00:00:00,2012-03-27 00:00:00,Adrienne Rich,"Diving into the Wreck: Poems 1971-1972	On Lies, Secrets and Silence	The Dream of a Common Language",female,http://www.wikidata.org/entity/Q270705
wiki_4,1785-03-07 00:00:00,1873-05-22 00:00:00,Alessandro Manzoni,The Betrothed	Il Conte di Carmagnola	Adelchi,male,http://www.wikidata.org/entity/Q1064
wiki_5,1913-12-18 00:00:00,1987-09-30 00:00:00,Alfred Bester,The Demolished Man	The Stars My Destination,male,http://www.wikidata.org/entity/Q286116
wiki_6,1944-02-09 00:00:00,,Alice Walker,The Color Purple	The Third Life of Grange Copeland	Meridian	The Temple of My Familiar	Possessing the Secret of Joy,female,http://www.wikidata.org/entity/Q215868
wiki_7,1952-02-19 00:00:00,,Amy Tan,The Joy Luck Club	The Bonesetter's Daughter,female,http://www.wikidata.org/entity/Q234989
wiki_8,1621-03-31 00:00:00,1678-08-16 00:00:00,Andrew Marvell,,male,http://www.wikidata.org/entity/Q365935
wiki_9,1928-10-31 00:00:00,2012-06-20 00:00:00,Andrew Sarris,,male,http://www.wikidata.org/entity/Q507162
wiki_10,1896-02-01 00:00:00,1966-09-28 00:00:00,André Breton,,male,http://www.wikidata.org/entity/Q161955
wiki_11,1901-11-03 00:00:00,1976-11-23 00:00:00,André Malraux,Man's Fate,male,http://www.wikidata.org/entity/Q151164
wiki_12,1907-09-23 00:00:00,1998-04-27 00:00:00,Anne Desclos,,female,http://www.wikidata.org/entity/Q253288
wiki_13,1917-02-25 00:00:00,1993-11-22 00:00:00,Anthony Burgess,,male,http://www.wikidata.org/entity/Q217619
wiki_14,1863-03-03 00:00:00,1947-12-15 00:00:00,Arthur Machen,,male,http://www.wikidata.org/entity/Q540166
wiki_15,1907-11-14 00:00:00,2002-01-28 00:00:00,Astrid Lindgren,Pippi Longstocking	Emil i Lönneberga	Karlsson-on-the-Roof	The Six Bullerby Children	Bill Bergson,female,http://www.wikidata.org/entity/Q55767
wiki_16,1849-01-22 00:00:00,1912-05-14 00:00:00,August Strindberg,The Red Room	The Father	Miss Julie	Inferno	To Damascus	A Dream Play,male,http://www.wikidata.org/entity/Q7724
