half_id,half_isbn,half_title,half_author,half_binding,half_pubdate,half_pages,half_publisher
half_0,9780439023528,The Hunger Games,Suzanne Collins,,"Jul. 3rd, 2010",374,Scholastic Press
half_1,9780440237686,The Giver,Lois Lowry,,"Sep. 10th, 2002",192,Laurel Leaf Library
half_2,9780142402511,Looking for Alaska,John Green,,"Jan. 1st, 2007",221,Speak
half_3,9780062024039,Divergent,Veronica Roth,Paperback,"Feb. 28th, 2012",576,Katherine Tegen Books
half_4,9780440414803,Holes,Louis Sachar,,"May. 9th, 2000",240,Yearling Books
half_5,9780375842207,The Book Thief,Markus Zusak,,"Sep. 11th, 2007",552,Alfred A. Knopf Books for Young Readers
half_6,9780786838653,The Lightning Thief,Rick Riordan,Paperback,"Mar. 1st, 2006",377,Miramax Books
half_7,9781929494170,The 7 Habits of Highly Effective Teens Workbook,Sean Covey,,"Dec. 5th, 1999",377,Franklin Covey
half_8,9780316013697,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,,"Apr. 1st, 2009",229,"Little, Brown Young Readers"
half_9,9780385737951,The Maze Runner,James Dashner,Paperback,"Aug. 24th, 2010",375,Delacorte Press Books for Young Readers
half_10,9780152057800,Tangerine,Edward Bloor,,"Sep. 1st, 2006",312,Harcourt Paperbacks
half_11,9780385751537,The Boy in the Striped Pajamas,John Boyne,,"Oct. 23rd, 2007",240,Ember
half_12,9781594135859,Catching Fire,Suzanne Collins,,"Apr. 20th, 2012",497,Large Print Press
half_13,9781416936473,Hatchet,Gary Paulsen,,"Jan. 1st, 2007",186,Simon & Schuster Books for Young Readers
half_14,9780439120425,Esperanza Rising,Pam Munoz Ryan,,"May. 1st, 2002",262,Scholastic
half_15,9780545326995,Drama,Raina Telgemeier,,"Sep. 1st, 2012",240,Graphix
half_16,9780765342294,Ender's Game,Orson Scott Card,Paperback,"Feb. 18th, 2002",324,Starscape Books
half_17,9781416971719,Out of My Mind,Sharon M. Draper,,"May. 1st, 2012",295,Atheneum Books for Young Readers
half_18,9780547928227,The Hobbit,J. R. R. Tolkien,,"Sep. 18th, 2012",320,Mariner Books
half_19,9780142419779,Matched,Ally Condie,,"Sep. 20th, 2011",400,Speak
half_20,9780590353427,Harry Potter and the Sorcerer's Stone,J. K. Rowling,Paperback,"Oct. 1st, 1999",312,Arthur A. Levine Books
half_21,9780312674397,Speak,Laurie Halse Anderson,,"May. 10th, 2011",197,Square Fish
half_22,9780394820378,The Phantom Tollbooth,Norton Juster,,"Oct. 12th, 1988",272,Random House (NY)
half_23,9780547577319,A Long Walk to Water,Linda Sue Park,,"Oct. 4th, 2011",121,Houghton Mifflin Harcourt (HMH)
half_24,9780142414934,Paper Towns,John Green,,"Sep. 22nd, 2009",305,Speak
half_25,9780440413288,"Bud, Not Buddy",Christopher Paul Curtis,,"Jan. 8th, 2002",256,Yearling Books
half_26,9780312367541,A Wrinkle in Time,Madeleine L'Engle,,"May. 1st, 2007",245,Square Fish
half_27,9781595141880,Th1rteen R3asons Why,Jay Asher,,"Jun. 14th, 2011",288,Razorbill
half_28,9781416955078,City of Bones,Cassandra Clare,Paperback,"Mar. 1st, 2008",485,Margaret K. McElderry Books
half_29,9780689865381,Uglies,Scott Westerfeld,,"Feb. 28th, 2005",448,Simon Pulse
half_30,9781596950948,Webster's Thesaurus for Students,Inc. Merriam-Webster,,"May. 1st, 2010",335,Federal Street Press
half_31,9780316231657,Beautiful Creatures,Kami Garcia,,"Nov. 20th, 2012",576,"Little, Brown Books for Young Readers"
half_32,9780440439882,Island of the Blue Dolphins,Scott O'Dell,,"Feb. 28th, 1987",192,Yearling Books
half_33,9781423113461,"The Heroes of Olympus, The, Book One",Rick Riordan,Paperback,"Apr. 3rd, 2012",576,Hyperion Books
half_34,9780684856094,The 7 Habits of Highly Effective Teens,Sean Covey,,"Oct. 9th, 1998",288,Fireside Books
half_35,9780439286060,Freak the Mighty,Rodman Philbrick,,"Jun. 1st, 2001",176,Scholastic Paperbacks
half_36,9781594135866,Mockingjay,Suzanne Collins,,"Apr. 20th, 2012",501,Large Print Press
half_37,9780316003957,The Mysterious Benedict Society,Trenton Lee Stewart,Paperback,"Apr. 1st, 2008",512,"Little, Brown Young Readers"
half_38,9781250003430,A Wrinkle in Time Trilogy,Madeleine L'Engle,,"Oct. 16th, 2012",800,Square Fish
half_39,9780156012195,The Little Prince,Antoine de Saint-Exupery,,"Jun. 29th, 2000",96,Harvest Books
half_40,9780440228004,The Watsons Go to Birmingham - 1963,Christopher Paul Curtis,,"Dec. 12th, 2000",224,Laurel Leaf Library
half_41,9780142410707,An Abundance of Katherines,John Green,,"Oct. 16th, 2008",227,Puffin Books
half_42,9780316809061,Maniac Magee,Jerry Spinelli,,"Nov. 1st, 1999",192,"Little, Brown Young Readers"
half_43,9781423103349,The Sea of Monsters,Rick Riordan,Paperback,"Mar. 20th, 2007",279,Miramax Books
half_44,9780440479000,The Sign of the Beaver,Elizabeth George Speare,,"Jul. 1st, 1984",144,Yearling Books
half_45,9780142407325,Speak,Laurie Halse Anderson,,"Apr. 20th, 2006",197,Puffin Books
half_46,9780316243766,The Beautiful Creatures Paperback Set,Kami Garcia,,"Oct. 23rd, 2012",1696,"Little, Brown Books for Young Readers"
half_47,9780545132060,Smile,Raina Telgemeier,,"Feb. 1st, 2010",213,Graphix
half_48,9781416912057,Unwind,Neal Shusterman,,"Jun. 2nd, 2009",335,Simon & Schuster Books for Young Readers
half_49,9780440495963,The Witch of Blackbird Pond,Elizabeth George Speare,,"Feb. 15th, 1972",256,Yearling Books
half_50,9781423134947,The Lightning Thief,Rick Riordan,Paperback,"Jan. 31st, 2010",377,Hyperion Books
half_51,9781423136804,Percy Jackson Pbk 5-Book Boxed Set,Rick Riordan,,"Aug. 30th, 2011",1824,Hyperion Books
half_52,9780064472074,Seedfolks,Paul Fleischman,,"Mar. 24th, 1999",80,HarperTrophy
half_53,9781423113454,"The Kane Chronicles, The, Book One",Rick Riordan,,"Aug. 16th, 2011",544,Hyperion Books
half_54,9780374462437,The Revealers,Doug Wilhelm,,"Apr. 30th, 2005",224,Farrar Straus Giroux
half_55,9780385738767,The Scorch Trials,James Dashner,Paperback,"Sep. 13th, 2011",361,Ember
half_56,9780316231671,Beautiful Creatures,Kami Garcia,,"Nov. 27th, 2012",592,"Little, Brown Books for Young Readers"
half_57,9780618002214,The Hobbit,J. R. R. Tolkien,,"Sep. 15th, 1999",320,Houghton Mifflin Harcourt (HMH)
half_58,9780786851973,It's Kind of a Funny Story,Ned Vizzini,,"Apr. 3rd, 2007",444,Miramax Books
half_59,9780888994165,The Breadwinner,Deborah Ellis,,"Oct. 25th, 2001",170,Groundwood Books
half_60,9781442419810,Uglies,Scott Westerfeld,,"May. 3rd, 2011",406,Simon Pulse
half_61,9780064407311,Monster,Walter Dean Myers,,"May. 8th, 2001",288,Amistad Press
half_62,9781423101482,The Titan's Curse,Rick Riordan,Paperback,"Apr. 1st, 2008",312,Hyperion Books for Children
half_63,9780061726835,Delirium,Lauren Oliver,Paperback,"Feb. 7th, 2012",441,Harper
half_64,9781423101505,"The Percy Jackson and the Olympians, Book Five",Rick Riordan,Paperback,"Jan. 25th, 2011",416,Hyperion Books
half_65,9781585366040,"I, Q: Book Three",Roland Smith,Paperback,"Sep. 1st, 2012",256,Sleeping Bear Press
half_66,9780060530945,The Graveyard Book,Neil Gaiman,,"Sep. 28th, 2010",312,HarperCollins
half_67,9780375822742,The City of Ember,Jeanne DuPrau,Paperback,"May. 25th, 2004",288,Yearling Books
half_68,9780142420591,Between Shades of Gray,Ruta Sepetys,,"Apr. 3rd, 2012",352,Speak
half_69,9781423101499,The Battle of the Labyrinth,Rick Riordan,Paperback,"Apr. 7th, 2009",361,Hyperion Books
half_70,9780440416777,Stargirl,Jerry Spinelli,,"May. 11th, 2004",186,Laurel Leaf Library
half_71,9780142401200,The Westing Game,Ellen Raskin,Paperback,"Apr. 12th, 2004",182,Puffin Books
half_72,9780142406632,The Ruins of Gorlan,John Flanagan,,"Jun. 8th, 2006",249,Puffin Books
half_73,9780440414124,The Watsons Go to Birmingham - 1963,Christopher Paul Curtis,,"Sep. 8th, 1997",224,Yearling Books
half_74,9780385732550,The Giver,Lois Lowry,,"Jan. 24th, 2006",179,Delacorte Press Books for Young Readers
half_75,9781250010193,The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making,Catherynne M. Valente,,"May. 8th, 2012",247,Square Fish
half_76,9781416905868,Chains,Laurie Halse Anderson,,"Jan. 5th, 2010",316,Atheneum Books
half_77,9780380805600,Touching Spirit Bear,Ben Mikaelsen,,"Apr. 30th, 2002",256,HarperCollins
half_78,9781416936466,Hatchet,Gary Paulsen,,"Jan. 1st, 2007",189,Simon Pulse
half_79,9780689806988,Tears of a Tiger,Sharon M. Draper,,"Feb. 1st, 1996",192,Simon Pulse
half_80,9780142418475,"Will Grayson, Will Grayson",John Green,,"Apr. 5th, 2011",310,Speak
half_81,9780307976079,Farewell to Manzanar,Jeanne Wakatsuki Houston,,"Feb. 14th, 2012",208,Ember
half_82,9780440228592,Holes,Louis Sachar,,"Aug. 14th, 2001",256,Laurel Leaf Library
half_83,9780312547967,Bystander,James Preller,,"May. 10th, 2011",226,Square Fish
half_84,9781416948827,Warriors Don't Cry,Melba Patillo Beals,,"Jul. 24th, 2007",226,Simon Pulse
half_85,9780689848919,Fever 1793,Laurie Halse Anderson,,"Mar. 1st, 2002",256,Aladdin Paperbacks
half_86,9780440228356,Whirligig,Paul Fleischman,,"Nov. 30th, 1999",144,Laurel Leaf Library
half_87,9780743250986,The 7 Habits of Highly Effective Teens Personal Workbook,Sean Covey,,"Feb. 24th, 2004",216,Fireside Books
half_88,9780060874186,Beastly,Alex Flinn,,"Oct. 31st, 2008",304,Harper Teen
half_89,9781423124528,Artemis Fowl,Eoin Colfer,,"Jun. 1st, 2009",277,Hyperion Books
half_90,9780061969577,I Am Number Four,Pittacus Lore,Paperback,"Aug. 23rd, 2011",440,Harper
half_91,9780486275437,Alice's Adventures in Wonderland,Lewis Carroll,,"May. 20th, 1993",96,Dover Publications
half_92,9780142410752,The Icebound Land,John Flanagan,,"Feb. 5th, 2008",266,Puffin Books
half_93,9780060525507,Warriors #1,Erin Hunter,,"Jan. 6th, 2004",288,HarperCollins
half_94,9780439064873,Harry Potter and the Chamber of Secrets,J. K. Rowling,Paperback,"Sep. 1st, 2000",341,Scholastic
