Brand_x,Brand_y,Color_x,Color_y,Interface_x,Interface_y,Memory Speed_x,Memory Speed_y,Memory Type_x,Memory Type_y,Memory_x,Memory_y,Model_x,Model_y,Processor_x,Processor_y,Product Type_x,Product Type_y,Storage Capacity_x,Storage Capacity_y,cluster_id
,,,,['6MB'],,"['No', '3.8GHz', 'DDR4 - 2133 / DDR3L - 1600']",,['ddr4 ddr3l controller'],"['7600k s', '1150mhz gpu']",,,,,"['Intel HD 630', 'I5 7600K']",['intel core i5'],,,,,3116
,['asus'],,,,,,,['ddr4 2 x usb3'],,,,,,['i5 i3 6th gen atx'],['intel gbe usb 3'],,['z170 pro gaming'],,,7417
,,,,,,,,,,,,,,,,,['dlink des'],['24 4'],['24 port'],9820
['ssi'],['asus'],,,,['usb 3'],,,"['ddr4 sdram', 'supported dimm udimm rdimm 8']",,"['128 gb', '2 13 ghz']",,,,,,['processor support'],"['x99 e ws', 'ssi ceb']",,,11029
['mini itx'],['cooler master'],,['black aluminium'],,,,,,,,,,"['elite 110', 'elite 110 usb 3 0']",,,['2 year warranty'],['psu'],,,15193
['i7'],['asus'],,['micro atx'],,,,['1151'],['ddr4 4 x usb3 4 x usb2 4 x sata3 1 x pcie x16 2 x pcie x1'],['ddr4'],,,,,['i5 i3 6th gen micro atx'],['intel h110 s'],,,,,20073
,,['layer supported'],,,,,,,,,,,,,,,,['10 x network rj 45 ports 4 x expansion slots 10gbase t 10gbase x shared sfp slot 4 x sfp slots 2'],,26617
"['quad core technology', 'quad core technology']",['intel'],,,,,"['4.3GHz', '4.3GHz']",,"['ddr4 controller', 'ddr4 controller']",,,,,,"['I7 7740X', 'I7 7740X']",['core i7'],,,,,29892
,,['lifetime warranty'],['Anodised Aluminium Heatspreader'],,,"['DDR4 (PC4-21300)', 'XMP 2.0, Vengeance LPX Heatsink']","['Vengeance LPX Black', 'PC4-21300 (2666)', 'Non-ECC', 'DDR4', 'UDIMM (Unbuffered)']",,,,,,,,,,,['2666mhz ram'],"['8gb', '1x8gb']",32107
,,,['\xa0'],,,['DDR4 (PC4-17000)'],"['Non-ECC', 'Value Select', 'UDIMM (Unbuffered)', 'PC4-17000 (2133)', 'DDR4 SO-DIMM']",['speed'],,,,,['select pc4 17000'],,,,,,['4gb'],32127
['size'],,"['Red, White Or Blue']",,,,,,,,,,,,,,,['corsair air series'],,['120mm'],33840
['i7'],['asus'],,,,,,,,,,,,,['i5 i3 4th gen mini itx'],['plus intel h81'],,,,,34641
,['asus'],,,,,,['1151'],,['ddr4'],,,,,['i5 i3 7th gen micro atx'],,,['prime'],,,37368
,['asrock'],,,,,,,['ddr4'],,,,,,,,,,,,37887
,['cooler master silencio'],,['o psu'],,['usb 3 0 card'],,,,,,,,,,,"['and below', 'support silent no psu']",,,,41568
,,,,,,,,,,,,,,['amd socket'],['amd'],,,,,41903
['xl atx'],['corsair'],['White + Black Trim'],,,,,,,,,,['Graphite 780T'],['graphite series 780t'],,,"['and below', 'side panel water cooler support full']",['tower case w o psu'],,,43099
['quad core technology'],,,,['8MB'],,"['DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V', 'No', '3.4GHz']",,['ddr4 ddr3l controller'],"['6700 s', '1150mhz gpu']",,,,,"['Intel HD 530', 'I7 6700']",['intel core i7'],['warranty'],,,,46900
,,,,,,,,['up 1100rpm'],,,,['MFY-F2DN-11NPC-R1'],,,,,"['cooler master', 'flow rgb']",,['120mm'],48996
,['intel'],,,['8MB'],,"['DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V', '3.6GHz', 'No']",,['ddr4 ddr3l controller'],"['7700 s', '1150mhz gpu']",,,,,"['I7 7700', 'Intel HD 630']",['core i7'],,,,,51801
['3200mhz ram'],,['lifetime warranty'],['Anodised Aluminium Heatspreader'],,,"['XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-25600)']","['DDR4', 'Vengeance LPX Red', 'Non-ECC', 'UDIMM (Unbuffered)', 'PC4-25600 (3200)']",,,,,,,,,,"['corsair', 'lpx red pc4 25600 3200 non']",,['8gb'],56456
['ryzen 5'],['amd ryzen 5'],,,,['stealth cooler'],['3.20GHz'],,,,,,,,"['1400 4c', 'Amd Ryzen™']",,,,,,57290
,,,['Anodised Aluminium Heatspreader'],,,"['XMP 2.0, Anodized Aluminium Heatspreader', 'DDR4 (PC4-25600)']","['Non-ECC', 'Vengeance LED', 'DDR4', 'PC4-25600 (3200)', 'UDIMM (Unbuffered)']",['ddr4'],,,,,,,,,,,"['16gb', '2x8gb']",58515
['cpu cores'],['amd'],,,['8ghz max turbo'],,,['1029mhz'],,,,,,,,['dual core'],['cores'],['series a6'],,,59044
,,,['Heat Spreader'],,,"['1600mhz', 'DDR3 (PC3-12800)', 'XMP, XMS3 Heatsink']","['DDR3', 'XMS3', 'Non-ECC', 'UDIMM (Unbuffered)', 'PC3-12800 (1600)']",,,,,,,,,['lifetime warranty'],,,"['16gb', '2x8gb']",63531
,['corsair'],,,,['8a 12v'],,,,,,,,,,,['year warranty'],['psu'],,,63947
['atx'],['corsair'],['Black'],,,['usb 3 0 cable management sound damping'],,,,,,,"['gpu', 'Carbide 100R Silent Edition']",['carbide series 100r silent edition mid'],,,"['and below', 'side panel water cooler support full', 'support silent no psu']",['tower computer chassis'],,,64089
['mini itx'],['cooler master'],['Black'],,,['support 343'],,,,,,,"['gpu', 'Elite 130']",['elite 130'],,,['support no psu'],['mini itx cube case'],,,66196
,['asus'],,['3amp atx'],,['usb c'],,['1151'],,['ddr4'],,,,,['i5 i3 7th gen atx'],,,['prime h270 pro'],,,66894
,['asrock'],,,,,,,['ddr4'],,,,,,,,,,,,70222
['ddr4'],,['lifetime warranty'],['Anodised Aluminium Heatspreader'],,,"['2666mhz', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-21300)']","['UDIMM (Unbuffered)', 'PC4-21300 (2666)', 'DDR4', 'Non-ECC', 'Vengeance LPX Black']",,['black pc4 21300 2666'],,['4x16gb corsair'],,,,,,,,['64gb'],79457
,,,['Heat Sink Heat Spreader'],,,"['DDR3 (PC3-12800)', 'XMP, Vengeance Pro Heatsink']","['Vengeance Pro Series Red', 'Non-ECC', 'DDR3', 'UDIMM (Unbuffered)', 'PC3-12800 (1600)']",,,,,,,,,,,,"['16gb', '2x8gb']",82284
,['intel'],,,['6MB'],,"['DDR4 - 2133 / DDR3L - 1600', 'No', '3.5GHz']",,['ddr4 ddr3l controller'],,,['1150mhz gpu'],,,"['I5 6600K', 'Intel HD 350']",,['warranty'],,,,83931
['280mm'],['corsair'],,,,,,,,,['113cfm max 43 dba max 5'],,['Hydro Series H110i'],,,['intel amd am4'],"['radiator mount', 'year warranty']",,,,84721
['atx'],,,,,,,,,,,,,,,,"['and below', 'side panel water cooler support full', 'support modular', 'no psu']","['micro atx', 'mini itx']",,,91590
['ddr4'],,,['Heat Spreader'],,,"['2400mhz', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-19200)']","['DDR4', 'UDIMM (Unbuffered)', 'Vengeance LPX Black', 'Non-ECC', 'PC4-19200 (2400)']",,,,,,,,,,,,"['4gb', '1x4gb']",91750
"['ddr4', 'ddr4']",,"['lifetime warranty', 'lifetime warranty']",['Anodised Aluminium Heatspreader'],,,"['3200mhz', '3200mhz', 'DDR4 (PC4-25600)', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-25600)', 'XMP 2.0, Vengeance LPX Heatsink']","['Vengeance LPX Black', 'PC4-25600 (3200)', 'DDR4', 'UDIMM (Unbuffered)', 'Non-ECC']",,['black pc4 25600 3200 non'],,['4x8gb corsair'],,,,,,,,['32gb'],92366
['atx'],,,,,,,,,,,,['gpu'],,,,"['and below', 'side panel water cooler support full', 'support silent no psu']",['o psu'],,,92731
"['motherboard', 'Antec']",,,,['external 2 3 5'],,,,,,,,['NSK3100'],,,,['miniitx drive'],"['case 2xusb3', 'o psu']",,,96001
,,['Green'],,,,['2000 rpm'],,['green led'],,,,['SickleFlo 120'],,,,['69 7 cfm'],['cooler master'],['120mm'],['120mm'],96062
['atx'],['asrock'],,,,,,['1151'],,['ddr4'],,,,,,,['crossfirex'],,,,98374
,,['Red'],['black'],,,,,,,,,,,,,,['corsair ml series ml120'],,['120mm'],101004
,['corsair'],,,,,,,,,,,['Semi-Modular'],,,,"['all japanese capacitors', 'fan 7 year warranty']",['psu'],,['120mm'],101282
['intel'],['cooler master'],,,,,,,['tall red led fan'],,,,,['hyper 212'],,,,['cpu cooler'],,,102183
,,"['Red, White Or Blue']",,,,,,,,,,,,,,,['corsair air series af120 quiet'],,['120mm'],103298
['dual'],['intel'],,,['3MB'],,"['DDR4-1866/2400, DDR3L-1333/1600 @ 1.35V', 'No', '3.9GHz']",,['ddr4 ddr3l controller'],,,,,,"['Intel HD 630', 'I3 7100']",,,,,,106101
['plus'],,,,,,,,,,,,,,,,['fully modular corsair link enabled 7 year warranty'],['psu'],,,108669
['superior'],['ekwb'],,,,,,,,,,,,,,,,"['ek fc1080 gtx', 'g1 waterblock pom acetal nickel plated for']",,,109289
[],['45cm'],,,,,,,,,,,,,,,,,,,116893
['xl atx'],['cooler master'],,,,,,,,,,,,,,,['and below'],['storm stryker'],,,117679
['240'],['cooler master'],,,,,,,,,,,,,,,,"['masterliquid', 'amd am4']",['120mm'],,120254
['3000mhz'],,['lifetime warranty'],['Anodised Aluminium Heatspreader'],,,"['Intel XMP 2.0 Memory Profile, Vengeance LPX Heat Spreader', 'DDR4 (PC4-24000)']","['Vengeance LPX Blue', 'UDIMM (Unbuffered)', 'DDR4', 'Non-ECC', 'PC4-24000 (3000)']",,,,,,,,,,"['corsair', 'lpx blue']",,['16gb'],121336
,['corsair'],,,,,,,,,,,['Hydro Series H75'],['hydro series h75'],,,"['radiator mount', 'pwm fans']",['pwm fans'],['120mm'],,122322
['write'],,,,,,,,,,,,,,,,,['sdrw'],,,125224
,,,['Heat Spreader'],,,"['2400mhz', 'DDR4 (PC4-19200)', 'Intel XMP 2.0 Memory Profile, Vengeance LPX Heat Spreader']","['Vengeance LPX Black', 'PC4-19200 (2400)', 'UDIMM (Unbuffered)', 'Non-ECC', 'DDR4']",,['black pc4 19200'],,['4x8gb corsair'],,,,,,,,['32gb'],130212
,,,,,,,,,,,,,,,,,,['18 x rj 45 10 100 1000base t desktop'],['18 port d link gigabit smart switch'],133492
,,,,,,,,,,,,,,,,['plastic'],"['corsair quiet led fan', 'red dual pack']",['1 x 120 mm'],['120mm'],135489
['2400mhz ram'],,,['Anodised Aluminium Heatspreader'],,,"['XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-19200)']","['DDR4', 'UDIMM (Unbuffered)', 'Non-ECC', 'Vengeance LPX Black', 'PC4-19200 (2400)']",,,,,,,,,,,,"['16gb', '4x4gb']",136586
['ddr3'],,,['\xa0'],,,"['ddr3l 1600mhz', '50v', 'DDR3 (PC3-12800)']","['DDR3L SO-DIMM', 'Server', 'Non-ECC', 'UDIMM (Unbuffered)', 'PC3-12800 (1600)']",,['ddr3l so dimm'],,,,,,,['lifetime warranty'],"['crucial', 'server pc3 12800 1600 non']",,['8gb'],141137
,,,,,,['2400 mhz'],,['ddr4 2400 pc4 19200 1 20 v'],,,,,['ddr4'],,,,['ballistix'],,"['32gb', '4x8gb']",143876
,['corsair'],['Black'],['window black'],,['side'],,,,,,,['Graphite 230T'],['graphite series 230t'],,,"['and below', 'side panel water cooler support no psu']",['o psu'],,,145357
,,['lifetime warranty'],['Anodised Aluminium Heatspreader'],,,"['2666mhz', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-21300)']","['Non-ECC', 'Vengeance LPX Red', 'DDR4', 'UDIMM (Unbuffered)', 'PC4-21300 (2666)']",,,,,,,,,,"['corsair', 'lpx red pc4 21300 2666']",,['8gb'],147316
,['apple'],,,,['thunderbolt to'],,,,,,,,['md464zm a'],,,,,['1 x thunderbolt 1 x firewire'],,148103
['size'],,['White'],,,,,,,,,,,,,,,['corsair quiet led fan'],,['140mm'],151079
,,,,,,"['866mhz', '4.1GHz']",['866mhz'],['Dual channel DDR3 800/1066/1333/1600MHz/1866MHz'],,,,,,"['amd radeontm r7 series graphics quad core technology', 'A10-7890k']",['amd a10 7890k fm2 godavari quad core'],,,,,151336
['ddr4'],,['lifetime warranty'],['white led'],,,"['3200mhz', 'DDR4 (PC4-27200)', 'XMP 2.0, Anodized Aluminium Heatspreader']",,,['ddr4'],,['4x8gb corsair'],,,,,,['vengeance led pc4 27200'],,['32gb'],152035
['ddr4'],,['lifetime warranty'],['Anodised Aluminium Heatspreader'],,,"['3000mhz', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-24000)']","['DDR4', 'PC4-24000 (3000)', 'UDIMM (Unbuffered)', 'Non-ECC', 'Vengeance LPX Black']",,,,,,,,,,,,"['32gb', '2x16gb']",154118
,,,,,,,,,,,,,['55k 83k iops'],,,['years'],['crucial'],,['275gb'],155523
['ryzen a'],['asus'],,['amd b350'],['series athlon 7th gen matx'],,,,,,,,,,,,,['prime b350'],,,155861
['sockets supported'],['arctic'],,,,,,,,,,,,['11 pro rev2'],,,,['cpu cooler'],,,156451
['quad core technology'],['intel'],,,['6MB'],,"['DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V', '3.3GHz', 'No']",,['ddr4 ddr3l controller'],,,['1150mhz gpu'],,,"['I5 6600', 'Intel HD 530']",['core i5 6600 s'],['warranty'],,,,157750
['530'],,,,,,,,,,,,,['92k 83k iops'],,,,['3d nand technology read'],,"['525gb', '275gb']",164737
,,,,['6MB'],,"['DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V', '2.7GHz', 'No']",,['ddr4 ddr3l controller'],,,,,,"['I5 6400', 'Intel HD 530']",['intel core i5'],['warranty'],,,,169589
['3 hour'],,,['Black'],['60320 c13 3 x iec'],,,,,,,,['8 x iec'],,,['8x c13 1x c19'],,['surge rating upto 3min full load'],,,176657
['rev'],,['latches'],,,['sata iii rev'],,,,,,,,,,,,['akasa super slim flat pro'],,['50cm'],186803
,['850w corsair'],,,,,,,,,,,,,,,['year warranty'],,,,187351
['superior'],['ekwb'],,,,,,,,,,,,,,['geforce gtx 1080 1070 graphics cards'],,['ek fc1080 gtx strix waterblock pom acetal nickel plated'],,,188351
,['450w'],,,,,,,,,,,['Non-Modular'],,,,"['thermally controlled', 'year warranty']","['corsair', 'psu 80plus bronze fully wired', 'single rail', 'psu']",,,191757
,['asus'],,,,,,['1151'],['ddr4'],['ddr4'],,,,,,"['prime', 'intel z270 s']",['amd crossfire'],,,,204145
['six'],"['amd', 'amd']",,,,,"['4.20GHz', '4.20GHz']",,"['Dual channel DDR3 800/1066/1333/1600MHz', 'Dual channel DDR3 800/1066/1333/1600MHz']",,"['8mb l3', '8mb l3']","['8mb l3', '8mb l3']",,,"['6350', '6350']",,"['unlocked multiplier', 'unlocked multiplier']",,,,204227
['ddr4'],,['lifetime warranty'],['Anodised Aluminium Heatspreader'],,,"['XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-25600)']","['DDR4', 'UDIMM (Unbuffered)', 'Vengeance LPX Red', 'Non-ECC', 'PC4-25600 (3200)']",,,,,,,,,,"['corsair', 'lpx red pc4 25600 3200 non']",,['16gb'],204914
['atx'],['cooler master'],,,,,,,,,,,,['mastercase pro'],,,['and below 7'],"['computer chassis', 'microatx mini itx']",,,205989
['dual'],,,,['6MB'],,"['No', '3.7GHz', 'DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V']",,['ddr4 ddr3l controller'],,,,,,"['Intel HD 530', 'I3 6100']",['dual core'],['warranty'],['37x ratio'],,,207382
['ddr4'],,['enabled lifetime'],,,,"['3000mhz', 'DDR4 (PC4-24000)', 'XMP DHX Cooling System']",,,"['ddr4', 'platinum pc4 24000']",,['2x16gb corsair'],,,,,['warranty'],,,['32gb'],213979
['eight'],,,,,,"['0ghz', '3.60GHz']",,,,,,,,['Amd Ryzen™'],['amd ryzen 7'],['95w 3 year warranty'],['95w cpu'],,,217090
['cpu cores'],,,,,,,['1108mhz'],,,,,,,,,['cores'],['series a12 9800 s am4 quad core'],,['amd a'],220882
['ddr4'],,['lifetime warranty'],['Anodised Aluminium Heatspreader'],,,"['32GB Kit (4 x 8GB)', 'DDR4', 'Vengeance RGB']","['DDR4', 'PC4-27700 (3466)', 'UDIMM (Unbuffered)', 'Non-ECC', 'Vengeance RGB Black']",['3466mhz'],['ddr4 vengeance rgb pc4 27700 3466'],,['4x8gb corsair'],,,,,,,,['32gb'],222076
['sealed lead acid'],['apc'],,,,,,,,,,,,,,,,['replacement battery cartridge'],,,226408
,,,['Anodised Aluminium Heatspreader'],,,"['XMP 2.0, Anodized Aluminium Heatspreader', 'DDR4 (PC4-24000)']","['Non-ECC', 'Vengeance LED', 'DDR4', 'PC4-25600 (3200)', 'UDIMM (Unbuffered)']",,,,,,,,,,,,"['16gb', '2x8gb']",231507
['size'],,['Red LED'],,,,,,,,,,,,,,,['corsair quiet led fan'],,,232876
"['motherboard', 'Corsair']",['corsair'],,,,,,['140mm'],,,,,"['support mini itx', '760T']","['graphite series 760t v2', '9x']",,,['microatx atx e atx'],['fans'],,,237635
"['ddr4', 'Crucial']",,,['\xa0'],,,"['2400mhz', '20v']","['UDIMM (Unbuffered)', 'DDR4 SO-DIMM', 'PC3-19200 (2400)', 'Non-ECC']","['cl17', 'Unbuffered']",,,,,,,,['lifetime warranty'],,,"['16gb', '1x16gb']",243327
['240'],['corsair'],,,,,['73cfm max 37 7'],,['2700 rpm'],,,,['Hydro Series H105'],['h105'],,,"['radiator mount', 'pwm fans']",['hydro series'],,,247425
,['850w corsair'],,,,,,,,,,,,,,,['year warranty'],"['modular 80plus bronze sli crossfire', 'psu']",,,254250
['thin'],,,,,,,,,,,,,,,,,"['akasa washable', 'fan filters black']",,['120mm'],254479
,,,,,,,,,,,,,,,,,"['corsair ml', 'dual pack 7 blade premium magnetic']",['120mm'],['120mm'],258060
,"['corsair', 'corsair']",,,,,,,,,,,['Hydro Series H100i v2'],"['hydro series h100i gtx', 'hydro series h100i v2']",,['intel amd cpu s'],['year warranty'],['all'],,,259436
,,['lifetime warranty'],['Anodised Aluminium Heatspreader'],,,"['DDR4 (PC4-24000)', 'XMP 2.0, Vengeance LPX Heatsink']","['UDIMM (Unbuffered)', 'DDR4', 'Vengeance LPX Red', 'PC4-24000 (3000)', 'Non-ECC']",,,,,,,,,,"['corsair', 'lpx red pc4 24000']",,['16gb'],267626
,,,,,['sata3 u 2'],,,['ddr4 4 x pcie 3 0 x16'],['ddr4'],,,,"['vi extreme', '2066']",,,['quad channel'],['rog rampage'],,,278206
['ddr4'],,['lifetime warranty'],['Anodised Aluminium Heatspreader'],,,"['3000mhz', 'XMP 2.0, Anodized Aluminium Heatspreader', 'DDR4 (PC4-24000)']","['Vengeance LED', 'PC4-24000 (3000)', 'Non-ECC', 'DDR4', 'UDIMM (Unbuffered)']",,['ddr4'],,['4x8gb corsair'],,,,,,['vengeance led pc4 24000'],,['32gb'],279422
,,,,,,"['800mhz', '3.8GHz']","['8ghz', '8470d 800mhz']","['128 graphics cores', 'Dual channel DDR3 800/1066/1333/1600MHz/1866MHz']",,,,,,"['amd radeontm hd', 'A4-7300']",['amd a4 7300 fm2 richland dual core'],,,,,281798
,,,,,,,,,,,,,,,,,"['fully wired 80 plus', 'psu']",,,284206
,['akasa'],,"['front bay', '\xa0']",,['USB 3.0'],"['Compact Flash (CF I, CF II, Ultra, Extreme, I-Pro, Ultimate, MD) Memory Stick (MS Pro, MS Pro Duo, Magic Gate, Extreme, Ultra) Secure Digital (SDXC, SDHC, SD, Ultra, Extreme, Elite Pro, High Speed, MMC, MMC Mobile) 64GByte for SDXC 32GByte for SDHC Extreme Digital (X card, Type H, Type M) M2 (Memory Stick Micro M2) microSD (microSDHC, High Capacity)']",,,,,,,,,,,['interconnect pro usb panel'],,,284375
,['corsair'],,,,,,,['1700 rpm'],,,,['Hydro Series H55'],['hydro series h55'],,,"['radiator mount', 'year warranty']",['compact quiet cpu cooler with'],,,287312
['atx'],['cooler master'],,,,['side window usb 3 0 w'],,,,,,,,,,,,['performance computer case'],,,289731
,['cooler master'],,,,,,,,,,,['Hyper 212 EVO'],['hyper 212 evo'],,,,,,,290339
