Brand_x,Brand_y,Color_x,Color_y,Interface_x,Interface_y,Memory Speed_x,Memory Speed_y,Memory Type_x,Memory Type_y,Memory_x,Memory_y,Model_x,Model_y,Processor_x,Processor_y,Product Type_x,Product Type_y,Storage Capacity_x,Storage Capacity_y,cluster_id
,,,,,,['7000mhz'],['932mhz gpu'],['gddr5'],['gddr5'],,,,,,,['processors 2048 crossfire ready'],,,['4gb'],2262
['beautiful'],['nzxt phantom'],,['o psu'],,['window w'],,,,,,,,['410 white'],,,,,,,2804
['bx80677i57600k'],,,,,,,,['ddr4 controller integrated iris dx12 graphics 3 year warranty'],"['7600k s', '1150mhz gpu']",,,,,['quad core technology'],['intel core i5'],,,,,3116
,['gigabyte'],,,,,"['1860mhz', '8008mhz']",,['gddr5'],,,,,,,"['aorus', 'geforce gtx 1060 plus']",['processors 1280 vr ready'],,,,3767
['maxtor'],,,"['windows mac', 'Black']",,,,,,,,,,['m3 portable external'],,,,,,['4tb'],5070
,['sata3'],,,,,,,,,,,,,,,,,['support for'],,5432
['kingston datatraveler'],,,,,,,,,,,,,['101 gen 2 usb 2'],,,,['kingston datatraveler'],,['8gb'],5758
['compact'],,,,,,,,,,,,['sfx'],,,,,['strider'],,,6198
['skylake'],['asus'],,,,,"['usb3', '0 8x']",,['usb3'],,,,['6th gen ddr4'],,,['intel gbe usb 3'],,['z170 pro gaming'],,,7417
,,,,,,,,,,,,"['sata 6gb s', 'sata 6gb s']",,,,"['warranty', 'warranty']",['ncq'],"['6tb', '6tb']",['6tb'],8664
['bx80677i37300'],['intel'],,,,,,,['ddr4 controller integrated iris dx12 graphics 3 year warranty'],,,,,,['dual core technology'],"['core i3 7300 s', 'thread']",,,,,9885
['msi'],,['warranty'],,['windows 10'],,,,,,,['16gb ddr4'],['ge62vr 6rf apache pro 027uk'],,['i7 6700hq'],,"['7200rpm', 'Intel Core i7']",['i7 6700hq'],,['027 fhd'],10013
[],['asus'],,,,['usb 3'],,,,,,,,,,,,"['x99 e ws', 'ssi ceb']",,,11029
['skylake'],['msi'],,,"['sata pcie gigabit lan 7 1 hd audio 6x', 'usb3 0 6x']",,,['1151'],,"['ddr4', 'usb3 1gen2 c']",,,['6th gen ddr4'],,,,,['intel z170 s'],,,11200
,,,,,,,['720mhz'],"['ddr3', 'support 65w tdp 3']",,,,,,,['amd a4 4020 fm2 richland dual core'],['year warranty'],,,,11965
['mz'],,,,,['0 x4 nvme'],,,,,,,['960'],['960 evo 3d'],,,['iops 3yr warranty'],,,,13101
"['easy', 'easy', 'easy', 'easy']",,,['android smartphones'],,"['usb otg', 'micro usb 2 0 for']",,,,,,,,,,,,,,['32gb'],13530
,,,,,,,,,,,,,,,,"['usb n10', 'legacy wireless']",['usb n10 nano adaptor 150mbps'],,,14087
,['cooler master'],,['black aluminium'],,,,,,,,,,"['elite 110', 'elite 110 usb 3 0']",,,"['mini cube', 'shaped case']",['psu'],,,15193
['air series'],['140mm'],,,,,,,,,,,,,,,,['corsair air series af140 quiet'],,,15766
,['palit'],,,,,['8000mhz'],['1607mhz gpu'],['gddr5'],,,['8gb gddr5'],,,,['geforce gtx 1070 ti jetstream'],['physx cuda'],,,,16410
['datatraveler'],,,['metal casing'],,,,,,,,,,,,,['compact and capless design'],['kingston datatraveler50 usb'],['128gb'],['64gb'],16524
['socket'],,,,,['usb 3'],,,"['support 4x', 'ddr4 dimm']",['ddr4'],,,,,,,,,,,17814
,,,,"['sata 6gb s', 'sata 6gb s']",,,,,,,,,['5400rpm'],,,"['3 year warranty', '3 year warranty']","['av surveillance', 'ncq']","['3tb', '3tb']",['3tb'],19372
['redline'],,,,,,,,['rl06'],,,,,,,,,"['computer chassis', 'fan 2x usb 2 0 2x usb', 'matx']",,,19966
,,,,,,,['700mb sec 330k'],,,,,"['sm961', 'sm961']",['sm961'],,,['samsung'],,['mzvpw128hegl 00000'],['128gb'],21223
['hard drives offer'],,,,,,,['7200rpm'],,,,,,,,,['workload environments'],,,['2tb'],22756
['dual'],['amd'],,,,,,['756mhz'],['ddr3 1866 support 65w tdp 3 year warranty'],,,,,,,"['kaveri dual core', 'amd radeon r5']",,,,,23700
['designed'],,,,['mini dtx and mini itx'],['sfx psu 80'],,,,,,,,,,,['like the sg05'],['sg06bb 450'],,,24540
['icy dock'],,,,,,,,,,,,['mb981u3s 1s'],,,,,['icy dock 1 bay'],,,26365
,['msi'],,,['sata 6gb s'],,,['1151'],,,,,['sata express m 2'],,,,,,,,26584
['bx80677g4560'],['intel'],,,,,,['1050mhz gpu'],['ddr4 controller integrated dx12 graphics 3'],,,,,,['dual core technology'],,,['54w cpu box'],,,28499
['quad core technology'],['intel'],,,,,,,"['ddr4 controller 3 year warranty', 'ddr4']",,,,,,,['core i7'],,,,,29892
,,,,,,,,,,,,,,,,"['affordable capable the nzxt source', 'budget concious system builders who want a', 'strong list']","['nzxt source', 'matte black modular case']",,,29906
,,,,['timings 1 20'],,['2666mhz ram'],,['vdimm'],,,,,,,,,,,"['32gb', '4x8gb']",30213
['samsung'],,,,['sata iii'],['samsung 850 pro'],,,,,,,,,,,['fast speeds'],,,['2tb'],30701
['cssd'],,,,,,,,,,,,"['f120gble200b', 'tlc nand read 550mb s', '55k']",,,,['corsair force le series'],['corsair force le200 2'],['120gb'],['120gb'],30868
,['asrock'],,,,,['kabylake'],['1151'],"['ddr4', 'usb3 0 2x']",['ddr4'],,,,,,,,,,,31445
['2666mhz ram'],,,['Aluminium Heatspreader with DHX'],['vdimm'],,['20v'],"['Dominator Platinum', 'PC4-21300 (2666)', 'Non-ECC', 'DDR4', 'UDIMM (Unbuffered)']",['vdimm'],['platinum pc4 21300 2666'],,,,,,,,,['2666mhz ram'],"['16gb', '2x8gb']",31559
['apc'],,,['Black'],,,,,,,,,,,,,['award winning'],,,,31939
['corsair'],,,['\xa0'],,,,"['Non-ECC', 'Value Select', 'UDIMM (Unbuffered)', 'PC4-17000 (2133)', 'DDR4 SO-DIMM']",['ddr4 so dimm pc4 17000'],,['4gb'],,,['select pc4 17000'],,,,,['1x4gb'],['4gb'],32127
,,,,['vr ready physx cuda'],,"['8192mb', '8008mhz']",,['gddr5'],,,,,,,,['processors 1920 sli ready'],,['08g p4'],,33138
['air'],,,,,,,,,,,,,,,,,['corsair air series'],,['120mm'],33840
['serial'],,,,['sata and sata ii'],['sata iii'],,,,,,,,,,,['backwards compatible'],['akasa sata3 100'],,['100cm'],34023
['1333mhz ram'],,,['Heat Spreader'],,,,"['Value Select', 'PC3-10600 (1333)', 'Non-ECC', 'DDR3', 'UDIMM (Unbuffered)']",,,,,,['select pc3 10600'],,,['corsair'],['corsair'],,['2gb'],34136
,,,,['sata 6gb s'],['sata iii'],,,,,,,,,,,['3 year warranty'],,,['1tb'],34183
['skylake'],['asrock'],,,,,,['1151'],['8x usb3 0 5x'],['ddr4'],,,,,['kabylake ddr4 2133 3600 2x pciex16 2x pciex1'],,,,,,34442
['intel'],['asus'],,,,,,,['ddr3 x1 pci e x16 x2'],,,,,,,['plus intel h81'],,,,,34641
['samsung'],,,,['sata iii'],,,,,,,,,,,,['fast speeds'],['mex 3d'],,['256gb'],36722
['using'],['tp link'],,,,,,,,,,,,,,,"['home s', 'electrical circuit', 'tp link s', 'starter kit turns', 'any']",['starter kit'],,,37552
,,"['Gunmetal', 'Gunmetal']",,['extra preinstalled fans and a'],['window fan'],,,,['dg'],,,,,,,['fan controller'],['computer chassis e atx'],['the evga'],,37843
