nova_id,nova_cluster_id,nova_product_type,nova_category,nova_brand,nova_storage_capacity,nova_memory_type,nova_interface,nova_memory_speed,nova_color,nova_model,nova_processor
nova_0,3041,,,,,,,,,,
nova_1,3116,,,,,['ddr4 ddr3l controller'],['6MB'],"['No', '3.8GHz', 'DDR4 - 2133 / DDR3L - 1600']",,,"['Intel HD 630', 'I5 7600K']"
nova_2,3681,['lifetime warranty'],,['ddr4'],,,,"['3200mhz', 'XMP 2.0, Dominator Platinum Heatsink, Corsair Link Enabled', 'DDR4 (PC4-25600)']",,,
nova_3,4943,,,,,,,['DDR4 (PC4-17000)'],,,
nova_4,6926,,,,,,,,['tx'],,
nova_5,7417,,,,,['ddr4 2 x usb3'],,,,,['i5 i3 6th gen atx']
nova_6,9820,,,,['24 4'],,,,,,
nova_7,11029,['processor support'],,['ssi'],,"['ddr4 sdram', 'supported dimm udimm rdimm 8']",,,,,
nova_8,12405,,,['4096'],,,,,,['26 2tflops fp16 13 1tflops fp32'],
nova_9,13534,['desktop computer'],,['usb'],,,,,,,
nova_10,13877,,,['pci express'],,,,,,,
nova_11,13883,,,,,,,"['XMP, Vengeance LP Heatsink', 'DDR3 (PC3-12800)']",,,
nova_12,13914,,,,['16 tb'],['ddr3 sdram serial ata'],,,,,['d2700 dual core 2 core']
nova_13,15193,['2 year warranty'],,['mini itx'],,,,,,,
nova_14,17773,,,,,,,['DDR4 (PC4-17000)'],,,
nova_15,17987,['tx'],,,"['4 x rj', '20 x rj']",,,,,,
nova_16,20073,,,['i7'],,['ddr4 4 x usb3 4 x usb2 4 x sata3 1 x pcie x16 2 x pcie x1'],,,,,['i5 i3 6th gen micro atx']
nova_17,20883,,,,"['12 tb', '3 tb']",['ddr3 sdram serial ata 600 raid supported 0'],,,,,['intel atom d2700 dual core 2 core']
nova_18,23357,['panel water cooler support no psu'],,,,,,,['Black'],['Obsidian Series 250D'],
nova_19,25397,['profile sleeved cables'],,['750'],,,,,,,
nova_20,26617,,,,['10 x network rj 45 ports 4 x expansion slots 10gbase t 10gbase x shared sfp slot 4 x sfp slots 2'],,,,['layer supported'],,
nova_21,27626,"['and below', 'side panel full', 'support no psu']",,['atx'],,,,,['Black'],['Storm-P28'],
nova_22,28472,,,['ddr4'],,,,"['3200mhz', 'DDR4 (PC4-25600)', 'XMP 2.0, Vengeance LPX Heatsink']",['lifetime warranty'],,
nova_23,29892,,,"['quad core technology', 'quad core technology']",,"['ddr4 controller', 'ddr4 controller']",,"['4.3GHz', '4.3GHz']",,,"['I7 7740X', 'I7 7740X']"
nova_24,30222,,,['Crucial'],,['Unbuffered'],,,,,
nova_25,32107,,,,['2666mhz ram'],,,"['DDR4 (PC4-21300)', 'XMP 2.0, Vengeance LPX Heatsink']",['lifetime warranty'],,
nova_26,32127,,['lifetime warranty'],,,['speed'],,['DDR4 (PC4-17000)'],,,
nova_27,33463,['desktop rack mountable'],,,,,,,,,
nova_28,33840,,,['size'],,,,,"['Red, White Or Blue']",,
nova_29,34641,,,['i7'],,,,,,,['i5 i3 4th gen mini itx']
nova_30,35654,,,,['2560 x 1440'],,['usb 88 w'],,,,
nova_31,36095,['intel xeon'],,,,['ddr3 sdram serial ata 600 raid supported 0'],,,,,
nova_32,36683,,,,,['104 65cfm max 40 dba max 5 year warranty'],,,,['Hydro Series H115i'],
