oc_id,oc_cluster_id,oc_product_type,oc_category,oc_brand,oc_storage_capacity,oc_memory_type,oc_interface,oc_memory_speed,oc_color,oc_model,oc_processor
oc_0,43,,,['black luxury housing'],,,"['form of a', 'yacht with', 'stylish led']",,,,
oc_1,552,,['lifetime warranty'],['3866mhz ram'],,['vdimm'],,,,,
oc_2,1079,,,['2666mhz ram'],,,['timings 1 2v'],,['vdimm lifetime'],,
oc_3,1877,['processors 768 sli ready'],"['stream', 'physx cuda']",['core'],,['gddr5'],,,,,
oc_4,2262,['processors 2048 crossfire ready'],['stream'],,,['gddr5'],,['7000mhz'],,,
oc_5,2624,,['stream'],['core'],,['gddr5'],['physx cuda'],['7200mhz'],,,
oc_6,2804,,,['beautiful'],,,,,,,
oc_7,2851,,,['zalman'],,,['those'],,,,
oc_8,3020,,,"['hyperx', 'hyperx']",,,,,,,
oc_9,3116,,,['bx80677i57600k'],,['ddr4 controller integrated iris dx12 graphics 3 year warranty'],,,,,['quad core technology']
oc_10,3459,,,,,,"['8x usb 3 0 2x usb 3', 'ac 7 1 hd audio quad crossfire quad']",,,,
oc_11,3507,['laptop'],,['hp omen'],['16gb'],,['fhd ips 1920 x 1080 intel i7 7700hq nvidia gtx 1070 8gb gddr5'],,,,
oc_12,3600,['1x usb typec'],,,,"['ddr4', 'usb3']",,"['kabylake', '0 8x']",,,
oc_13,3767,['processors 1280 vr ready'],"['stream', 'physx cuda']",,,['gddr5'],,"['1860mhz', '8008mhz']",,,
oc_14,3809,,['lifetime warranty'],,['1866mhz ram'],['vdimm'],,,,,
oc_15,3988,,,['add hotswap'],,,,,,,
oc_16,4340,['desktop computer'],,,,,['internet connection'],,,,
oc_17,4803,"['cooler made by silverstones argon', 'pwm connector now']",,,,,,,,,
oc_18,4943,,,,,['vdimm'],,['25v'],,,
oc_19,5070,,,['maxtor'],,,,,,,
oc_20,5432,,,,['support for'],,,,,,
oc_21,5758,,,['kingston datatraveler'],,,,,,,
oc_22,5865,"['surveillance drive', '3 year warranty']",,,['6tb'],,"['capacity', 'sata 6gb s']",,,,
oc_23,5987,['cs modular series deliver 80'],,['corsair'],,,,,,,
oc_24,6198,,,['compact'],,,,,,['sfx'],
oc_25,6335,['year warranty'],,,,['ddr3 controller integrated hd graphics 3'],,,,,
oc_26,6582,['lyra home'],,,,,,,,,
oc_27,6704,"['processors 1280 vr ready', 'years warranty']","['stream', 'physx cuda']",['gv'],,['gddr5'],,['8316mhz'],,,
oc_28,6716,"['time 1x', 'time 1x']",,,"['ls32d85ktsr en 2560x1440', 'ls32d85ktsr en 2560x1440']",,"['usb hub', 'usb hub']",,"['site warranty', 'site warranty']",,
oc_29,6839,['time 350'],,,,,,,['site warranty'],,
oc_30,7417,,,['skylake'],,['usb3'],,"['usb3', '0 8x']",,['6th gen ddr4'],
oc_31,7883,['quiet operation'],,['fz'],,,,,,,
oc_32,8088,,,['intel'],,['45nm support'],,,,,
oc_33,8142,"['processors 1920 sli ready', 'processors 1920 sli ready']","['stream', 'stream']",['gv'],,"['gddr5', 'gddr5']","['vr ready physx cuda', 'vr ready physx cuda']","['8008mhz', '8008mhz']",,,
oc_34,8501,"['5 year warranty', '5 year warranty']","['guardian range', 'guardian range']","['part of the', 'part']","['10tb', '10tb']",,"['capacity 3 5 inch', 'sata 6gb s', 'capacity 3 5 inch', 'sata 6gb s']",,,,
oc_35,8664,"['warranty', 'warranty']",,,"['6tb', '6tb']",,,,,"['sata 6gb s', 'sata 6gb s']",
oc_36,9044,,,['aquabus of'],,,,,['aqua computer'],,
oc_37,9345,,,,,['ddr3 x1 pci e x16 x1 pci e x1 x1 pci x4 sata 6gb s'],,,,,['amd a88x chipset x2']
oc_38,9464,['from noctua connect'],,,,,,,,,
oc_39,9509,['sleek and'],,['msi s'],,,,,,,['intel core i7 quad core processor and nvidia quadro']
oc_40,9581,"['v5', 'wide view', 'Intel Core i7']",,,,['ddr4 8gbx2 pcie 256gb'],,,,,['intel core i7 6700hq 2']
oc_41,9885,,,['bx80677i37300'],,['ddr4 controller integrated iris dx12 graphics 3 year warranty'],,,,,['dual core technology']
oc_42,10013,"['7200rpm', 'Intel Core i7']",,['msi'],,,['windows 10'],,['warranty'],['ge62vr 6rf apache pro 027uk'],['i7 6700hq']
oc_43,10139,,,['tp link s'],,,,,,,
oc_44,10700,['desktop series'],,['get'],,,,,,,
oc_45,10746,['multimedia playback diamond plate finish 3 year warranty'],,['as3102'],,,,,,,
oc_46,11029,,,[],,,,,,,
oc_47,11115,['rock canyon consumer segment nuc sports'],,['intel s'],,,,['35v'],,['intel hd 6100 graphics 1x'],
oc_48,11200,,,['skylake'],,,"['sata pcie gigabit lan 7 1 hd audio 6x', 'usb3 0 6x']",,,['6th gen ddr4'],
oc_49,11293,,,,,,['usb 3 0 2 0'],,,,
oc_50,11612,"['stylish', 'feature rich yet', 'affordable neos is']",,['simple'],,,,,,,
oc_51,11965,['year warranty'],,,,"['ddr3', 'support 65w tdp 3']",,,,,
oc_52,12089,,,['socket compatibility'],,,,,,,['intel lga2066 lga2011']
oc_53,12405,['frontier'],,,,,,,,,
oc_54,12425,,,['meet'],,,['fullspectrum 40'],,,,
oc_55,12678,,,['nzxt sleeved led kit'],,,,,,,
oc_56,12827,,,['grandia'],,,,,,,['grandia']
oc_57,13101,['iops 3yr warranty'],['samsung'],['mz'],,,,,,['960'],
oc_58,13110,,,['tl'],,,,,,,
oc_59,13530,,,"['easy', 'easy', 'easy', 'easy']",,,,,,,
oc_60,13877,['wireless ac pci express adapter'],,['asus'],,,,,,,
oc_61,13883,['corsair'],,['1600mhz ram'],,,,,['vdimm lifetime'],,
oc_62,13984,"['seek time', '5 year warranty']",,,['146gb'],,,,,['sas interface'],
oc_63,14077,"['external hard drive', 'hard drive']",,,,,['if'],,,,
oc_64,14087,"['usb n10', 'legacy wireless']",['quality data streaming'],,,,,,,,
oc_65,15193,"['mini cube', 'shaped case']",,,,,,,,,
oc_66,15299,['warranty'],,['gex416gb3200c16dc'],,,,"['3200mhz ram', '35v']",,,
oc_67,15766,,,['air series'],,,,,,,
oc_68,16183,,['stream'],,,['gddr5'],['physx cuda'],['7200mhz'],,,
