cluster_id,Average Seek Time,Battery Capacity,Battery Type,Brand,Bus Speed,Cable Length,Cache Memory,Category,Clock Speed,Color,Compliant Standards,Condition,Data Link Protocol,Data Transfer Rate,EAN,Generation,Graphics Card,Height,Interface,Length,Material,Memory,Memory Speed,Memory Type,Model,Operating System,Output Voltage,Portable Memory,Power Supply,Power Supply Type,Price,Processor,Processor Core,Processor Socket,Product Type,RAID Level,Reading Speed,Resolution,Rotational Speed,Screen Size,Security,Storage Capacity,UPC,Warranty,Weight,Width,Writing Speed
3041,,['3.2 Gbps'],,,,,,,,,,,,,,,,,,,,,,,,,,['96K'],,,,,,,,,,,,,,,,,,,
3116,,,,,,,,,,,,,,,,,['350 MHz'],,['6MB'],,,,"['No', '3.8GHz', 'DDR4 - 2133 / DDR3L - 1600']",['ddr4 ddr3l controller'],,,,,,,,"['Intel HD 630', 'I5 7600K']",,,,,,,,,,,,,,,
3681,,['32GB (4 x 8GB)'],,['ddr4'],,,,,,,,,,,,,,,,,,,"['3200mhz', 'XMP 2.0, Dominator Platinum Heatsink, Corsair Link Enabled', 'DDR4 (PC4-25600)']",,,,['1.35V'],,,,,,,,['lifetime warranty'],,['3200MHz'],,,,,,,,,,
4943,,['4GB (1 x 4GB)'],,,,,,,,,,,,,,,,,,,,,['DDR4 (PC4-17000)'],,,,['1.20v'],,,,,,,,,,['2133 MHz'],,,,,,,,,,
6926,,,,,,,,,,['tx'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['24 x rj 45'],,,,,,,
7417,,,,,,,,,,,,,,,,,,,,,,,,['ddr4 2 x usb3'],,,,,,,,['i5 i3 6th gen atx'],,,,,,,,,,,,,,,
9820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['tx 10 100'],,,,,,,,['24 4'],,,,,
11029,,,,['ssi'],,,,,"['maximum ram', '87 ghz']",,,,,,,,,,,,,"['128 gb', '2 13 ghz']",,"['ddr4 sdram', 'supported dimm udimm rdimm 8']",,,,,,,,,,,['processor support'],,,,,,,,,,,,
12405,,,,['4096'],,,,,,,,,,,,,,,,,,,,,['26 2tflops fp16 13 1tflops fp32'],,,,,,,,,,,,,,,,,,,,,,
13534,,,,['usb'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['desktop computer'],,,,,,,,,,,,
13877,,,,['pci express'],,,,,['40 ghz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13883,,['8GB (2 x 4GB)'],,,,,,,,,,,,,,,,,,,,,"['XMP, Vengeance LP Heatsink', 'DDR3 (PC3-12800)']",,,,['1.50v'],,,,,,,,,,['1600MHz'],,,,,,,,,,
13914,,,,,,,,,,,,,,,,,,,,,,"['2 13 ghz', '2 gb ram']",,['ddr3 sdram serial ata'],,,,,,,,['d2700 dual core 2 core'],,,,,,,,,,['16 tb'],,,,,
15193,,,['up 210'],['mini itx'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['2 year warranty'],,,,,,,,,,,,
17773,,['16GB (1 x 16GB)'],,,,,,,,,,,,,,,,,,,,,['DDR4 (PC4-17000)'],,,,['1.20v'],,,,,,,,,,['2133 MHz'],,,,,,,,,,
17987,,,,,,,,,,,,,,,,,,,,,['tx'],,,,,,,,,,,,,,['tx'],,,,,,,"['4 x rj', '20 x rj']",,,,,
20073,,,,['i7'],,,,,,,,,,,,,,,,,,,,['ddr4 4 x usb3 4 x usb2 4 x sata3 1 x pcie x16 2 x pcie x1'],,,,,,,,['i5 i3 6th gen micro atx'],,,,,,,,,,,,,,,
20883,,,,,,,,,,,,,,,,,,,,,,['2 gb ram'],,['ddr3 sdram serial ata 600 raid supported 0'],,,,,,,,['intel atom d2700 dual core 2 core'],,,,,,,,,,"['12 tb', '3 tb']",,,,,
23357,,,,,,,,,,['Black'],,,,,,,,,,,,,,,['Obsidian Series 250D'],,,,,,,,,,['panel water cooler support no psu'],,,,,,,,,['2 Years'],['4.42kg'],,
25397,,,,['750'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['profile sleeved cables'],,,,,,,,,,,,
26617,,,,,,,,,,['layer supported'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['10 x network rj 45 ports 4 x expansion slots 10gbase t 10gbase x shared sfp slot 4 x sfp slots 2'],,,,,
27626,,,,['atx'],,,,,,['Black'],,,['gpu'],,,,,,,,,,,,['Storm-P28'],,,,,,,,,,"['and below', 'side panel full', 'support no psu']",,,,,,,,,['1 Year'],['3.6kg'],,
28472,,['64GB (4 x 16GB)'],,['ddr4'],,,,,,['lifetime warranty'],,,,,,,,,,,,,"['3200mhz', 'DDR4 (PC4-25600)', 'XMP 2.0, Vengeance LPX Heatsink']",,,,['1.35V'],,,,,,,,,,['3200MHz'],,,,,,,,,,
29892,,,,"['quad core technology', 'quad core technology']","['8 GT/s DMI3', '8 GT/s DMI3']",,['8mb'],,,,,,,,,,,,,,,,"['4.3GHz', '4.3GHz']","['ddr4 controller', 'ddr4 controller']",,,,,,,,"['I7 7740X', 'I7 7740X']",,,,,,,,,,,,,,,
30222,,['8GB'],,['Crucial'],,,,,['2400 MT/S'],,,,,,,,,,,,,,,['Unbuffered'],,,['1.2V'],,,,,,,,,,,,,,,,,['Limited Lifetime'],,,
