cluster_id,Battery Capacity,Battery Type,Brand,Cable Length,Cache Memory,Category,Clock Speed,Color,Compliant Standards,Condition,Data Link Protocol,Data Transfer Rate,EAN,Generation,Graphics Card,Height,Input,Interface,Length,Material,Memory,Memory Speed,Memory Type,Model,Operating System,Output Voltage,Portable Memory,Power Supply,Power Supply Type,Processor,Processor Core,Processor Socket,Product Type,Reading Speed,Resolution,Rotational Speed,Screen Size,Security,Storage Capacity,UPC,Warranty,Weight,Width,Writing Speed
43,,,['black luxury housing'],,,,,,,,,['500 pieces suitable'],,,,,,"['form of a', 'yacht with', 'stylish led']",,,,,,,,,,,,,,,,,,,,,,,,,,
552,,,['3866mhz ram'],,,['lifetime warranty'],,,,['ocuk'],,,,,,,,,,,,,['vdimm'],,,['35v'],,,,,,,,,,,,,,,,,,
1079,,,['2666mhz ram'],,,,,['vdimm lifetime'],,,,,,,,,,['timings 1 2v'],,,,,,,,,,,,,,,,,,,,,,,,,,
1877,,,['core'],,,"['stream', 'physx cuda']",,,,,,,,,,,,,,['enabled 3 years warranty'],,,['gddr5'],,,,,,,,,,['processors 768 sli ready'],,,,,,,,,,,
2262,,,,,,['stream'],,,,,,,,,,,,,,['years warranty'],,['7000mhz'],['gddr5'],,,,,,['vr ready'],,,,['processors 2048 crossfire ready'],,,,,,,,,,,
2624,,,['core'],,,['stream'],,,,,,,,,,,,['physx cuda'],,['enabled 2 years warranty'],,['7200mhz'],['gddr5'],,,,,,,,,,,,,,,,,,,,,
2804,,,['beautiful'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2851,,,['zalman'],,,,,,,,,,,,,,,['those'],,,,,,,,,,,,,,,,,,,,,,,,,,
3020,,,"['hyperx', 'hyperx']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3116,,,['bx80677i57600k'],,,,,,,,,,,,,,,,,,,,['ddr4 controller integrated iris dx12 graphics 3 year warranty'],,,,,,,['quad core technology'],,,,,,,,,,,,,,
3459,,,,,,,,,,,,,,,,,,"['8x usb 3 0 2x usb 3', 'ac 7 1 hd audio quad crossfire quad']",,,,,,,,,,,,,,,,,,,,,,,,,,
3507,,,['hp omen'],,,,,,,,,,,,['2400mhz ddr4'],,,['fhd ips 1920 x 1080 intel i7 7700hq nvidia gtx 1070 8gb gddr5'],,,,,,,,,,,,,,,['laptop'],,,,,,['16gb'],,,,,
3600,,,,,,,,,,,,,,,,,,,,,,"['kabylake', '0 8x']","['ddr4', 'usb3']",,,,,,,,,,['1x usb typec'],,,,,,,,,,,
3767,,,,,,"['stream', 'physx cuda']",,,,,,['6144mb'],,,,,,,,['enabled 3 years warranty'],,"['1860mhz', '8008mhz']",['gddr5'],,,,,,,,,,['processors 1280 vr ready'],,,,,,,,,,,
3809,,,,,,['lifetime warranty'],,,,['kingston'],,,,,,,,,,,,,['vdimm'],,,['65v'],,,,,,,,,,,,,['1866mhz ram'],,,,,
3988,,,['add hotswap'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4340,,,,,,,,,,,,,,,,,,['internet connection'],,,,,,,,,,,,,,,['desktop computer'],,,,,,,,,,,
4803,,,,,,,,,,,,,,,,['92mm'],,,,,,,,,,,,,,,,,"['cooler made by silverstones argon', 'pwm connector now']",,,,,,,,,,,
4943,,,,,,,,,,,,,,,,,,,,['lifetime warranty'],,['25v'],['vdimm'],,,,,,,,,,,,,,,,,,,,,
5070,,,['maxtor'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['support for'],,,,,
5758,,,['kingston datatraveler'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5865,,,,,,,,,,,,,,,,,,"['capacity', 'sata 6gb s']",,,,,,,,,,,,,,,"['surveillance drive', '3 year warranty']",,,,['5 inch'],,['6tb'],,,,,
5987,,,['corsair'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['cs modular series deliver 80'],,,,,,,,,,,
6198,,,['compact'],,,,,,,,,,,,,,,,,,,,,['sfx'],,,,,,,,,,,,,,,,,,,,
6335,,,,,,,,,,,,,,['22'],,,,,,,,,['ddr3 controller integrated hd graphics 3'],,,,,,,,,,['year warranty'],,,,,,,,,,,
6582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['lyra home'],,,,,,,,,,,
6704,,,['gv'],,,"['stream', 'physx cuda']",,,,,,,,,,,,,,['enabled'],,['8316mhz'],['gddr5'],,,,,,,,,,"['processors 1280 vr ready', 'years warranty']",,,,,,,,,,,
6716,,,,,,,,"['site warranty', 'site warranty']",,,,,,,,,,"['usb hub', 'usb hub']",,,,,,,,,,,,,,,"['time 1x', 'time 1x']",,,,,,"['ls32d85ktsr en 2560x1440', 'ls32d85ktsr en 2560x1440']",,,,,
6839,,,,,,,,['site warranty'],,,,,,,,,,,,,,,,,,,,,,,,,['time 350'],,,,,,,,,,,
7417,,,['skylake'],,,,,,,,,,,,,,,,,,,"['usb3', '0 8x']",['usb3'],['6th gen ddr4'],,,,,['usb type c crossfire sli'],,,,,,,,,,,,,,,
7883,,,['fz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['quiet operation'],,,,,,,,,,,
8088,,,['intel'],,,,,,,,,,,,,,,,,,,,['45nm support'],,,,,,,,,,,,,,,,,,,,,
8142,,,['gv'],,,"['stream', 'stream']",,,,,,,,,,,,"['vr ready physx cuda', 'vr ready physx cuda']",,"['enabled 3 years warranty rgb', 'enabled 3 years warranty rgb']",,"['8008mhz', '8008mhz']","['gddr5', 'gddr5']",,,,,,,,,,"['processors 1920 sli ready', 'processors 1920 sli ready']",,,,,,,,,,,
8501,,,"['part of the', 'part']",,,"['guardian range', 'guardian range']",,,,,,"['256mb', '256mb']",,,,,,"['capacity 3 5 inch', 'sata 6gb s', 'capacity 3 5 inch', 'sata 6gb s']",,,,,,,,,,,,,,,"['5 year warranty', '5 year warranty']",,,,,,"['10tb', '10tb']",,,,,
8664,,,,,,,,,,,,,,,,,,,,,,,,"['sata 6gb s', 'sata 6gb s']",,,,,,,,,"['warranty', 'warranty']",,,,,,"['6tb', '6tb']",,,,,
9044,,,['aquabus of'],,,,,['aqua computer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,['50 cm'],,,,,,,
9345,,,,,,,,,,,,,,,,,,,,,,,['ddr3 x1 pci e x16 x1 pci e x1 x1 pci x4 sata 6gb s'],,,,,,,['amd a88x chipset x2'],,,,,,,,,,,,,,
9464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['from noctua connect'],,,,,,,,,,,
9509,,,['msi s'],,,,,,,,,,,,,,,,,,,,,,,,,,,['intel core i7 quad core processor and nvidia quadro'],,,['sleek and'],,,,,,,,,,,
9581,"['1TB', '256 GB']",,,,,,,,,,,,,,['7200rpm win10'],,,,,['bd writer'],['8gb'],,['ddr4 8gbx2 pcie 256gb'],,,,,,,['intel core i7 6700hq 2'],,,"['v5', 'wide view', 'Intel Core i7']",,,,,,,,,,,
9885,,,['bx80677i37300'],,,,,,,,,,,,,,,,,,,,['ddr4 controller integrated iris dx12 graphics 3 year warranty'],,,,,,,['dual core technology'],,,,,,,,,,,,,,
10013,"['1TB', '256 GB']",,['msi'],,,,,['warranty'],,,,,['yes'],,,,,['windows 10'],,,,,,['ge62vr 6rf apache pro 027uk'],['Windows 10 Home 64 Bit'],,,,,['i7 6700hq'],,,"['7200rpm', 'Intel Core i7']",,['Full-HD (1.920 x 1.080 Pixel)'],,,,,,,,,
10139,,,['tp link s'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10700,,,['get'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['desktop series'],,,,,,,,,,,
10746,,,['as3102'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['multimedia playback diamond plate finish 3 year warranty'],,,,,,,,,,,
11029,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11115,,,['intel s'],,,,,,,,,,,,,,,,,,,['35v'],,['intel hd 6100 graphics 1x'],,,,,,,,,['rock canyon consumer segment nuc sports'],,,,['sodimm slot'],,,,,,,
11200,,,['skylake'],,,,,,,,,,,,,,,"['sata pcie gigabit lan 7 1 hd audio 6x', 'usb3 0 6x']",,,,,,['6th gen ddr4'],,,,,['usb type c crossfire sli'],,,,,,,,,,,,,,,
11293,,,,,,,,,,,,,,,,,,['usb 3 0 2 0'],,,,,,,,,,,,,,,,,,,,,,,,,,
11612,,,['simple'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['stylish', 'feature rich yet', 'affordable neos is']",,,,,,,,,,,
11965,,,,,,,,,,,,,,,,,,,,,,,"['ddr3', 'support 65w tdp 3']",,,,,,,,,,['year warranty'],,,,,,,,,,,
12089,,,['socket compatibility'],,,,,,,,,,,,,,,,,,,,,,,,,,,['intel lga2066 lga2011'],,,,,,,,,,,,,,
12405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['frontier'],,,,,,,,,,,
12425,,,['meet'],,,,,,,,,,,,,,,['fullspectrum 40'],,,,,,,,,,,,,,,,,,,,,,,,,,
12678,,,['nzxt sleeved led kit'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12827,,,['grandia'],,,,,,,,,,,,,,,,,,,,,,,,,,,['grandia'],,,,,,,,,,,,,,
13101,,,['mz'],,,['samsung'],,,,,,,,,,,,,,,,,,['960'],,,,,['1500mb s'],,,,['iops 3yr warranty'],,,,,,,,,,,
13110,,,['tl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
