cluster_id,Battery Capacity,Battery Type,Brand,Bus Speed,Cable Length,Cache Memory,Category,Clock Speed,Color,Compliant Standards,Condition,Data Link Protocol,Data Transfer Rate,Generation,Graphics Card,Height,Interface,Length,Material,Memory,Memory Speed,Memory Type,Model,Operating System,Output Voltage,Portable Memory,Power Supply Type,Processor,Processor Core,Processor Socket,Product Type,RAID Level,Reading Speed,Resolution,Rotational Speed,Screen Size,Security,Storage Capacity,UPC,Warranty,Weight,Width,Writing Speed
891,,,['intel'],,,,,['2 2ghz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,,,['intel xeon'],,,,,,,,,,,,,,,,,,,,,,,,,['e5 2620'],['turbo 20'],,,,,,,,,,,,,,
1316,,,,,,,,,,,,,,,['corsair ddr3'],,,,,,,,,,,,,,,,,,,,,,,"['16gb', '4x4gb']",['5v'],,,,
1594,,,['coolermaster'],,,,,,,,,,,,,['3x80mm'],,,,,,,,,,,,,,,['notebook cooler pad aluminum'],,,,,,,,,,,,
2262,,,,,,,,,,,,,,,,,,,,,['932mhz gpu'],['gddr5'],,,,,,,,['radeon rx 470 oc'],,,,,,,,['4gb'],,,,,
2804,,,['nzxt phantom'],,,,['blue trim mid tower'],,['o psu'],,,,,,,['2x120mm'],['window w'],,,,,,['410 white'],,,,,,,,,,,,,,,,,,,,
3116,,,,,,['6mb'],,,,,,,,,,,,,,,,"['7600k s', '1150mhz gpu']",,,,,,['intel core i5'],['thread 3'],,,,,,,,,,,,,,
3364,,,['msi'],,,,['sata3'],,,,,,,,,,['micro atx'],,,,,['ddr4'],,,"['1151', 'gen1']",,,,,,,,,,,,,,,,,,
3618,,,['arctic freezer'],,,,,,,,,,,,,['120mm'],,,,,,,,,,,,,,,['cpu cooler with silent'],,,,,,,,,,,,
3767,,,['gigabyte'],,,,['card'],,,,,,,,,,,,,,,,,,,,,"['aorus', 'geforce gtx 1060 plus']",,,,,,,,,,,,,,,
4066,,,,,,,['supermicro'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['30cm'],,,,,
4881,,,,,,,,,,,,,,,,,['0 max read 285'],,,,,,,,,,,,,,['corsair'],,,,,,,['256gb'],,,,,
4884,,,['asrock'],,,,,,,,,,,,,,,,,,['1151'],['ddr4'],,,,,,['intel b150 s'],,,,,,,,,,,,,,,
5070,['4000 GB'],,,['Yes'],,,['maxtor'],,"['windows mac', 'Black']",,['Maxtor M3 Portable'],,,,,,,,,,,,['m3 portable external'],,,,,,,,,,,,['\xa0'],,,['4tb'],,,,,
5432,,,['sata3'],,,,,['gen1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5758,,,,,,,,,,,,,,,,,,,,,,,['101 gen 2 usb 2'],,,,,,,,['kingston datatraveler'],,,,,,,['8gb'],,,,,
6198,,,,,,,,,,['st45sf 80plus'],,,,,,,,,['eps 12v'],,,,,,,,,,['bronze 85'],['sfx'],['strider'],,,,,,,,,,,,
6219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['140mm'],,,,,
6727,,,,,,,,,,,,,,,,,,,,,['7ghz'],,,,,,,['intel xeon e5 2603'],,,,,,,,,,,,,,,
7417,,,['asus'],,,,,,,,,,,,,,,,,,,,,,,,,['intel gbe usb 3'],,,['z170 pro gaming'],,,,,,,,['1151'],,,,
7545,,,,,,,,,,,,,,,['ironkey d300'],,['usb fips 140 2 level 3'],,,,,,,,,,,,,,"['waterproof upto', 'zinc casing']",,,,,,,['16gb'],,,,,
7836,,,,,,,,,['reader included'],,,,,,,,"['uhs ii', 'u3']",,,,,,,,,,,,,,"['lexar', 'sdxc memory card', 'write card']",,,,,,,['64gb'],,,,,
