scan_id,scan_cluster_id,scan_product_type,scan_category,scan_brand,scan_storage_capacity,scan_memory_type,scan_interface,scan_memory_speed,scan_color,scan_model,scan_processor
scan_0,891,,,['intel'],,,,,,,
scan_1,1117,,,['intel xeon'],,,,,,,['e5 2620']
scan_2,1316,,,,"['16gb', '4x4gb']",,,,,,
scan_3,1594,['notebook cooler pad aluminum'],,['coolermaster'],,,,,,,
scan_4,2262,,,,['4gb'],['gddr5'],,['932mhz gpu'],,,
scan_5,2804,,['blue trim mid tower'],['nzxt phantom'],,,['window w'],,['o psu'],['410 white'],
scan_6,3116,,,,,"['7600k s', '1150mhz gpu']",,,,,['intel core i5']
scan_7,3364,,['sata3'],['msi'],,['ddr4'],['micro atx'],,,,
scan_8,3618,['cpu cooler with silent'],,['arctic freezer'],,,,,,,
scan_9,3767,,['card'],['gigabyte'],,,,,,,"['aorus', 'geforce gtx 1060 plus']"
scan_10,4066,,['supermicro'],,['30cm'],,,,,,
scan_11,4881,['corsair'],,,['256gb'],,['0 max read 285'],,,,
scan_12,4884,,,['asrock'],,['ddr4'],,['1151'],,,['intel b150 s']
scan_13,5070,,['maxtor'],,['4tb'],,,,"['windows mac', 'Black']",['m3 portable external'],
scan_14,5432,,,['sata3'],,,,,,,
scan_15,5758,['kingston datatraveler'],,,['8gb'],,,,,['101 gen 2 usb 2'],
scan_16,6198,['strider'],,,,,,,,,
scan_17,6219,,,,['140mm'],,,,,,
scan_18,6727,,,,,,,['7ghz'],,,['intel xeon e5 2603']
scan_19,7417,['z170 pro gaming'],,['asus'],,,,,,,['intel gbe usb 3']
scan_20,7545,"['waterproof upto', 'zinc casing']",,,['16gb'],,['usb fips 140 2 level 3'],,,,
scan_21,7836,"['lexar', 'sdxc memory card', 'write card']",,,['64gb'],,"['uhs ii', 'u3']",,['reader included'],,
scan_22,7843,['usb adapter'],,['edimax'],,,['3dbi'],,,,
scan_23,8031,['multi monitor external video adapter converter'],['usb'],['startech'],,,,,,,['com']
scan_24,8133,,,,['32gb'],,,,,,
scan_25,8496,['kingston system specific dell memory'],['167mhz'],,['32gb'],['lrdimm'],,"['35v', 'ECC', 'PC3-12800 (1600)', 'LRDIMM', 'DDR3L']",['\xa0'],,
scan_26,8664,['ncq'],,,['6tb'],,,,,,
scan_27,9395,,,,['0300gb dw 8000'],,,,,,
scan_28,9820,['dlink des'],,,['24 port'],,,,,,
scan_29,9885,,,['intel'],,,,,,,"['core i3 7300 s', 'thread']"
scan_30,9899,['silicone surrond'],,['silverstone'],,,,,['black green'],['ultra fine'],
scan_31,10013,['i7 6700hq'],,,['027 fhd'],,,,,,
scan_32,11029,"['x99 e ws', 'ssi ceb']",,['asus'],,,['usb 3'],,,,
scan_33,11200,['intel z170 s'],,['msi'],,"['ddr4', 'usb3 1gen2 c']",,['1151'],,,
scan_34,11965,,['7480d'],,,,,['720mhz'],,,['amd a4 4020 fm2 richland dual core']
scan_35,12933,['corsair force series le200'],,,['120gb'],,,,,,
scan_36,12999,,,,,,,,,,
scan_37,13101,,,,,,['0 x4 nvme'],,,['960 evo 3d'],
scan_38,13419,['system'],,['netgear'],,,['ac3000'],,,['home wifi'],
scan_39,13530,,,,['32gb'],,"['usb otg', 'micro usb 2 0 for']",,['android smartphones'],,
scan_40,13839,,,,,['ddr3'],,,,,
scan_41,14085,['intel b150 s'],['satae'],,,['ddr4'],['micro atx'],,,,
scan_42,14087,['usb n10 nano adaptor 150mbps'],,,,,,,,,
scan_43,14485,,,['zyxel xs1920'],,,['10x 10g rj'],,['combo upto'],,
scan_44,14705,,,['icy dock full'],,,['4 x SATA III - 6Gb/s'],,['Black'],,
scan_45,14985,,,,['750gb'],,['sata 6gb'],,,,
scan_46,15001,,,,"['32gb', '2x16gb']",,,"['Vengeance LPX Black', 'PC4-19200 (2400)', 'Non-ECC', 'DDR4', 'UDIMM (Unbuffered)']",['Anodised Aluminium Heatspreader'],,
scan_47,15101,['z170i pro gaming'],,,,,['mini itx'],['1151'],,,
scan_48,15128,['seagate st1000nm0033 nearline enterprise'],,,['1tb'],,,,,,
scan_49,15193,['psu'],,['cooler master'],,,,,['black aluminium'],"['elite 110', 'elite 110 usb 3 0']",
scan_50,15305,['crucial server memory'],,,['32gb'],['ddr3 pc3 14900'],,"['Server', 'PC3-14900 (1866)', 'RDIMM / LRDIMM', 'ECC', 'DDR3']",['\xa0'],,
scan_51,15600,['compute stick'],,['intel'],,,['bt hdmi usb3 0'],,,,['intel core m3']
scan_52,15694,"['seagate', 'ncq']",,,['1tb'],,['st1000nm0055 enterprise v5 512n 3 5'],,,['7200rpm'],
scan_53,15766,['corsair air series af140 quiet'],,['140mm'],,,,,,,
scan_54,16005,,,,['64gb'],,"['micro usb', 'usb 3 0']",,,,
scan_55,16410,,['graphics card'],['palit'],,,,['1607mhz gpu'],,,['geforce gtx 1070 ti jetstream']
scan_56,16524,['kingston datatraveler50 usb'],,,['64gb'],,,,['metal casing'],,
scan_57,17814,,,,,['ddr4'],['usb 3'],,,,
scan_58,18012,,,,"['32gb', '4x8gb']",,,"['DDR4', 'Server', 'ECC', 'RDIMM', 'PC4-17000 (2133)']",['\xa0'],,
scan_59,18108,"['intel dc s4600 series 2', 'ahci 3d']",,,['960gb'],['s read 490mb s'],,,,,
scan_60,18967,['954mhz'],,,['2gb evga'],['single slot pcie 2 0 x8'],,['gpu'],,,
scan_61,19089,"['intel dc s3510 series', '2k iops']",,,['240gb'],,,,,,['s read']
scan_62,19372,"['av surveillance', 'ncq']",,,['3tb'],,,,,['5400rpm'],
scan_63,19966,"['computer chassis', 'fan 2x usb 2 0 2x usb', 'matx']",,,,,,,,,
scan_64,19991,['intel b150 s'],,['msi'],,['ddr4'],,['1151'],,,
scan_65,20073,,['sata3'],['asus'],,['ddr4'],,['1151'],['micro atx'],,['intel h110 s']
scan_66,20365,['87k 82k iops'],,['240'],,,['5'],,,,
scan_67,21018,['adapter cable compatible'],,['startech'],,,"['usb 3 0', 'sata revision i ii iii']",,,,['usb']
scan_68,21223,,['samsung'],,['128gb'],,,['700mb sec 330k'],,['sm961'],
scan_69,22756,,,,['2tb'],,,['7200rpm'],,,
scan_70,23121,['kingston datatraveler workspace pendrive usb 3 0 read 250mb s'],,,['32gb'],,,,,,
scan_71,23700,,,['amd'],,,,['756mhz'],,,"['kaveri dual core', 'amd radeon r5']"
scan_72,23855,['platinum psu dual gbe'],,,,,,,,,
scan_73,23866,['profile bracket'],,['avago megaraid sas'],,,,,,['sata sas pcie'],
scan_74,23977,['tower performance case'],,,,,,,,,
scan_75,24086,"['corsair rm750x', 'white']",,,,,,,,,
scan_76,24505,['b150i'],,,,['ddr4'],['mini itx'],,,,
scan_77,24533,['turboboost'],,,['600gb'],,,,,['15000rpm'],
scan_78,24540,['sg06bb 450'],,,,,['sfx psu 80'],,,,
scan_79,25561,"['suppressor f51', 'mid tower case 2x fans']",,,,,,,['silent black'],,
scan_80,25697,"['av surveillance', 'ncq']",,,['4tb'],,,,,['5400rpm'],
scan_81,26365,['icy dock 1 bay'],,,,,,,,,
scan_82,26584,,,['msi'],,,,['1151'],,,
scan_83,26617,,,,,,,,,,
scan_84,26865,['matx mini itx computer chassis'],,['fractal design'],,,['usb 3 0'],,,,
scan_85,28499,['54w cpu box'],,['intel'],,,,['1050mhz gpu'],,,
scan_86,29001,,,['10gbe'],,,,,,,
scan_87,29549,['fractal design'],,,['140mm'],,,['1500 rpm'],,,
scan_88,29814,,,,,,,,,,
scan_89,29892,,,['intel'],,,,,,,['core i7']
scan_90,29906,"['nzxt source', 'matte black modular case']",,,,,,,,,
scan_91,30213,,,,"['32gb', '4x8gb']",,,,,,
scan_92,30417,['954mhz'],['gpu'],,['1gb'],['ddr3'],,['1800mhz'],,,
scan_93,30701,,,,['2tb'],,['samsung 850 pro'],,,,
scan_94,30761,['home and student'],['excel'],['microsoft'],,,,,,,
scan_95,30868,['corsair force le200 2'],,,['120gb'],,,,,,
scan_96,31027,['tp link'],,,['24 port'],,['sfp ports'],,,,
scan_97,31445,,,['asrock'],,['ddr4'],,['1151'],,,
scan_98,31472,['kingston'],,,['960gb'],,['sata iii'],,,,
scan_99,31559,,['dominator'],,"['16gb', '2x8gb']",['platinum pc4 21300 2666'],,"['Dominator Platinum', 'PC4-21300 (2666)', 'Non-ECC', 'DDR4', 'UDIMM (Unbuffered)']",['Aluminium Heatspreader with DHX'],,
scan_100,31939,,,,,,,,['Black'],,
scan_101,32107,,,,"['8gb', '1x8gb']",,,"['Vengeance LPX Black', 'PC4-21300 (2666)', 'Non-ECC', 'DDR4', 'UDIMM (Unbuffered)']",['Anodised Aluminium Heatspreader'],,
scan_102,32127,,,,['4gb'],,,"['Non-ECC', 'Value Select', 'UDIMM (Unbuffered)', 'PC4-17000 (2133)', 'DDR4 SO-DIMM']",['\xa0'],['select pc4 17000'],
scan_103,32215,,,['thermaltake'],,,['window 1x'],,,['core v1 white snow'],
scan_104,33138,,,,,,,,,,
scan_105,33840,['corsair air series'],,,['120mm'],,,,,,
scan_106,34023,['akasa sata3 100'],,,['100cm'],,['sata iii'],,,,
scan_107,34136,['corsair'],,,['2gb'],,,"['Value Select', 'PC3-10600 (1333)', 'Non-ECC', 'DDR3', 'UDIMM (Unbuffered)']",['Heat Spreader'],['select pc3 10600'],
scan_108,34183,,,,['1tb'],,['sata iii'],,,,
scan_109,34442,,,['asrock'],,['ddr4'],,['1151'],,,
scan_110,34641,,,['asus'],,,,,,,['plus intel h81']
scan_111,34956,,,,['32gb'],,,['1600 mhz'],,['ddr3'],
scan_112,36138,['rog'],,,,['ddr4'],,['1151'],,,
scan_113,36722,['mex 3d'],,,['256gb'],,,,,,
scan_114,37046,['hydro cooler bracket'],,['corsair'],,,,,,['hydro series hg10'],
scan_115,37368,['prime'],,['asus'],,['ddr4'],,['1151'],,,
scan_116,37552,['starter kit'],,['tp link'],,,,,,,
scan_117,37843,['computer chassis e atx'],,,,['dg'],['window fan'],,,,
scan_118,37887,,,['asrock'],,,,,,,
scan_119,38064,,,['asus'],,,,['1506mhz gpu'],,,['geforce gtx 1070 asus turbo']
scan_120,38350,['all coolers'],,,,,,,,,
scan_121,38723,['b150i pro gaming'],,,,,['aura intel b150 s'],,,,
scan_122,38851,,,['asrock'],,,,['1151'],,,
scan_123,39139,['athlon x4 860k fm2'],,,,,,,,,
scan_124,39837,['corsair'],,,['8gb'],['ddr3 xms3 pc3 12800 1600 non ecc'],,"['XMS3', 'PC3-12800 (1600)', 'UDIMM (Unbuffered)', 'Non-ECC', 'DDR3']",['Heat Spreader'],,
scan_125,40440,['intel x710'],,['2 port'],,,,,,,
scan_126,40484,,,,['2gb'],['gddr5'],['hdmi dvi d dl'],,,,
scan_127,40762,,,,,,,,,,['geforce gtx 1060 stormx']
scan_128,41277,"['sandisk microsdhc memory card', 'write adapter included']",,,['32gb'],,"['uhs i', 'u3 90mb s read']",,,,
scan_129,41313,['raid pcie'],,['gigabyte'],,['usb3 amd 760g am3 ddr3'],['sata ii'],,,,
scan_130,41414,,['sata3 6gbps'],,,['fm2 ddr3'],,,,,
scan_131,41568,,,['cooler master silencio'],,,['usb 3 0 card'],,['o psu'],,
scan_132,41578,['apple ipad pro'],['silicone case'],,['12 9'],,,,,,
scan_133,41903,,,,,,,,,,['amd']
scan_134,42071,['corsair'],['dominator'],,['16gb'],['platinum pc4 30900 3866'],,"['Dominator Platinum', 'PC4-30900 (3866)', 'DDR4', 'UDIMM (Unbuffered)', 'Non-ECC']",['Aluminium Heatspreader with DHX Dominator Airflow Platinum LED Fan'],,
scan_135,42583,"['micro atx', 'mini itx']",,['corsair'],,,['usb3'],,,,
scan_136,42918,,,,['16gb'],,,,,,
scan_137,43099,['tower case w o psu'],['white full'],['corsair'],,,,,,['graphite series 780t'],
scan_138,43658,['wireless access point 300'],,['netgear prosafe'],,,,,,['wac720'],
scan_139,43899,['micro atx'],,['gigabyte'],,,,['1151'],,,
scan_140,44281,['nvidia quadro p600'],['pny'],,['2gb'],,,,['single slot'],,
scan_141,44545,['samsung'],,,['1tb'],,"['transfer speed', 'upto 450mb s', 'usb 3']",,,,
scan_142,44625,['toshiba p300 3 5'],,,['1tb'],,,,,,
scan_143,44688,,['purple nv surveillance'],,['4tb'],,,,,,
scan_144,44875,,,['thermaltake core'],,,,,,['side window usb 3 0'],
scan_145,45630,,['value'],,"['16gb', '2x8gb']",,,"['DDR4 SO-DIMM', 'PC4-17000 (2133)', 'UDIMM (Unbuffered)', 'Non-ECC', 'Value Select']",['\xa0'],['select pc4 17000'],
scan_146,45843,,,['gigabyte'],,['ddr3 pcie 2 0 x16'],,,,['ga 970a'],['ud3p amd 970 sam3 am3']
scan_147,46250,['seagate maxtor'],,,['500gb'],,,,['windows mac'],['m3 portable external'],
scan_148,46634,"['sst rvz02b', 'bays 2x expansion slots']",,['silverstone'],,,,,,,
scan_149,46722,"['intel dc s4600 series 2', 'ahci 3d']",,,['240gb'],['s read 260'],,,,,
scan_150,46738,['fractal design'],,,['140mm'],,,,,,
scan_151,46900,,,,,"['6700 s', '1150mhz gpu']",,,,,['intel core i7']
scan_152,47084,['fractal design'],,,['120mm'],,,,,,
scan_153,48128,['corsair value'],,,['2gb'],,,,,['select ddr2 pc4300'],
scan_154,48380,['aluminium fanless'],,['akasa'],,,['usb 3 0'],,['intel nuc ready'],['newton x'],
scan_155,48996,"['cooler master', 'flow rgb']",,,['120mm'],,,,,,
scan_156,49027,['ncq'],,,['6tb'],,,,,['7200rpm'],
scan_157,49054,,,,,,,,,,['intel xeon e5 2630']
scan_158,49291,,,,['2tb'],,['sata iii'],,,,
scan_159,49297,,,['geforce'],,,,,['gddr5 graphics'],,['384 core']
scan_160,49676,,,['intel xeon'],,,,,,,
scan_161,49689,,['bt'],['intel'],,,,,,,['i3 7100u']
scan_162,50890,,,['asus'],,,,,,['essence stx ii 7'],
scan_163,50926,,,,,,,['1200mhz gpu'],,,"['intel core i5 4690k s', 'quad core']"
scan_164,51278,['u'],['satae'],['gigabyte'],,['ddr4'],,['1151'],,,
scan_165,51717,['corsair'],,,['4gb'],['ddr3 value so dimm pc3 8500'],,"['UDIMM (Unbuffered)', 'DDR3 SO-DIMM', 'PC3-8500 (1066)', 'Non-ECC']",['\xa0'],,
scan_166,51801,,,['intel'],,"['7700 s', '1150mhz gpu']",,,,,['core i7']
scan_167,52218,['variable'],,['nzxt kraken x61'],,,,,,,['intel amd']
scan_168,52464,"['kingston datatraveler', 'write']",,,['32gb'],,['USB 3.1'],"['15 MB/s', '100 MB/s']",['\xa0'],['3c'],
scan_169,52693,,,['asus'],,['gddr5 graphics card'],,,,,"['geforce gtx 1050', '768 core 1341mhz']"
scan_170,52835,['corsair air series sp140'],['green led'],,,,,,,,
scan_171,52851,['redux 1600 pwm 1600rpm quiet case fan'],,,,,,,,,
scan_172,53165,"['tower windowed case', 'fans']",['black full'],,,,,['140mm'],,"['graphite series 760t v2', '9x']",
scan_173,53186,"['lexar', 'write']",,,"['128gb', 'CFast 2.0']",,,"['445 MB/s', '540 MB/s']",,,
scan_174,53564,,,,['16gb'],,,,,,
scan_175,53935,['kingston datatraveler locker'],,,['64gb'],,,,,,
scan_176,54045,"['crucial', 'sm2256 micron']",,,"['480gb', '16nm']",,,,,['write 66k 78k'],
scan_177,54334,,,,['500gb'],['seagate'],,,,['st500lt012'],
scan_178,54397,['latch stack compatiable'],['akasa'],,['50cm'],,['angle secure'],,,,
scan_179,54404,,,['startech'],,,,,,,
scan_180,54431,"['supernova gs fully modular 80 plus gold', 'psu']",,,['650w evga'],,,,,,
scan_181,54488,['nvidia quadro k4200'],,['cores'],['4gb'],['gddr5'],,,,,
