cdi_id,cdi_cluster_id,cdi_style,cdi_product_type,cdi_material,cdi_color,cdi_finish,cdi_height,cdi_capacity,cdi_base,cdi_shape,cdi_category,cdi_brand,cdi_blocking_key
cdi_0,650,'compartment with left hand','open frame','stainless steel',,'nsf',"'158.00 Pound(s)', '8""'","'12 deep', '18 gauge'","'h backsplash', 'legs with boxed crossrails'",,,,"'compartment with left hand'_'open frame'_'stainless steel'__'nsf'_'158.00 Pound(s)', '8""'_'12 deep', '18 gauge'_'h backsplash', 'legs with boxed crossrails'___"
cdi_1,2104,"'oven', 'flue riser with shelf stainless steel', 'front'","'wavy grates', 'shelf 6 adjustable'",'battery',,'nsf','1075.00 Pound(s)',,"'(1) standard oven, (1) cabinet'",'restaurant',,,"'oven', 'flue riser with shelf stainless steel', 'front'_'wavy grates', 'shelf 6 adjustable'_'battery'__'nsf'_'1075.00 Pound(s)'__'(1) standard oven, (1) cabinet'_'restaurant'__"
cdi_2,2498,"'ultimate', 'restaurant', 'oven'","'standard grates', 'shelf 6 adjustable'",'battery',,"'stainless steel', 'nsf'",'1075.00 Pound(s)',,"'flue riser with shelf', '(1) convection oven, (1) cabinet'",,,,"'ultimate', 'restaurant', 'oven'_'standard grates', 'shelf 6 adjustable'_'battery'__'stainless steel', 'nsf'_'1075.00 Pound(s)'__'flue riser with shelf', '(1) convection oven, (1) cabinet'___"
cdi_3,2723,"'standard ovens with battery', 'per'",'burners rear',"'saut burners', 'oven'",,'nsf','1075.00 Pound(s)',,'(2) standard ovens','restaurant',,,"'standard ovens with battery', 'per'_'burners rear'_'saut burners', 'oven'__'nsf'_'1075.00 Pound(s)'__'(2) standard ovens'_'restaurant'__"
cdi_4,5339,"'restaurant', 'per'",'standard grates',"'battery', 'oven'",'ultimate','nsf','1075.00 Pound(s)',,"'standard ovens', '(2) standard ovens'",,,,"'restaurant', 'per'_'standard grates'_'battery', 'oven'_'ultimate'_'nsf'_'1075.00 Pound(s)'__'standard ovens', '(2) standard ovens'___"
cdi_5,6092,"'electric holds 6', 'deep pans digital'",'not voided',,,,"'12 x 20', '231.00 Pound(s)'",,,,,,"'electric holds 6', 'deep pans digital'_'not voided'____'12 x 20', '231.00 Pound(s)'_____"
cdi_6,8866,,'fits pot','stainless steel','rack',,,,,,,,_'fits pot'_'stainless steel'_'rack'_______
cdi_7,10266,,"'elevator type', 'diameter'",'stainless steel',,'white','1.59 Pound(s)','16 l','26 gauge',,,,"_'elevator type', 'diameter'_'stainless steel'__'white'_'1.59 Pound(s)'_'16 l'_'26 gauge'___"
cdi_8,11600,"'restaurant', 'with wavy grates', 'oven'","'standard grates', 'shelf 6 adjustable'","'left standing pilot 1', 'battery'",'ultimate',"'stainless steel', 'nsf'",'1075.00 Pound(s)',,"'flue riser with shelf', '(1) convection oven, (1) cabinet'",,,,"'restaurant', 'with wavy grates', 'oven'_'standard grates', 'shelf 6 adjustable'_'left standing pilot 1', 'battery'_'ultimate'_'stainless steel', 'nsf'_'1075.00 Pound(s)'__'flue riser with shelf', '(1) convection oven, (1) cabinet'___"
cdi_9,11805,"'rear doors', 'shelf shielded top', 'cetlus etl sanitation'",'floor air flow grille rear','stainless steel',,,'500.00 Pound(s)',"'36 f', '42 f', '1'",,'lamp','fluorescent light','deli case refrigerated',"'rear doors', 'shelf shielded top', 'cetlus etl sanitation'_'floor air flow grille rear'_'stainless steel'___'500.00 Pound(s)'_'36 f', '42 f', '1'__'lamp'_'fluorescent light'_'deli case refrigerated'"
cdi_10,15027,"'compartment with right hand drainboard', 'deep with'",'legs with welded front to rear adjustable',"'14', 'stainless steel overall'",'regaline sink 2','nsf',"'20 front', '118.00 Pound(s)', '11""'","'11 h', '66 l'",'legs with boxed crossrails',,,,"'compartment with right hand drainboard', 'deep with'_'legs with welded front to rear adjustable'_'14', 'stainless steel overall'_'regaline sink 2'_'nsf'_'20 front', '118.00 Pound(s)', '11""'_'11 h', '66 l'_'legs with boxed crossrails'___"
cdi_11,15750,'ultimate restaurant',"'wavy grates', 'shelf'",,,'nsf','1075.00 Pound(s)','2 cabinets',"'left thermostatic', '(2) cabinets'",,,,"'ultimate restaurant'_'wavy grates', 'shelf'___'nsf'_'1075.00 Pound(s)'_'2 cabinets'_'left thermostatic', '(2) cabinets'___"
cdi_12,17695,'table',,,,,,,,,,,'table'__________
cdi_13,18918,"'refrigerator', 'pan capacity', 'with brakes r 134a refrigerant', 'hp culus', 'doors'",'shelves',"'self contained refrigeration system', 'exterior front sides'",,,'375.00 Pound(s)',"'19 7 cu ft', '17 - 19 pan'",,,'solid hinged doors',,"'refrigerator', 'pan capacity', 'with brakes r 134a refrigerant', 'hp culus', 'doors'_'shelves'_'self contained refrigeration system', 'exterior front sides'___'375.00 Pound(s)'_'19 7 cu ft', '17 - 19 pan'___'solid hinged doors'_"
