Base_x,Base_y,Capacity_x,Capacity_y,Category_x,Category_y,Color_x,Color_y,Finish_x,Finish_y,Height_x,Height_y,Material_x,Material_y,Product Type_x,Product Type_y,Shape_x,Shape_y,Style_x,Style_y,brand_x,brand_y,cluster_id,description_x,description_y,id_org_x,id_org_y,title_x,title_y
,"'h backsplash', 'legs with boxed crossrails'","'18 wide', '18 gauge'","'12 deep', '18 gauge'",,,,,'nsf','nsf','158.00',"'158.00 Pound(s)', '8""'",'12','stainless steel','open frame','open frame',,,"'compartment with left hand', 'deep with'",'compartment with left hand',"""Advance Tabco""@en","""Advance Tabco""",650,"""Regaline Sink, 2-compartment, with left-hand drainboard, 24"" front-to-back x 18"" wide sink compartments, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 36"" drainboard, 1"" adjustable bullet feet,18 gauge 304 series stainless steel, overall 31"" F/B x 80"" L/R, NSF""@en ","""
Regaline Sink, 2-compartment, with left-hand drainboard, 24"" front-to-back x 18""W sink compartments, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 36"" drainboard, 1"" adjustable bullet feet,18 gauge 304 series stainless steel, overall 31"" F/B x 80"" L/R, NSF
"" ",855604,4153938," ""Advance Tabco 9-62-36-36L 80"" 2-Compartment Sink w/ 18""L x 24""W Bowl, 12"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 9-62-36-36L Regaline Sink ""Advance | Culinary Depot"""
"'Standard Oven', 'Standard Oven'",'(2) standard ovens','60 3',,,,,,"'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'oven', 'oven'","'saut burners', 'oven'","'lp gas', 'saut burners', 'burners rear', 'burners rear'",'burners rear',,'restaurant',"'standard ovens with battery', 'per', 'restaurant range', 'burners', 'standard ovens with battery', 'per', 'LP', 'NG'","'standard ovens with battery', 'per'","""Southbend""@en","""Southbend""",2723,"""Ultimate Restaurant Range, LP gas, 60"", (3) star/sauté burners front, (2) pyromax burners rear, (1) 24"" griddle right, thermostatic controls, standing pilot, (2) standard ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 317,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (3) star/sauté burners front, (2) pyromax burners rear, (1) 24"" griddle right, thermostatic controls, standing pilot, (2) standard ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 317,000 BTU, CSA, NSF
"" ",7361765,317975," ""Southbend 4606DD-2TR 60"" 5-Burner Gas Range with Griddle, LP""@en LP ""@en Griddle"," "" Southbend 4606DD-2TR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'standard ovens', 'Standard Oven'","'standard ovens', '(2) standard ovens'",,,,,,'ultimate','nsf','nsf','1075.00','1075.00 Pound(s)',"'battery', 'oven'","'battery', 'oven'",'standard grates','standard grates','restaurant range',,"'per', 'NG'","'restaurant', 'per'","""Southbend""@en","""Southbend""",5339,"""Ultimate Restaurant Range, NG gas, 60"", (6) non-clog burners, standard grates, (1) raised griddle/broiler right, standing pilot, (2) standard ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 321,500 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (6) non-clog burners, standard grates, (1) raised griddle/broiler right, standing pilot, (2) standard ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 321,500 BTU, CSA, NSF
"" ",3988689,11288036," ""Southbend 4601DD-2RR 60"" 6-Burner Gas Range with Griddle & Broiler, NG""@en NG ""@en Broiler"," "" Southbend 4601DD-2RR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
,,'6',,,,,,,,"'12 x 20', '30', '231.00'","'12 x 20', '231.00 Pound(s)'",,,"'convection steamer featuring', 'not voided'",'not voided',,,"'electric holds 6', 'deep pans digital'","'electric holds 6', 'deep pans digital'","""Accutemp""@en","""AccuTemp""",6092,"""Connectionless Evolution™ Boilerless, Convection Steamer featuring Steam Vector Technology, counter top, electric, holds (6) 12""x 20""x 2-1/2"" deep pans, Digital Controls, NO water and drain connection required, warranty NOT voided by water quality, NO water filtration required, 12kw, 440/60/3ph, 5' cord & NEMA L15-30P, ENERGY STAR®""@en ","""
(QUICK SHIP) Connectionless Evolution Boilerless, Convection Steamer featuring Steam Vector Technology, counter top, electric, holds (6) 12""x 20""x 2-1/2"" deep pans, Digital Controls, NO water and drain connection required, warranty NOT voided by water quality, NO water filtration required, 12kw, 440/60/3ph, 5' cord & NEMA L15-30P, ENERGY STAR
"" ",16928734,14935947," ""Accutemp E64403D120 Electric Countertop Steamer w/ (6) Full Size Pan Capacity, 440v/3ph""@en 440v/3ph ""@en Capacity"," "" AccuTemp E64403D120 Connectionless Evolution Boilerless ""AccuTemp | Culinary Depot"""
,,,,,,'rack','rack',,,,,,'stainless steel','s s fits pot','fits pot',,,,,"""Town""@en","""Town Equipment""",8866,"""T Rack, 12"", s/s, fits pot 229012B, 229012SP or 229012STM""@en ","""
""T"" Rack, 12"", stainless steel, fits pot 229012B, 229012SP or 229012STM
"" ",12824142,11760278," ""Town 229012TR Stainless Steel T Rack, 12 in""@en in ""@en Rack"," "" Town Equipment 229012TR T Rack ""Town | Culinary Depot"""
,'26 gauge','1-3/4 oz to 4-1/2 oz','16 l','Cup and Lid Dispensers',,,,,'white','1.51','1.59 Pound(s)',,'stainless steel',,"'elevator type', 'diameter'",,,"'typically ships in 14', 'days', 'Cup', 'Surface Mount'",,"""San Jamar""@en","""San Jamar""",10266,"""Water Cup Dispenser, surface mount, elevator-type, adjustable to cup size 1-3/4 oz to 4-1/2 oz with rim diameter 1-3/4"" to 2-1/2"", 16"" L tube, 26 gauge 304 stainless, white. Typically ships in 14 days.""@en ","""
Portion Cup Dispenser, surface mount, elevator type, 16""L tube, adjustable to cup size 1-3/4 oz. to 4-1/2 oz. with rim diameter 1-3/4"" to 2-1/2"", 26-gauge stainless steel, white
"" ",4820157,5112434," ""San Jamar C3000EWH Water Cup Dispenser, Elevator Type, 1-3/4 to 4-1/2 oz, White""@en Type oz Dispenser White ""@en"," "" San Jamar C3000EWH Portion Cup Dispenser ""San | Culinary Depot"""
,,'33 f',"'36 f', '42 f', '1'",,'fluorescent light','glass non peel anti rust coated paint steel exterior',,"'access compressor', 'White'",,"'9 3', 'cu ft', '500.00', '41.83'",'500.00 Pound(s)','tempered','stainless steel',"'condenser device equipped curved front', 'sliding rear', 'floor air flow grille'",'floor air flow grille rear',,'lamp',"'deli case refrigerated', 'shelf', 'cetlus etl sanitation', 'Curved Glass'","'rear doors', 'shelf shielded top', 'cetlus etl sanitation'","""Turbo Air""@en","""Turbo Air""",11805,"""Deli Case, refrigerated, 48 1/2"" W, 9.3 cu.ft., low profile, self contained refrigeration system, self-cleaning condenser device equipped, curved front tempered glass, non-peel anti-rust coated paint steel exterior, sliding rear doors, (1) adjustable cantilevered wire shelf, LED interior lighting, stainless steel floor & air flow grille, specify exterior color, rear access compressor compartment, 33°F-41°F temp range, 1/3 HP, 115V/60/1, 6.1 amps, NEMA 5-15P, cETLus, ETL sanitation
""@en ","""
Deli Case, refrigerated, 48 1/2"" W, low profile, self contained refrigeration system, curved front, sliding rear doors, (1) adjustable cantilevered wire shelf, shielded top fluorescent light lamp, stainless steel floor & air flow grille, rear access compressor compartment, 36°F-42°F temp range, 1/3 HP, 115V/60/1, 6.1 amps, NEMA 5-15P, cETLus, ETL-Sanitation
"" ",993996,5443690," ""Turbo Air TCDD-48-2-L 48.5"" Full Service Deli Case w/ Curved Glass - (2) Levels, 115v""@en Levels 115v ""@en"," "" Turbo Air TCDD-48-2-L Deli Case ""Turbo - | Culinary Depot"""
,'legs with boxed crossrails','66 l',"'11 h', '66 l'",,,,'regaline sink 2','nsf','nsf',"'20 front', '118.00'","'20 front', '118.00 Pound(s)', '11""'","'14', 'stainless steel overall'","'14', 'stainless steel overall'",,'legs with welded front to rear adjustable',,,"'compartment with right hand drainboard', 'deep with 11 high splash', 'legs with welded front to rear adjustable'","'compartment with right hand drainboard', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",15027,"""Regaline Sink, 2-compartment, with right-hand drainboard, 20"" front-to-back x 20"" wide sink compartment, 14"" deep, with 11"" high splash, stainless steel legs with welded front-to-rear & adjustable left-to-right cross rails, 18"" drainboard, 1"" adjustable bullet feet, 14 gauge 304 series stainless steel, overall 27"" F/B x 66"" L/R, NSF""@en ","""
Regaline Sink, 2-compartment, with right-hand drainboard, 20"" front-to-back x 20""W sink compartment, 14"" deep, with 11""H backsplash, stainless steel legs with welded front-to-rear & adjustable left-to-right cross rails, 18"" drainboard, 1"" adjustable bullet feet, 14 gauge 304 series stainless steel, overall 27"" F/B x 66"" L/R, NSF
"" ",3378077,7587604," ""Advance Tabco 94-22-40-18R 66"" 2-Compartment Sink w/ 20""L x 20""W Bowl, 14"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 94-22-40-18R Regaline Sink ""Advance | Culinary Depot"""
,,,,,,'limit switch with strike plate',,'unmounted',,,,,,,,,,,'table',"""Jackson""@en","""Jackson""",17695,"""Table limit switch with strike plate (unmounted)""@en ","""
Table limit switch with strike plate (unmounted)
"" ",6257555,11782018," ""Jackson 05700-002-88-07 Unmounted Table Limit Switch w/ Strike Plate""@en Plate ""@en"," "" Jackson 05700-002-88-07 Table Limit Switch With Strike Plate (Unmounted) ""Jackson | Culinary Depot"""
,'legs with boxed crossrails',,'11 h','14',,,'regaline sink 2','nsf','nsf','229.00',"'229.00 Pound(s)', '11""'",'stainless steel overall',"'14', 'stainless steel overall'",,'legs with welded front to rear adjustable',,,"'compartment with right hand', 'back', 'deep with 11 high splash', 'legs with welded front to rear adjustable'","'compartment with right hand', 'back', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",20000,"""Regaline Sink, 2-compartment, with right-hand drainboard, 24"" front-to-back x 24"" wide sink compartment, 14"" deep, with 11"" high splash, stainless steel legs with welded front-to-rear & adjustable left-to-right cross rails, 24"" drainboard, 1"" adjustable bullet feet, 14 gauge 304 series stainless steel, overall 31"" F/B x 80"" L/R, NSF""@en ","""
Regaline Sink, 2-compartment, with right-hand drainboard, 24"" front-to-back x 24""W sink compartment, 14"" deep, with 11""H backsplash, stainless steel legs with welded front-to-rear & adjustable left-to-right cross rails, 24"" drainboard, 1"" adjustable bullet feet, 14 gauge 304 series stainless steel, overall 31"" F/B x 80"" L/R, NSF
 "" ",6431075,2795154," ""Advance Tabco 94-42-48-24R 80"" 2-Compartment Sink w/ 24""L x 24""W Bowl, 14"" Deep""@en Deep ""@en Bowl"," "" Advance Tabco 94-42-48-24R Regaline Sink ""Advance | Culinary Depot"""
