cluster_id,Applicable Material,Base,Brand,Built,Capacity,Care Instructions,Category,Collection,Color,Compliance Standards,Construction,Control Type,Country of Origin,Depth,Diameter,Dimensions,Dirt Types,EAN,Energy Efficiency,Expiry,Finish,Freezer Capacity,Height,Length,Manufacturing Standard,Material,Model Number,Model Number Type,Mounting,Packaging Type,Packing Type,Power,Price,Product Type,Room,Scent,Series,Shape,Style,Thickness,UPC,Warranty,Weight,Width
650,,"['h backsplash', 'legs with boxed crossrails']",,,"['12 deep', '18 gauge']",['stainless steel'],,,,['back x'],,,,,,,,,,,['nsf'],,"['158.00 Pound(s)', '8""']",,,['stainless steel'],,,,,,,,['open frame'],,['304 series stainless steel'],,,['compartment with left hand'],,,,,
2104,,"['(1) standard oven, (1) cabinet']",,,,,,,,,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,['battery'],,,,,,,,"['wavy grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],"['oven', 'flue riser with shelf stainless steel', 'front']",,,,,
2498,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['ultimate', 'restaurant', 'oven']",,,,,
2723,,['(2) standard ovens'],,,,,,,,,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['saut burners', 'oven']",,,,,,,,['burners rear'],,['backriser with hi-shelf'],,['restaurant'],"['standard ovens with battery', 'per']",,,,,['60 3']
5339,,"['standard ovens', '(2) standard ovens']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['battery', 'oven']",,,,,,,,['standard grates'],,['backriser with hi-shelf'],,,"['restaurant', 'per']",,,,,
6092,,,,,,,,['electric operation'],,['controls no'],,,,,,,,,['Energy Star'],,,,"['12 x 20', '231.00 Pound(s)']",['440 60'],,,,,,,,,,['not voided'],,,,,"['electric holds 6', 'deep pans digital']",,,,,
8866,,,,,,,,,['rack'],,,,['12'],,,,,,,,,,,['229012b 229012sp'],,['stainless steel'],,,,,,,,['fits pot'],,,,,,,,,,
10266,,['26 gauge'],,,['16 l'],['Stainless Steel'],,,,,,,,,"['1"" to 2""']",,,,,,['white'],,['1.59 Pound(s)'],,,['stainless steel'],,,,,,,,"['elevator type', 'diameter']",,,,,,,,,,
11600,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,['ultimate'],,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,"['left standing pilot 1', 'battery']",,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'with wavy grates', 'oven']",,,,,
11805,,,['deli case refrigerated'],,"['36 f', '42 f', '1']",,['fluorescent light'],,,,,,,,,,,['60'],,,,,['500.00 Pound(s)'],,,['stainless steel'],,,,,,,,['floor air flow grille rear'],,,,['lamp'],"['rear doors', 'shelf shielded top', 'cetlus etl sanitation']",,,,,"['43"" - 48""']"
15027,,['legs with boxed crossrails'],,,"['11 h', '66 l']",['stainless steel'],,,['regaline sink 2'],,,,,,,,,,,,['nsf'],['27 f b x'],"['20 front', '118.00 Pound(s)', '11""']",['304 series'],,"['14', 'stainless steel overall']",,,,,,,,['legs with welded front to rear adjustable'],,,,,"['compartment with right hand drainboard', 'deep with']",,,,,
15750,,"['left thermostatic', '(2) cabinets']",,,['2 cabinets'],,,,,['flue riser with shelf stainless steel front sides'],,,,,,,,['22'],,,['nsf'],,['1075.00 Pound(s)'],,,,,,,,,,,"['wavy grates', 'shelf']",,['backriser with hi-shelf'],,,['ultimate restaurant'],,,,,
17695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['strike plate'],,,['table'],,,,,
18918,,,,,"['19 7 cu ft', '17 - 19 pan']",,['solid hinged doors'],,,"['thick white', 'polyethylene cutting board stainless steel']",,,,,,,,,,,,,['375.00 Pound(s)'],,,"['self contained refrigeration system', 'exterior front sides']",,,,,,,,['shelves'],,['reach in three'],,,"['refrigerator', 'pan capacity', 'with brakes r 134a refrigerant', 'hp culus', 'doors']",,['nsf'],,,"['70"" - 84"" wide']"
20000,,['legs with boxed crossrails'],,,['11 h'],['stainless steel'],,,['regaline sink 2'],,,,,,,,,,,,['nsf'],,"['229.00 Pound(s)', '11""']",['304 series'],,"['14', 'stainless steel overall']",,,,,,,,['legs with welded front to rear adjustable'],,,,,"['compartment with right hand', 'back', 'deep with']",,,,,
20281,,"['(1) standard oven, (1) cabinet']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
20779,,['(2) cabinets'],,,['2 cabinets'],,,,['ultimate'],['flue riser with shelf stainless steel front sides'],,,,,,,,['22'],,,['nsf'],,['1075.00 Pound(s)'],,,,,,,,,,,"['standard grates', 'shelf']",,['backriser with hi-shelf'],,,['restaurant'],,,,,
24625,,['(2) standard / space saver ovens'],,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,,,,,,,,,['wavy grates'],,['backriser with hi-shelf'],,['oven'],['restaurant'],,,,,
25790,,,,,,,,['refrigerator base remote'],,,,,,,,,,,,,['width pull'],['60 1 ph'],['835.00 Pound(s)'],,,['stainless steel'],,,,,,,,['drawers full'],,,,,['drawers'],,,,,
26107,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,['front'],,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['735.00 Pound(s)'],,,"['left standing pilot 1', 'battery']",,,,,,,,['shelf 6 adjustable'],,['backriser with hi-shelf'],,['restaurant'],"['back right 2 star saut burners', 'oven']",,,,,
26299,,"['standard ovens', '(2) standard ovens']",,,,,,,,,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['battery', 'oven']",,,,,,,,['standard grates'],,['backriser with hi-shelf'],,['restaurant'],['per'],,,,,
27966,,"['convection ovens', '(2) convection ovens']",,,['48 griddle'],,,,"['ultimate', 'per oven']",,,,['front'],,,,,,,,['nsf'],['22 1 2'],['1075.00 Pound(s)'],,,"['battery', 'stainless steel']",,,,,,,,"['standard grates', 'shelf 6']",,['backriser with hi-shelf'],,,['restaurant'],,,,,
28483,,['(1) standard oven'],,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['660.00 Pound(s)'],,,['battery'],,,,,,,,"['wavy grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
30029,,,,,,,,,,,,,,,"['1""']",,,,,,,,['4.13 Pound(s)'],"['48""']",['dia 48 long covered'],['stainless steel'],,,,,,,,"['braid coated with orange', 'sleeve heat shield limited']",,,,,['insulated heat shield'],,,,,
30189,,['(1) cabinet'],,,,,,,,,,,,,,['front sides rear'],,,,,['nsf'],,['660.00 Pound(s)'],,,,,,,,,,,['heavy duty'],,['thick plate thermostatic'],,,,,,,,
30673,,,,,"['36 f', '42 f', '60 1', '2']",,['fluorescent light'],,['cetlus etl sanitation'],,,,,,,,,,,,,,['777.00 Pound(s)'],,,['stainless steel'],,,,,,,,['floor air flow grille rear'],,,,['lamp'],"['rear doors', 'shelves shielded top']",,,,,"['67"" - 72""']"
32683,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['735.00 Pound(s)'],,,['battery'],,,,,,,,"['burners', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],"['with wavy grates', 'oven']",,,,,
32780,,"['left manual', '(2) standard / space saver ovens']",['s series restaurant'],,,,,,,,,,['front'],,,,,,,,['nsf'],,['860.00 Pound(s)'],['4 front'],,"['oven', 'stainless steel']",,,,,,,,"['open burners', 'removable shelf']",,['backriser with hi-shelf'],,['valve panel includes'],"['standard ovens snap action', 'thermostat']",,,,,
34701,,,,,['30 l'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35029,,['dia'],,,,,['conveyor dual'],,,,,['dual belt'],,,,,,,,,,['18 section variable speed'],['980.00 Pound(s)'],,,"['band belts', 'pan', 'stationary']",,,,,,,,,,,,,['fda'],,,,,
40082,,,,,"['21 3', '16 d']",,['nsf'],,"['heavy duty adjustable cast iron grates', 'valve per burner manual']",,,['manual'],,,,,,,,,,,['391.00 Pound(s)'],,,['stainless steel'],,,,['front sides'],,,,,,,,,,['2 front rail'],,,,"['36""']"
40590,,['countertop'],,,,,,,['stainless steel'],,,,['front'],,,,,,,,,,['392.00 Pound(s)'],,,['left'],,,,,,,,['plate thermostatic control'],,,,,"['cuisine series heavy duty', 'open burners']",,,,,
43910,,,,,['10 - 12 pan'],,,,['self contained rear mounted'],['cord with nema 5 15p'],,,,,,,,,,,['two'],,['255.00 Pound(s)'],['12 cu'],,"['stainless steel', 'stainless steel']",,,,,,,,"['deluxe sandwich salad unit', 'top', 'drawers with']",,['recessed handles'],,,"['pan opening', 'refrigeration system', 'cetlus', 'drawers']",,['60'],,,"['48"" - 50"" wide']"
45695,,,,,,,,,,,,,,,,,,,,,"['abs plastic white', 'nsf']",,,,,,,,,,,,,,,,,,['resistant refrigerant gel insulated dishwasher safe'],,,,,
46704,,"['(1) standard oven, (1) cabinet']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['saut burners', 'battery']",,,,,,,,"['burners rear', 'shelf 6 adjustable']",,"['front', 'left 4 star saut burners', 'backriser with hi-shelf']",,,"['restaurant', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,['60 3']
46929,,['legs with boxed crossrails'],,,['77 l'],['stainless steel'],,,,,,,,,,,,,,,['nsf'],['27 f b x'],"['20 front', '214.00 Pound(s)', '11""']","['11 h', '304 series']",,['stainless steel overall'],,,,,,,,['legs with welded front to rear adjustable'],,,,,"['compartment with left hand drainboard', 'deep with']",,,,,
46984,,,,,,,,,,,,['mechanical'],,,,,,,['Energy Star'],,,['60 1ph 5'],['238.00 Pound(s)'],['12 x'],,,,,,,,,,"['n hold boilerless', 'convection steamer includes', 'electric', 'mechanical timer', 'energy star']",,,,,['deep pans vacuum cooking'],,,,,
47582,,"['(1) standard oven, (1) cabinet']",,,,,,,,,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],"['rear', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
47941,,['legs with boxed crossrails'],,,['18 gauge'],['stainless steel'],,,,,,,,,,,,['12'],,,['nsf'],,"['194.00 Pound(s)', '8""']",,,,,,,,,,,['open frame'],,['304 series stainless steel'],,,"['compartment with right hand', 'back', 'deep with']",,,,,
47959,,"['(1) standard oven, (1) cabinet']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
49062,,"['left thermostatic', 'flue riser with shelf', '(1) convection oven']",,,,,,,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['660.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],['oven'],,,,,
49872,,['(2) standard / space saver ovens'],,,,,,,,,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,,,,,,,,,['standard grates'],,['backriser with hi-shelf'],,['oven'],"['ultimate', 'restaurant']",,,,,
52778,,,['sombrero european dinner fork'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53422,,"['convection ovens', '(2) convection ovens']",,,,,,,['per oven'],,,,['front'],,,,,,,,['nsf'],['22 1 2'],['1075.00 Pound(s)'],,,"['saut burners', 'battery', 'stainless steel']",,,,,,,,['shelf 6 adjustable'],,['backriser with hi-shelf'],,['restaurant'],['rear'],,,,,['60 3']
54324,,"['left thermostatic', '(1) standard oven, (1) convection oven']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['battery', 'battery']",,,,,,,,"['wavy grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
54412,,['(2) standard / space saver ovens'],,,,,,,,,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,,,,,,,,,['standard grates'],,['backriser with hi-shelf'],,['oven'],"['ultimate', 'restaurant', 'rear']",,,,,
54641,,,,,,,,,,,,,,,,,,,,,"['abs plastic black', 'nsf']",,,,,,,,,,,,,,,,,,"['food pan', 'resistant refrigerant gel insulated dishwasher safe']",,,,,
55547,,,,,,,,,,,,,,,"['1/2""']",,,,,,['dia'],,['3.50 Pound(s)'],"['48""']",,['stainless steel'],,,,,,,,"['braid coated with orange', 'sleeve heat shield']",,,,,"['dormont safety', 'insulated heat shield']",,,,,
56934,,"['flue riser with heavy duty shelf', '(1) convection oven, (1) cabinet']",,,,,['restaurant'],,,,,,['front'],,,,,,,['22'],['nsf'],,['735.00 Pound(s)'],,,"['battery', 'stainless steel']",,,,,,,,"['wavy grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['ultimate', 'oven']",,,,,
57391,,"['flue riser with heavy duty shelf', '(1) convection oven, (1) cabinet']",,,,,,,['ultimate'],,,,['front'],,,,,,,['22'],['nsf'],,['735.00 Pound(s)'],,,"['battery', 'stainless steel']",,,,,,,,"['wavy grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven']",,,,,
57966,,['(1) cabinet'],,,['12 even'],,['left cabinet'],,['cuisine series heavy duty'],,,,,,,,,,,,,,['404.00 Pound(s)'],,,['stainless steel'],,,,,,,,,,,,,"['open burners', 'front']",,,,,
58317,,"['flue riser with shelf', '(2) cabinets']",,,['48 griddle'],,,,,,,,['front'],,,,,,,,"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,,,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],,,,,,
59440,,['(2) standard / space saver ovens'],,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,,,,,,,,,['standard grates'],,['backriser with hi-shelf'],,,"['restaurant', 'oven']",,,,,
59769,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['735.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],['oven'],,,,,
59893,,,['refrigerated'],,,,,,"['pizza', 'stainless steel']",,,,,,,,,,,,['hfc'],,['927.00 Pound(s)'],,,,,,,,,,,"['table three', 'pan rail']",,,,,"['pan capacity', 'gauge', 'top', 'with refrigerated', 'doors']",,,,,"['73 - 93""']"
62458,,"['(1) convection oven, (1) cabinet']",,,,,['front'],,,,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['pyromax burners', 'battery', 'battery']",,,,,,,,"['rear', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],"['oven', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
66887,,"['flue riser with heavy duty shelf', '(2) standard / space saver ovens']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,['stainless steel'],,,,['front sides'],,,,['standard grates standing pilot'],,['backriser with hi-shelf'],,,['restaurant'],,,,,
67392,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,,,,,['front'],,,,,,,['22'],"['stainless steel', 'legs', 'nsf']",,['735.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],['oven'],,,,,
68036,,['27 drawers'],,,['60 1 ph'],,,,,,,,,,,,,,,,['only when ordered'],,['774.00 Pound(s)'],,,['stainless steel'],,,,,,,,['legs available'],,['cuisine series'],,,"['refrigerated base self contained refrigeration', 'drawers']",,,,,
69016,,,,,['each 240'],,['n hold boilerless'],,['two steam'],,,['manual'],,,,,,,['Energy Star'],,,,['426.00 Pound(s)'],['12 x'],,,,,,,,,,"['convection steamer includes', 'electric', 'mechanical timer']",,,,,['deep pans each compartment'],,,,,
69194,,['locking front'],,,['12 pan'],,,,,,,,,,,,,,,,['stainless steel'],,['223.00 Pound(s)'],,,"['stainless steel', 'breathing rear']",,,,['front sides'],,,,,,,,,"['refrigerator', 'top with', 'r404a refrigeration system', 'doors']",,,,,"['24 - 32"" wide']"
69270,,,['dormont safety'],,,,,,,,,,,,"['1""']",,,,,,,,['4.85 Pound(s)'],"['60""']",,['stainless steel'],,,,,,,,"['hose', 'braid coated with orange', 'sleeve heat shield limited']",,,,,"['dia', 'insulated heat shield']",,,,,
69867,,['(2) standard / space saver ovens'],,,,,,,,,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,,,,,,,,,['standard grates'],,['backriser with hi-shelf'],,"['restaurant', 'oven']",,,,,,
70295,['front'],,,,,,,,,,,,,,,,,,,,,,"['pans face', '475.00 Pound(s)']",,,['top'],,,,,,,,['dial thermometers stainless steel'],,,,,"['phoenix freezer base', 'deep', 'drawers']",,['12'],,,['20 hotel']
70433,,,,,['60 1 ph'],,,,,,,,,,,,,,,,['only when'],,['383.00 Pound(s)'],,,['stainless steel'],,,,,,,,['fire freezer'],,['master series'],,,"['handles', 'legs available', 'drawers']",,,,,
70476,,['(2) standard / space saver ovens'],,,,,,,,,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,,,,,,,,,['standard grates'],,['backriser with hi-shelf'],,['restaurant'],['oven'],,,,,
73805,,"['flue riser with shelf', '(1) cabinet']",,,,,,,,,,,['front'],,,,,,,,"['stainless steel', 'nsf']",,['660.00 Pound(s)'],,,['restaurant'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,,,,,,
75528,,['(2) standard ovens'],,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['1320.00 Pound(s)'],,,['oven'],,,,,,,,['burners rear'],,['backriser with hi-shelf'],,,"['restaurant', 'burners', 'standard ovens with battery', 'per']",,,,,
