rewo_id,rewo_cluster_id
rewo_9,382
rewo_11,444
rewo_15,650
rewo_18,701
rewo_20,752
rewo_22,971
rewo_31,1369
rewo_40,2165
rewo_48,2605
rewo_49,2629
rewo_50,2639
rewo_52,2720
rewo_53,2723
rewo_55,2921
rewo_63,3348
rewo_64,3406
rewo_74,3905
rewo_84,4311
rewo_87,4559
rewo_97,5218
rewo_99,5339
rewo_100,5348
rewo_112,5800
rewo_118,6030
rewo_119,6092
rewo_125,6581
rewo_126,6613
rewo_131,6790
rewo_136,7149
rewo_137,7242
rewo_138,7272
rewo_150,7694
rewo_151,7794
rewo_158,8137
rewo_161,8486
rewo_165,8704
rewo_166,8821
rewo_167,8866
rewo_171,9081
rewo_173,9471
rewo_177,9677
rewo_181,9784
rewo_183,9875
rewo_191,10347
rewo_197,10566
rewo_198,10569
rewo_214,11440
rewo_216,11690
rewo_219,11805
rewo_227,12242
rewo_228,12246
rewo_232,12461
rewo_233,12557
rewo_247,13158
rewo_252,13341
rewo_254,13431
rewo_263,13899
rewo_267,13991
rewo_270,14027
rewo_272,14131
rewo_277,14380
rewo_285,14611
rewo_290,15027
rewo_291,15044
rewo_292,15096
rewo_296,15280
rewo_299,15498
rewo_300,15547
rewo_302,15619
rewo_303,15663
rewo_305,15706
rewo_317,16353
rewo_324,17015
rewo_325,17075
rewo_326,17159
rewo_333,17601
rewo_335,17695
rewo_337,17718
rewo_338,17733
rewo_348,18086
rewo_352,18390
rewo_353,18473
rewo_355,18622
rewo_360,18921
rewo_361,18924
rewo_363,18958
rewo_367,19019
rewo_368,19164
rewo_374,19329
rewo_375,19574
rewo_380,19820
rewo_381,19853
rewo_386,20089
rewo_393,20377
rewo_396,20602
rewo_408,21229
rewo_415,21452
rewo_416,21460
rewo_417,21573
rewo_418,21617
rewo_421,21770
rewo_422,21804
rewo_424,21895
rewo_435,22467
rewo_437,22545
rewo_438,22558
rewo_439,22583
rewo_441,22710
rewo_447,22989
rewo_454,23235
rewo_456,23348
rewo_460,23602
rewo_466,23927
rewo_474,24398
rewo_477,24492
rewo_479,24551
rewo_480,24586
rewo_482,24625
rewo_497,25408
rewo_505,25678
rewo_506,25693
rewo_516,26086
rewo_522,26229
rewo_524,26299
rewo_542,27674
rewo_545,27832
rewo_548,27966
rewo_549,27976
rewo_552,28131
rewo_558,28483
rewo_561,28638
rewo_563,28821
rewo_564,28940
rewo_565,28947
rewo_571,29085
rewo_574,29260
rewo_579,29584
rewo_581,29668
rewo_584,29785
rewo_588,29984
rewo_598,30621
rewo_599,30630
rewo_601,30673
rewo_602,30739
rewo_604,30806
rewo_609,30892
rewo_611,30900
rewo_613,30915
rewo_615,31053
rewo_621,31776
rewo_624,31862
rewo_626,31962
rewo_632,32277
rewo_633,32338
rewo_635,32481
rewo_639,32610
rewo_653,33288
rewo_657,33475
rewo_659,33532
rewo_671,34289
rewo_675,34466
rewo_680,34688
rewo_689,35114
rewo_693,35454
rewo_702,36070
rewo_708,36230
rewo_715,37019
rewo_716,37121
rewo_719,37357
rewo_721,37524
rewo_722,37528
rewo_723,37574
rewo_727,37740
rewo_732,37846
rewo_734,37906
rewo_738,38128
rewo_740,38225
rewo_741,38277
rewo_747,38482
rewo_748,38521
rewo_749,38560
rewo_751,38656
rewo_756,38792
rewo_760,38887
rewo_761,38901
rewo_765,38968
rewo_777,39899
rewo_778,39950
rewo_781,40082
rewo_793,40541
rewo_795,40598
rewo_803,41098
rewo_805,41339
rewo_809,41554
rewo_810,41582
rewo_815,41939
rewo_816,41943
rewo_820,42372
rewo_826,42645
rewo_831,42701
rewo_835,42899
rewo_840,43108
rewo_841,43177
rewo_843,43272
rewo_847,43535
rewo_851,43730
rewo_858,44035
rewo_859,44058
rewo_861,44090
rewo_863,44301
rewo_864,44308
rewo_865,44349
rewo_868,44408
rewo_869,44449
rewo_871,44678
rewo_876,45013
rewo_877,45023
rewo_878,45048
rewo_883,45480
rewo_886,45695
rewo_891,45919
rewo_892,45925
rewo_897,46410
rewo_903,46739
rewo_905,46850
rewo_906,46929
rewo_908,46952
rewo_909,46957
rewo_910,46984
rewo_913,47174
rewo_930,47877
rewo_931,47941
rewo_932,47959
rewo_935,48281
rewo_936,48374
rewo_943,48611
rewo_955,48952
rewo_956,49062
rewo_957,49127
rewo_960,49496
rewo_962,49629
rewo_963,49647
rewo_964,49683
rewo_970,49872
rewo_972,50003
rewo_976,50256
rewo_979,50393
rewo_986,50770
rewo_987,50818
rewo_988,50866
rewo_992,51051
rewo_999,51504
rewo_1007,51843
rewo_1009,51869
rewo_1010,51989
rewo_1018,52400
rewo_1020,52526
rewo_1021,52657
rewo_1022,52669
rewo_1023,52675
rewo_1030,53159
rewo_1035,53422
rewo_1040,53693
rewo_1045,54179
rewo_1050,54324
rewo_1053,54375
rewo_1054,54412
rewo_1056,54543
rewo_1057,54641
rewo_1059,54714
rewo_1062,54840
rewo_1074,55450
rewo_1075,55472
rewo_1092,56411
rewo_1096,56627
rewo_1099,56720
rewo_1104,56963
rewo_1112,57282
rewo_1118,57478
rewo_1124,57709
rewo_1145,59082
rewo_1147,59302
rewo_1148,59312
rewo_1151,59395
rewo_1152,59440
rewo_1153,59699
rewo_1154,59706
rewo_1155,59769
rewo_1161,60139
rewo_1166,60379
rewo_1173,60520
rewo_1183,60999
rewo_1193,61393
rewo_1198,61606
rewo_1199,61718
rewo_1201,61801
rewo_1202,61816
rewo_1204,61982
rewo_1207,62254
rewo_1212,62458
rewo_1222,62796
rewo_1231,63222
rewo_1236,63609
rewo_1237,63670
rewo_1239,63786
rewo_1240,63818
rewo_1248,64708
rewo_1252,64871
rewo_1253,64903
rewo_1259,65097
rewo_1265,65533
rewo_1272,65790
rewo_1273,65811
rewo_1275,65903
rewo_1282,66557
rewo_1283,66650
rewo_1284,66702
rewo_1287,66887
rewo_1290,66981
rewo_1291,67037
rewo_1292,67049
rewo_1296,67305
rewo_1304,67575
rewo_1306,67584
rewo_1308,67644
rewo_1313,68132
rewo_1315,68187
rewo_1329,68908
rewo_1330,68933
rewo_1333,69016
rewo_1336,69081
rewo_1339,69194
rewo_1341,69261
rewo_1355,69687
rewo_1358,69867
rewo_1364,70217
rewo_1368,70476
rewo_1369,70533
rewo_1370,70558
rewo_1372,70594
rewo_1375,70986
rewo_1379,71344
rewo_1381,71538
rewo_1387,71906
rewo_1390,72071
rewo_1392,72209
rewo_1393,72277
rewo_1397,72450
rewo_1410,73278
rewo_1417,73591
rewo_1418,73677
rewo_1420,73712
rewo_1427,74268
rewo_1433,74791
rewo_1434,74872
rewo_1439,75000
rewo_1441,75069
rewo_1445,75300
rewo_1453,75765
rewo_1456,75865
rewo_1464,76096
rewo_1472,76659
rewo_1475,76936
rewo_1480,77024
rewo_1482,77110
rewo_1489,77336
rewo_1493,77634
rewo_1495,77699
rewo_1505,78570
rewo_1506,78600
rewo_1509,78731
rewo_1522,79341
rewo_1523,79407
rewo_1526,79672
rewo_1530,79840
rewo_1531,79857
rewo_1533,79979
rewo_1539,80282
rewo_1544,80378
rewo_1547,80523
rewo_1550,80642
rewo_1555,80851
rewo_1562,81280
rewo_1565,81348
rewo_1570,81513
rewo_1581,82225
rewo_1585,82441
rewo_1586,82597
rewo_1588,82726
rewo_1589,82765
rewo_1600,83255
rewo_1606,83449
rewo_1609,83559
rewo_1614,83766
rewo_1618,84000
rewo_1619,84048
rewo_1624,84251
rewo_1626,84403
rewo_1632,84621
rewo_1634,84677
rewo_1637,84794
rewo_1640,84983
rewo_1642,85099
rewo_1649,85390
rewo_1654,85580
rewo_1662,85961
rewo_1664,86141
rewo_1666,86271
rewo_1669,86506
rewo_1670,86513
rewo_1671,86572
rewo_1672,86600
rewo_1675,86719
rewo_1676,86752
rewo_1683,87361
rewo_1689,87980
rewo_1690,88060
rewo_1691,88200
rewo_1692,88363
rewo_1700,88879
rewo_1704,89187
rewo_1710,89360
rewo_1719,89865
rewo_1724,90106
rewo_1733,90637
rewo_1741,91003
rewo_1746,91247
rewo_1747,91277
rewo_1753,91603
rewo_1756,91751
rewo_1758,91821
rewo_1760,91893
rewo_1763,92136
rewo_1764,92138
rewo_1768,92343
rewo_1771,92502
rewo_1772,92507
rewo_1774,92567
rewo_1781,92967
rewo_1783,93029
rewo_1794,93467
rewo_1795,93471
rewo_1796,93488
rewo_1799,93509
rewo_1802,93749
rewo_1803,93752
rewo_1804,93770
rewo_1805,93795
rewo_1806,93840
rewo_1808,93921
rewo_1809,94089
rewo_1813,94173
rewo_1816,94339
rewo_1819,94382
rewo_1820,94401
rewo_1821,94479
rewo_1824,94553
