id,hotel name,hotel_name-href,address_street,address_district,address_zip,address_country,number_reviews,rating,check-in from,check-out until,check-in until,check-out from,stars,Family rooms,Non-smoking rooms
1,Nika Hostel,"https://www.booking.com/hotel/it/nika-hostel.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=a54fa4fe3480014c&sr_order=hpe&ucfs=1&srpvid=a54fa4fe3480014c&srepoch=1540510077&room1=A,A&hpos=4&hapos=1004&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1004&from=searchresults;highlight_room=#hotelTmpl",Piazza di San Giovanni in Laterano 36,San Giovanni,00185 Rome,Italy,144,8.5,13:30,10:30,22:00,7:00,,TRUE,TRUE
2,Kolping Hotel Casa Domitilla,"https://www.booking.com/hotel/it/casa-domitilla.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=7a62114acb730387&sr_order=hpe&ucfs=1&srpvid=7a62114acb730387&srepoch=1540520853&room1=A,A&hpos=8&hapos=338&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X338&from=searchresults;highlight_room=#hotelTmpl",Via Delle Sette Chiese 280,Eur & Garbatella,00147 Rome,Italy,2021,8.2,14:00,10:30,23:00,6:30,3,TRUE,TRUE
3,Aladino Inn,"https://www.booking.com/hotel/it/aladino-inn.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=67fb0e7eefab001e&sr_order=hpe&ucfs=1&srpvid=67fb0e7eefab001e&srepoch=1540519422&room1=A,A&hpos=4&hapos=649&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X649&from=searchresults;highlight_room=#hotelTmpl",Via Carlo Emanuele I 22a,Central Station,00185 Rome,Italy,465,6.1,14:00,10:30,23:00,6:00,,TRUE,TRUE
4,Testa Gioacchino B&B,"https://www.booking.com/hotel/it/testa-gioacchino-b-amp-b.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=9e88048b5080014e&sr_order=hpe&ucfs=1&srpvid=9e88048b5080014e&srepoch=1540514328&room1=A,A&hpos=11&hapos=1011&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1011&from=searchresults;highlight_room=#hotelTmpl",Via Casimiro Teja 29d,Tiburtino,00157 Rome,Italy,64,7.9,15:00,10:00,22:00,5:00,,FALSE,TRUE
5,Rome for rent,"https://www.booking.com/hotel/it/rome-for-rent.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=d6450e3abab901bd&sr_order=hpe&ucfs=1&srpvid=d6450e3abab901bd&srepoch=1540519285&room1=A,A&hpos=3&hapos=678&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X678&from=searchresults;highlight_room=#hotelTmpl",92 Via Eugenio Torelli Viollier,Tiburtino,00157 Rome,Italy,17,9.2,0:00,12:30,0:00,4:00,,TRUE,FALSE
6,Guest House Il Limone Nascosto,"https://www.booking.com/hotel/it/guest-house-il-limone-nascosto.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=b39a06730aa1011a&sr_order=hpe&ucfs=1&srpvid=b39a06730aa1011a&srepoch=1540515303&room1=A,A&hpos=5&hapos=1005&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1005&from=searchresults;highlight_room=#hotelTmpl",Via Giovanni De Calvi 56,Gianicolense,00151 Rome,Italy,27,8.9,13:00,null,15:00,11:00,,FALSE,TRUE
7,Coconuts Female Hostel,"https://www.booking.com/hotel/it/coconuts-female-hostel.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=8d7ba5f5052e0356&sr_order=hpe&ucfs=1&srpvid=8d7ba5f5052e0356&srepoch=1540510572&room1=A,A&hpos=1&hapos=1001&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1001&from=searchresults;highlight_room=#hotelTmpl",Via Giovanni Giolitti  137,null,00185 Rome,Italy,719,7.9,15:00,null,21:00,13:00,,FALSE,TRUE
8,B&b Tesori di Roma,"https://www.booking.com/hotel/it/b-amp-b-tesori-di-roma.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=5cad0a87c98b00d7&sr_order=hpe&ucfs=1&srpvid=5cad0a87c98b00d7&srepoch=1540517391&room1=A,A&hpos=9&hapos=1009&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1009&from=searchresults;highlight_room=#hotelTmpl",15 Via degli Storni Piano 1 interno 4,Prenestino,00169 Rome,Italy,10,8.8,11:00,10:00,20:00,9:00,,TRUE,TRUE
9,Eleonora Guest House,"https://www.booking.com/hotel/it/casa-vacanze-roma1234.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=fee1040bda220130&sr_order=hpe&ucfs=1&srpvid=fee1040bda220130&srepoch=1540514071&room1=A,A&hpos=8&hapos=1008&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1008&from=searchresults;highlight_room=#hotelTmpl",Via Teodolfo Mertel Piano terra n 38,null,00166 Rome,Italy,21,7.1,11:00,10:30,20:00,9:00,,FALSE,FALSE
10,Apartments  Aquila 52,"https://www.booking.com/hotel/it/aquila52.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=3f210e5c412b0209&sr_order=hpe&ucfs=1&srpvid=3f210e5c412b0209&srepoch=1540519353&room1=A,A&hpos=13&hapos=673&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X673&from=searchresults;highlight_room=#hotelTmpl",Via L'Aquila  52,null,00176 Rome,Italy,43,8.5,15:00,null,22:30,12:00,,FALSE,TRUE
