id,hotel_name,address_street,address_locality,phone_number,stars,price_range_in_euro,number_rooms,room_types,hotel_style,rating,count_reviews,user_rating,ta_certificate_of_excellence,ta_travelers_choice,suites,family_rooms,accessible_rooms,non_smoking_rooms,kitchenette,hotel_style_business,hotel_style_luxury,hotel_style_romantic,hotel_style_family,hotel_style_spa,hotel_style_onsen,price_range_lower,price_range_upper,hotel_name-href,all_hotel_details_link-href
1,Mercure Rome Colosseum Centre,Via Labicana 144,00184 Rome,00 39 06 9480 4334,4.0,103 - 275,161.0,"Suites, Non-Smoking, Family, Accessible ","Family, Luxury, Romantic, Business","#225 of 1,272 Hotels in Rome",2319.0,4.0,True,False,True,True,True,True,False,True,True,True,True,False,False,103.0,275.0,https://www.tripadvisor.com/Hotel_Review-g187791-d228939-Reviews-Mercure_Rome_Colosseum_Centre-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d228939-Reviews-Mercure_Rome_Colosseum_Centre-Rome_Lazio.html#ABOUT_TAB
2,Hotel Raffaello,Via Urbana 3,00184 Rome,00 39 06 9480 4702,3.0,68 - 256,36.0,"Non-Smoking, Suites, Family ","Romantic, Business","#99 of 1,272 Hotels in Rome",2701.0,4.5,True,False,True,True,False,True,False,True,False,True,False,False,False,68.0,256.0,https://www.tripadvisor.com/Hotel_Review-g187791-d316644-Reviews-Hotel_Raffaello-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d316644-Reviews-Hotel_Raffaello-Rome_Lazio.html#ABOUT_TAB
3,A.Roma Lifestyle Hotel,Via Giorgio Zoega 59,00164 Rome,,4.0,109 - 230,276.0,"Suites, Non-Smoking, Family, Accessible ","Spa, Luxury","#56 of 1,272 Hotels in Rome",3847.0,4.5,False,False,True,True,True,True,False,False,True,False,False,True,False,109.0,230.0,https://www.tripadvisor.com/Hotel_Review-g187791-d7976127-Reviews-A_Roma_Lifestyle_Hotel-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d7976127-Reviews-A_Roma_Lifestyle_Hotel-Rome_Lazio.html#ABOUT_TAB
4,Boutique Hotel Campo de Fiori,"Via del Biscione, 6",00186 Rome,00 39 06 9480 3465,4.0,118 - 974,34.0,"Non-Smoking, Suites, Accessible ","Luxury, Romantic, Family, Business","#13 of 1,272 Hotels in Rome",2765.0,4.5,True,False,True,False,True,True,False,True,True,True,True,False,False,118.0,974.0,https://www.tripadvisor.com/Hotel_Review-g187791-d208552-Reviews-Boutique_Hotel_Campo_de_Fiori-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d208552-Reviews-Boutique_Hotel_Campo_de_Fiori-Rome_Lazio.html#ABOUT_TAB
5,Palm Gallery Hotel,Via delle Alpi 15D,00198 Rome,00 39 06 9480 6669,3.0,89 - 204,10.0,"Non-Smoking, Family ","Family, Romantic, Business","#14 of 1,272 Hotels in Rome",1316.0,5.0,True,False,False,True,False,True,False,True,False,True,True,False,False,89.0,204.0,https://www.tripadvisor.com/Hotel_Review-g187791-d1739663-Reviews-Palm_Gallery_Hotel-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d1739663-Reviews-Palm_Gallery_Hotel-Rome_Lazio.html#ABOUT_TAB
6,VOI Donna Camilla Savelli Hotel,Via Garibaldi 27,00153 Rome,00 39 06 588861,4.0,123 - 349,76.0,"Suites, Non-Smoking","Business, Romantic, Luxury, Family","#141 of 1,272 Hotels in Rome",1287.0,4.5,True,False,True,False,False,True,False,True,True,True,True,False,False,123.0,349.0,https://www.tripadvisor.com/Hotel_Review-g187791-d1024807-Reviews-VOI_Donna_Camilla_Savelli_Hotel-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d1024807-Reviews-VOI_Donna_Camilla_Savelli_Hotel-Rome_Lazio.html#ABOUT_TAB
7,Barocco Hotel,Via della Purificazione 4,00187 Rome,00 39 06 9480 3291,4.0,165 - 373,37.0,"Suites, Family ","Family, Business, Romantic, Luxury","#17 of 1,272 Hotels in Rome",3209.0,4.5,True,False,True,True,False,False,False,True,True,True,True,False,False,165.0,373.0,https://www.tripadvisor.com/Hotel_Review-g187791-d203175-Reviews-Barocco_Hotel-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d203175-Reviews-Barocco_Hotel-Rome_Lazio.html#ABOUT_TAB
8,Heart Hotel,Via Santamaura 2,00192 Rome,,3.0,79 - 279,10.0,"Non-Smoking, Suites, Family ",nan,"#109 of 1,272 Hotels in Rome",514.0,4.5,True,False,True,True,False,True,False,False,False,False,False,False,False,79.0,279.0,https://www.tripadvisor.com/Hotel_Review-g187791-d3989397-Reviews-Heart_Hotel-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d3989397-Reviews-Heart_Hotel-Rome_Lazio.html#ABOUT_TAB
9,Hotel Re di Roma,Via Vercelli 21,00182 Rome,,3.0,62 - 146,38.0,"Non-Smoking, Family ","Business, Romantic, Best Value","#220 of 1,272 Hotels in Rome",1399.0,4.5,True,False,False,True,False,True,False,True,False,True,False,False,False,62.0,146.0,https://www.tripadvisor.com/Hotel_Review-g187791-d774803-Reviews-Hotel_Re_di_Roma-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d774803-Reviews-Hotel_Re_di_Roma-Rome_Lazio.html#ABOUT_TAB
10,The Independent Hotel,Via Volturno 48,00185 Rome,00 39 06 9480 3717,4.0,121 - 516,45.0,"Non-Smoking, Suites ","Business, Luxury, Romantic, Family","#27 of 1,272 Hotels in Rome",1602.0,4.5,True,False,True,False,False,True,False,True,True,True,True,False,False,121.0,516.0,https://www.tripadvisor.com/Hotel_Review-g187791-d3244512-Reviews-The_Independent_Hotel-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d3244512-Reviews-The_Independent_Hotel-Rome_Lazio.html#ABOUT_TAB
