m4_id,m4_cid,m4_number,m4_length,m4_title,m4_artist,m4_year,m4_language,m4_filtering_attr,m2_id
0,2512,7,1m 58sec,007,[unknown],,Por.,007unknowncantigasderoda,m4_0
1,9,2,6m 21sec,002-Particle/Wave,Lunchbox,,Eng.,002particlewavelunchboxevolver,m4_1
2,10,1,3m 36sec,001-Deja Vu,Blanket,,ng.,001dejavublanketnice,m4_2
3,4209,19,2m 55sec,019-Feeling Good,Andy Bey and the Bey Sisters,,Eng.,019feelinggoodandybeyandthebeysistersandybeyandthebeysisters,m4_3
4,12,1,3m 52sec,00-1,,,Jap.,001#,m4_4
5,8950,11,3m 41sec,011- ,   ,,Heb.,011,m4_5
6,1396,16,0m 41sec,016-Action (interlude),Hell,,Eng.,016action,m4_6
7,24,6,4m 0sec,007-A Tout A L'Heure,Bibio,,Eng.,007atoutalheurebibioministryofsoundchilloutsessionsxvi,m4_7
8,29,11,4m 12sec,011-Dey Want Some,"BeatKing feat. Slim Thug, Kirko Bangz & Bun B",,Eng.,011deywantsomebeatkingfeatslimthugkirkobangz&bunbclubgod2,m4_8
9,2357,12,3m 51sec,012-Lullabye,,,Eng.,012lullabye#lovetheonlyway,m4_9
10,35,11,7m 9sec,011-Der Weg Zum Licht,Nihilistic Front,,Eng.,011derwegzumlichtnihilisticfrontmiaruna,m4_10
11,40,20,1m 46sec,020-Annemarie,Feest Team,,n.a.,020annemariefeestteamapresskisafarivol4,m4_11
12,41,6,6m 42sec,005-Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,Ella Fitzgerald,,Eng.,005candyallidoisdreamofyouspringishere720inthebooksithappenedinmontereywhatcanisayafterisayimsorryellafitzgerald30byella,m4_12
13,9369,1,2m 23sec,001-Berimbou,Astrud Gilberto,, Eng.,001berimbouastrudgilbertolooktotherainbow,m4_13
14,45,5,2m 42sec,005-Al verte las flores lloran,Camaron de la Isla,,Spa.,005alvertelasfloresllorancamarondelaislaunaleyendaflamenca,m4_14
15,5552,6,unknown,006-My Pretty Pecker,Dr. Dre Del,,Eng.,006myprettypeckerdrdredeldrdredelsmicofdefiance,m4_15
16,46,6,6m 26sec,006-Murder & Mayhem,Noelle Hampton,,E.,006murder&mayhemnoellehamptonundertheseskies,m4_16
17,1168,5,2m 57sec,005-Put Me Back Together,Drive Like You Stole It,,Eng.,005putmebacktogetherdrivelikeyoustoleitfrequency,m4_17
18,48,11,2m 41sec,011-Easter Processions: Hymne,[religious music],,Lat.,011easterprocessionshymnereligiousmusictheinspirationfgregorianchant,m4_18
19,52,5,5m 12sec,005-Piranhes,Rattler,,Eng.,005piranhesrattlerdemo2012,m4_19
20,53,3,3m 37sec,003-Jayne,Stereophonics,,Eng.,003jaynestereophonicsthesundaytimesthestateofindependencev2,m4_20
21,55,1,unknown,001-Nation of Sorrow,Battle Zone,,Eng.,001nationofsorrowbattlezonearsonaroundwithmatches,m4_21
22,57,22,unknown,022-Over There Story,Kruger Brothers,,,022overtherestorykrugerbrotherscarolinascrapbook,m4_22
23,4987,7,unknown,007-When Love Comes to Town,U2 & B.B. King,,Enkg.,007whenlovecomestotownu2&bbking19871124tarrantcountyconventioncenterfortworthtxusa,m4_23
24,61,1,4m 2sec,001-Stronger Woman,Jewel,,Eng.,001strongerwomanjewelperfectlyclear,m4_24
25,223,6,3m 21sec,006-Turning,Glass America,,Eng.,006turningglassamericafathom,m4_25
26,66,11,4m 59sec,011-Non ti dimentichero,Gianni Morandi,,Ita.,011nontidimenticherogiannimorandicomefabenelamore,m4_26
27,5839,6,2m 49sec,006-The Jailer,Erin McKeown,,Eng.,006thejailererinmckeownpastemplayer#77,m4_27
28,68,1,3m 40sec,001-Sunlight,The One AM Radio,,Eng.,001sunlighttheoneamradioheavenisattachedbyaslenderthhread,m4_28
29,9270,5,2m 42sec,005-Where the Wild Things Are,Chenard Walcker,,Eng.,005wherethewildthingsarechenardwalckermiddle,m4_29
30,9662,6,4m 31sec,"006-La Pellegrina, Intermedio No. 1 ""L'Armonia delle sfere"": VI. Coppia gentil",Cristofano Malvezzi,,Ita.,006lapellegrinaintermediono1larmoniadellesferevicoppiagentilcristofanomalvezzilapellegrinamusicfortheweddingofferdinandodemediciandchristinedelorraineprincessoffranceflorence1589,m4_30
31,2258,12,3m 2sec,012-Nyt jatan vanhan Turun,Tapio Heinonen,,Fin.,012nytjatanvanhanturuntapioheinonenpaivatkuinunta,m4_31
32,5060,13,4m 14sec,013-Foe Life,Mak 10,,Eng.,013foelifemak10snoopdoggpresentsthewestcoastblueprint,m4_32
33,85,11,unknown,011-You're the Only Good Thing (That's Happened to Me),Jim Reeves,,Eng.,011youretheonlygoodthing,m4_33
34,87,6,3m 44sec,006-Nightline,Randy Crawford,,unknown,006nightlinerandycrawfordthelovesongs,m4_34
35,5955,11,unknown,011- ,,,Gre.,011#,m4_35
36,6185,26,2m 37sec,026-Control,Disclosure feat. Ria Ritchie,,Eng.,026controldisclosurefeatriaritchiefabriclive71djez,m4_36
37,6045,1,4m 7sec,001-One Day (Live),Caro Emerald,,unnknown,001oneday,m4_37
38,101,4,unknown,F004-Jouluohtu motisklus,Kadri Savva,,Est.,f004jouluohtumotiskluskadrisavvavoluaeg,m4_38
39,9018,7,6m 38sec,007-Someone So Young,Coke Weed,,Eng.,007someonesoyoungcokeweed#,m4_39
40,105,16,0m 58sec,016-Red-naped Sapsucker / Red-breasted Sapsucker,Donald & Lillian Stokes with Kevin Colver,,unknown,016rednapedsapsuckerredbreastedsapsuckerdonald&lillianstokeswithkevincolverthestokesfieldguidetobirdsongswesternregion,m4_40
41,108,7,4m 28sec,007-When You're Smiling at Me,Sly Blue,,Eng.,007whenyouresmilingatmeslyblueedgeoftheworld,m4_41
42,1659,3,2m 17sec,"003SonataforpianoNo.1inFminor,Op2No.1:III.Menuetto:Allegretto",Ludwig van Beethoven,,Eng.,003sonataforpianono1infminorop2no1iiimenuettoallegrettoludwigvanbeethoventheearlysonatas,m4_42
43,112,12,4m 5sec,012-Always on Time,Ja Rule feat. Ashanti,,Eng.,012alwaysontimejarulefeatashantihiphopthecollectiontheclassics,m4_43
44,118,31,1m 31sec,031-,,,Jap.,031#,m4_44
45,9312,1,1m 35sec,001-Carpathian Ridge,Michael Andrews,,Eng.,001carpathianridgemichaelandrewsdonniedarkothescore,m4_45
46,124,8,unknown,008-Histoire De Famille,Dany Bedar,,Fre.,008histoiredefamilledanybedaronatousunehistoireaconter,m4_46
47,127,18,2m 56sec,018-Daydream Believer,The Residents,,Eng.,018daydreambelievertheresidentsresiduedeux,m4_47
48,2438,13,1m 36sec,013-What Time Was Love,The KLF,,Eng.,013whattimewaslovetheklfgivepeaceadanceacndcompilation,m4_48
49,3439,2,5m 30sec,002-Ogunde / Margeritelek,Davaiciass TMC,,unknown,002ogundemargeritelekdavaiciasstmctheinformellemitarbeitertour201011demo,m4_49
50,141,2,unknown,002-Abie Stracie,Like a Tim,,E.,002abiestracielikeatimaudioart,m4_50
51,5987,B2,3m 52sec,0B2-Don't Burn the Fires,Dead Moon,,Eng.,0b2dontburnthefiresdeadmoonliveevil,m4_51
52,157,5,3m 47sec,005-Beni Derde Salan Gelsin,Musa Eroglu,,Tur.,005beniderdesalangelsinmusaerogluseleverdim,m4_52
53,160,12,5m 41sec,012-Under th eTop,Elliot Goldenthal,,Eng.,012underthetopelliotgoldenthalbatmanforeveroriginalmotionpicturescore,m4_53
54,6556,6,3m 21sec,006-Saratoga,Nina Simone,,Eng.,006saratoganinasimoneninasback,m4_54
55,9778,5,4m 19sec,005-Mechanical Advantage,Deepspace 5,,Eng.,005mechanicaladvantagedeepspace5uniquejustlikeeveryoneelse,m4_55
56,167,13,0m 11sec,"013-Act 2, Scene III: Recitativo - Voi quel folgio lasciate (Serse/Atalanta)",Georg Friedrich Handel,,Ita.,013act2sceneiiirecitativovoiquelfolgiolasciate,m4_56
57,7921,5,2m 37sec,"005-Kantate, BWV 4 ""Christ lag in Todesbanden"": V. Coro Versus IV ""Es war ein wunderlicher Krieg""",Johann Sebastian Bach,,Ger.,005kantatebwv4christlagintodesbandenvcoroversusiveswareinwunderlicherkriegjohannsebastianbacheditionbachakademievolume2cantatasbwv46,m4_57
58,170,7,unknown,007-Yer Blooze,The Loungs,,Eng.,007yerbloozetheloungsbigwow,m4_58
59,9029,18,unknown,018-Little Bird,The Nashville Teens,,Eg.,018littlebirdthenashvilleteensbestofthenashvilleteens19641969,m4_59
60,6523,8,4m 12sec,008-L.A. Song,Mohair,,Enng.,008lasongmohairsmalltalk,m4_60
61,9981,1,3m 51sec,001-Self Preservation,Kutt Calhoun feat. Krizz Kaliko,,nEg.,001selfpreservationkuttcalhounfeatkrizzkalikoblackgold,m4_61
62,7478,4,3m 33sec,004-Schwarze Lande,Amber und Gefahrten,,Ge.r,004schwarzelandeamberundgefahrtenbardensang,m4_62
63,3554,2,3m 43sec,002-The Driving Blues,RogeGr Manning,,Eng.,002thedrivingbluesrogegrmanningrogermanning,m4_63
64,3815,2,5m 24sec,002-Married Woman Blues,Jimmy Johnson,,Eng.,002marriedwomanbluesjimmyjohnsonpeppershangout,m4_64
65,5261,14,5m 35sec,"Lugen, die von Herzen kommen (feat. narrator Mirja Bos) (2008)",Kerstin Gier,,Ger.,lugendievonherzenkommenkerstingier014kapitel35,m4_65
66,182,4,4m 31sec,004-Looking for Lives,Timothy James Meaney,,Eng.,004lookingforlivestimothyjamesmeaneylookingforlives,m4_66
