m1_id,m1_cid,m1_number,m1_length,m1_title,m1_artist,m1_album,m1_year,m1_language,m1_filtering_attr
m1_0,5371,011,04:04,"Scottish Fantasy: Adagio cantabile (The Classical Album, Volume 1)",Max Bruch,"The Classical Album, Volume 1",1996,,scottishfantasyadagiocantabilemaxbruchtheclassicalalbumvolume1
m1_1,14,021,03:39,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2901,,amnerisintroeverystoryisalovestoryheatherheadleyitscheesyeasyaslife
m1_2,2151,008,01:26,Outro (Working Title),FeSo,Working Title,2011,,outrofesoworkingtitle
m1_3,15,003,03:45,10cm,Anemone,10cm,2013,,10cmanemone10cm
m1_4,17,010,02:36,"Placebo Persuasion (More Specific, Less Pacific)",Caesura,"More Specific, Less Pacific",2002,,placebopersuasioncaesuramorespecificlesspacific
m1_5,19,016,02:21,Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),Peggy Brown,Denn Sie Fahren Hinaus Auf Das Meer,,,lassmichniewiederweinenpeggybrowndennsiefahrenhinausaufdasmeer
m1_6,22,002,00:00,I could easily fall in love with you (Cuore matto),LittleTony,Cuore mattoo,1997,,icouldeasilyfallinlovewithyoulittletonycuoremattoo
m1_7,23,013,04:36,Still in love with you (With This Ring… Forever I Do),Chris Willis,With This Ring… Forever I Do,2002,,stillinlovewithyouchriswilliswiththisring…foreverido
m1_8,5969,043,00:09,Style Talks (g) (link) (Swing of the City),Keith Mansfield,Swing of the City,,,styletalkskeithmansfieldswingofthecity
m1_9,27,011,04:57,Praia nua (Ensaio - Signo de ar),Jorge Vercilo,Ensaio - Signo de ar,2005,,praianuajorgeverciloensaiosignodear
m1_10,7345,001,03:35,Starship Troopers (D-Bop's Saturday Nite radio edit) (Starship Troopers (feat. Sarah Brightman)),United Citizen Federation,Starship Troopers (feat. Sarah Brightman),,,starshiptroopers
m1_11,2783,003,00:00,Bring Back the Love (Spaced Out dub),Laura Harris,Bring Back the Love,1998,,bringbackthelovelauraharrisbringbackthelove
m1_12,6563,001,04:41,Takin' My Time (Kiss My Amps Live),Tom Petty and the Heartbreakers,Kiss My Amps Live,2011,,takinmytimetompettyandtheheartbreakerskissmyampslive
m1_13,7586,007,06:43,"Vuelo (Frisvold & Lindbæk mix) (Remix You, Remix Me)",Skatebård,"Remix You, Remix Me",2010,,vueloskatebårdremixyouremixme
m1_14,3371,005,05:17,Pitch Black (Rotten to the Core),X-Fusion,Rotten to the Core,2007,,pitchblackxfusionrottentothecore
m1_15,39,008,02:42,'Pines of Rome' - The Pines of the Villa Borghese (Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995),Ottorino Respighi,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,1995,,pinesofromethepinesofthevillaborgheseottorinorespighidebussylamer&respighipinesandfountainsofromercals1995
m1_16,5576,006,02:40,"June Is Bustin' Out All Over (For Hi-Fi Living, Volume 5: Love on Broadway)",Hill Bowen & His Orchestra,"For Hi-Fi Living, Volume 5: Love on Broadway",1957,,juneisbustinoutalloverhillbowen&hisorchestraforhifilivingvolume5loveonbroadway
m1_17,4384,013,00:50,The Handiest Frenchman in the Caribbean (Don't Stop the Carnival),Jimmy Buffett,Don't Stop the Carnival,1998,,thehandiestfrenchmaninthecaribbeanjimmybuffettdontstopthecarnival
m1_18,65,011,03:02,Apache (instrumental) (On Stage / In Studio),On Stage / In Studio,On Stage / In Studio,2012,,apacheonstageinstudioonstageinstudio
m1_19,905,002,08:40,The Power of Love (Rob Searle club mix),Frankie Goes to Hollywood,The Power of Love,1990,,thepoweroflovefrankiegoestohollywoodthepoweroflove
m1_20,7769,003,03:57,War (Art of War),AG & Party Arty,Art of War War,2002,,warag&partyartyartofwarwar
m1_21,3341,010,03:35,I'm Like a Lawyer With the Way I'm Always Trying to Get You Off (Me + You) (Now That's What I Call Music 26),FallOutBoy,Now That's What I Call Music 26,2008,,imlikealawyerwiththewayimalwaystryingtogetyouofffalloutboynowthatswhaticallmusic26
m1_22,2978,009,04:25,"Acting (2005-04-02: The Spanish Moon, Baton Rouge, LA, USA)",Macrosick,"2005-04-02: The Spanish Moon, Baton Rouge, LA, USA",,,actingmacrosick20050402thespanishmoonbatonrougelausa
m1_23,62,004,00:00,ホームワーク (オリジナル・カラオケ) (ANNIVERSARY〜無限にCALLING YOU),松任谷由実,ANNIVERSARY〜無限にCALLING YOU,1989,,ホームワーク松任谷由実anniversary〜無限にcallingyou
m1_24,7847,010,03:19,Basin Street Blues (The Quintessence: New York – Chicago 1925-1940),Louis Armstrong,The Quintessence: New York – Chicago 1925-1940,1994,,basinstreetblueslouisarmstrongthequintessencenewyork–chicago19251940
m1_25,458,001,03:21,Semblance (Portrait in Sound),Klaus Suonsaari,Portrait in Sound,,,semblanceklaussuonsaariportraitinsound
m1_26,2744,003,03:19,Evolution Fight (Creating Your New Environment),CYNE,Creating Your New Environment,2005,,evolutionfightcynecreatingyournewenvironment
