m2pp_id,m2pp_cid,m2pp_number,m2pp_length,m2pp_title,m2pp_artist,m2pp_album,m2pp_year,m2pp_language,m2pp_filtering_attr
m2pp_0,1,9,219,L'enfant aux yeux d'Italie,Daniel Balavoine,De vous à elle en passant par moi,75,French,danielbalavoinelenfantauxyeuxditalie#devousàelleenpassantparmoi
m2pp_1,2,17,129,Mustard Gas,Action PAINTING!,There and Back Again Lane,95,English,actionpaintingmustardgas#thereandbackagainlane
m2pp_2,2136,11,177,Sttreet Hype,Bruce Maginnis,Groove City,05,English,brucemaginnissttreethype#groovecity
m2pp_3,6,9,242,Ballade à donner,Luce Dufault,Luce Dufault,96,French,lucedufaultballadeàdonner#lucedufault
m2pp_4,11,14,188,Wo ist der Mann?,Marlene Dietrich,Die frühen Aufnahmen,,[Multiple languages],marlenedietrichwoistdermann#diefrühenaufnahmen
m2pp_5,2142,12,145,Tansy,Al Hirt,Greatest Hits,01,Engliish,alhirttansy#greatesthits
m2pp_6,16,3,162,Anne,Clouseau,"De Pre Historie 1989, Volume 3",00,[Multiple languages],clouseauanne#deprehistorie1989volume3
m2pp_7,5498,2,350,Urge for Going,Tony Rice,Night Flyer,08,English,tonyriceurgeforgoing#nightflyer
m2pp_8,18,18,240,"Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig",Tabu Recz,Tabu Recz,,,tabureczduikksejdinpikerikklangviskyderdig#taburecz
m2pp_9,20,2,249,Andes Cosmos,Wayanay,Treasures Of The Incas (Andes Cosmos),,,wayanayandescosmos#treasuresoftheincas
m2pp_10,21,4,-1,Special Feature Including A Hybrid Documentary,Special Feature Including A Hybrid Documentary,Morning_Sci-Fi,3,English,specialfeatureincludingahybriddocumentaryhybridmorningscifi
m2pp_11,1085,10,242,CharlyGarcíaNobombardeenBuenosAires,CharlyGarcíaNobombardeenBuenosAires,Oro: Grandes éxitos,03,Spanish,charlygarcíanobombardeenbuenosaires#orograndeséxitos
m2pp_12,83,,150,Van mij kan je de pot op,Lowland Trio,Hollands Glorie: Lowland Trio,02,Dutch,lowlandtriovanmijkanjedepotop#hollandsglorielowlandtrio
m2pp_13,3059,1 1,344,Sky,Power of Dreams,Become Yourself,,English,powerofdreamssky#becomeyourself
m2pp_14,26,13,333,Wonderful World,Amikaeyla and Trelawny Rose,"To Eva, With Love",11,English,amikaeylaandtrelawnyrosewonderfulworld#toevawithlove
