m5pp_id,m5pp_cid,m5pp_number,m5pp_length,m5pp_title,m5pp_artist,m5pp_album,m5pp_year,m5pp_language,m5pp_filtering_attr,m5pp_id
0,3,10,-1,Your Grace,Kathy Troccoli,Comfort,2005,English,yourgracekathytroccolicomfort,m5pp_0
1,4,2,321,Well You Needn't,Ernie Stadler Jazz Quintet,First Down,2010,English,wellyouneednterniestadlerjazzquintetfirstdown,m5pp_1
2,7,9,462,Just Like Tom Thumb's Blues (live),Wendy Saddington,"Blues Women Anthology, Volume 7",2007,English,justliketomthumbsblueswendysaddingtonblueswomenanthologyvolume7,m5pp_2
3,6842,4,195,Στα καμένα,Λαυρέντης Μαχαιρίίτσας,"Συλλογή Δίφωνο, 22: Μουσικοί βιότοποι",1997,Greek,στακαμέναλαυρέντηςμαχαιρίίτσαςσυλλογήδίφωνο22μουσικοίβιότοποι,m5pp_3
4,5568,6,188,nan,Anathema,Alternative 4,1998,English,#anathemaalternative4,m5pp_4
5,8,23,129,El Vaquero Chido (The Cool Cowboy),Byron Brizuela & Enrique Carbajal,Mexico,,English,elvaquerochidobyronbrizuela&enriquecarbajalmexico,m5pp_5
6,13,16,263,Gimme Dat (remix),Rye Rye,RYEot powRR,2011,English,gimmedatryeryeryeotpowrr,m5pp_6
7,3385,5,266,En dless Love,Diana Ross & Lionel Richie,"Motown 50: Yesterday, Today, Forever (Japan Edition)",2008,English,endlesslovedianaross&lionelrichiemotown50yesterdaytodayforever,m5pp_7
8,7301,13,78,Tuning,The Doros,Live in Vancouver 1970,2010,English,tuningthedorosliveinvancouver1970,m5pp_8
9,4960,4,388,Thunder Underground,Ozzy Osbourne,Ozzmosis,2002,English,thunderundergroundozzyosbourneozzmosis,m5pp_9
10,6133,7,69,闇に笑ふ,服部隆之,スレイヤーズ: The Motion Picture,1995,Japanese,闇に笑ふ服部隆之スレイヤーズthemotionpicture,m5pp_10
11,28,6,230,hWeels of FIRE,Saints & Sinners,Saints & Sinners,,,hweelsoffiresaints&sinnerssaints&sinners,m5pp_11
12,30,13,157,Charlie Walker,Charlie Walker,Pick Me Up on Your Way Down,,,charliewalkercharliewalkerpickmeuponyourwaydown,m5pp_12
13,4407,3,287,Jivin' (in a Jump Swing Band),Kamikaze Mustang Pilot,Kamikaze Mustang Pilot,,English,jivinkamikazemustangpilotkamikazemustangpilot,m5pp_13
14,31,11,210,It's a Heartache,Bonnie Tyler,"Seventies Top 100, Volume 2",2008,English,itsaheartachebonnietylerseventiestop100volume2,m5pp_14
15,32,20,201,Comme ça tu veux un gun ? Tu trouves ça l'fun !,KC L.M.N.O.P.,Ta yeul…,1996,French,commeçatuveuxunguntutrouvesçalfunkclmnoptayeul…,m5pp_15
16,1949,18,92,Implantation,TOMOSUKE,GUITAR FREAKS 3rd Mix & drummania 2nd Mix soundtracks,2000,Japanese,implantationtomosukeguitarfreaks3rdmix&drummania2ndmixsoundtracks,m5pp_16
17,33,33,30,Sea Breeze (full mix),Burgo & David Haig,Massive - Rock/Pop,,Englih,seabreezeburgo&davidhaigmassiverockpop,m5pp_17
18,9318,67,30,nan,Stephan Sechi,Funk,,English,#stephansechifunk,m5pp_18
19,3713,4,195,Ten Million Teardrops,Jason McCoy,Honky Tonk Sonatas,2001,English,tenmillionteardropsjasonmccoyhonkytonksonatas,m5pp_19
20,49,4,330,Red Chips,nan,The Working Model (Reverse),2003,English,redchips#theworkingmodel,m5pp_20
21,8684,A3,267,La Fessée,Georges Brassens,Volume 9 : Supplique pour être enterré à la plage de Sète,1967,French,lafesséegeorgesbrassensvolume9suppliquepourêtreenterréàlaplagedesète,m5pp_21
22,56,2,181,Ronin on Air,Younnat,Radiovision,,English,roninonairyounnatradiovision,m5pp_22
23,59,5,420,Nefes (live in Bodrum),Telvin,Telvin,2006,Turkish,nefestelvintelvin,m5pp_23
24,65,11,182,Apache (instrumental),Agents & Vesa Haaja,On Stage / In Studio,2012,[Multiple languages],apacheagents&vesahaajaonstageinstudio,m5pp_24
25,67,10,212,***,Wind Hearse,Witch's Arrows,,English,***windhearsewitchsarrows,m5pp_25
26,1349,7,187,STP,Sublime,Everything Under the Sun,2006,English,stpsublimeeverythingunderthesun,m5pp_26
27,71,6,263,Broken,Amber Claire,Love and Such,2004,English,brokenamberclaireloveandsuch,m5pp_27
28,77,11,158,Bloque Metafísico: La proporción y las distancias,Macromassa,Los hechos Pérez,1993,Spanish,bloquemetafísicolaproporciónylasdistanciasmacromassaloshechospérez,m5pp_28
29,78,n.a.,118,Chut,Frederica von Stade,Canteloube : Chants d'Auvergne,,French,chutfredericavonstadecanteloubechantsdauvergne,m5pp_29
30,79,3,262,Oilean Draiochta,Melanie O'Reilly,Celtic Spirit: Tales of the Soul,1998,English,oileandraiochtamelanieoreillycelticspirittalesofthesoul,m5pp_30
31,7682,2,151,Explanation,Abstract Tribe Unique,Thynk Taynk -- Ocean Floor,,English,explanationabstracttribeuniquethynktaynkoceanfloor,m5pp_31
32,8591,8,73,VS. X-C alibur,The DJ's Project,Bring It Back,2005,English,vsxcaliburthedjsprojectbringitback,m5pp_32
33,83,8,150,Van mij kan je de pot op,Lowland Trio,Hollands Glorie: Lowland Trio,2002,Ducth,vanmijkanjedepotoplowlandtriohollandsglorielowlandtrio,m5pp_33
34,7453,6,-1,Price of Time,Domain,One Million Lightyears From Home,2001,English,priceoftimedomainonemillionlightyearsfromhome,m5pp_34
35,86,3,-1,According to Me,Mind the Gap,Make,2005,[Multiple languages],accordingtomemindthegapmake,m5pp_35
